model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,anneal,0.0,1.0,0.9740243902439024,1.0,0.995049504950495,21,40.0,1.380952380952381,0.5238095238095238,1.9047619047619047,0.6863960124265658,0.997859135956894,0.110030645921735,0.2181692123413086,0.104174681,0.011359415,1.0,1.0,2.310643564356436,2.2888888888888888,3.0,1.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.9971014492753624,0.9707781649245064,0.9888888888888888,0.9962871287128712,20,38.0,1.45,0.45,1.9,0.6940832357971051,0.9984282957546212,0.1159653465346534,0.2317516803741455,0.0934921589999999,0.009341182,1.0,1.0,2.3193069306930694,2.2222222222222223,2.0,1.0,2.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.058823529411764705,1.0,0.999025974025974,1.0,0.9962871287128712,17,36.0,1.411764705882353,0.6470588235294118,2.1176470588235294,0.7144830929168121,0.9973226643598616,0.1164094350611531,0.2243239879608154,0.093383247,0.0096286699999999,1.0,1.0,1.978960396039604,1.988888888888889,3.0,1.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.75,0.9934704184704184,0.9775280898876404,0.9950556242274412,18,34.0,1.5,0.3888888888888889,1.8888888888888888,0.7069945233807513,0.9931701072212022,0.1143386897404202,0.2024788856506347,0.113961289,0.009819322,1.0,1.0,2.0580964153275647,2.033707865168539,4.0,3.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.9970588235294118,0.9977272727272728,0.9888888888888888,0.9913366336633664,21,44.0,1.5714285714285714,0.5238095238095238,2.0952380952380953,0.678323797567208,0.9786105640767432,0.0964757190004714,0.2126545906066894,0.089778143,0.008166148,1.0,1.0,2.025990099009901,2.022222222222222,3.0,1.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.9963768115942028,0.9977235772357724,0.9888888888888888,0.9913366336633664,19,38.0,1.5789473684210527,0.42105263157894735,2.0,0.6723584595988662,0.9783346099135573,0.0696977592496091,0.218940258026123,0.121331777,0.009809725,1.0,1.0,1.3242574257425743,1.3444444444444446,0.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.7470588235294118,0.9645743145743144,0.9666666666666668,0.9925742574257426,17,30.0,1.411764705882353,0.35294117647058826,1.7647058823529411,0.6904230819266468,0.996074187250658,0.0803727431566686,0.1991693973541259,0.097050198,0.007957307,1.0,1.0,1.3663366336633664,1.4111111111111112,0.0,1.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.98,0.968205770661238,0.9888888888888888,0.9938118811881188,18,33.0,1.4444444444444444,0.3888888888888889,1.8333333333333333,0.6997322999715555,0.9974730855169612,0.1102860286028602,0.1883127689361572,0.092484436,0.0087022879999999,1.0,1.0,1.9851485148514847,1.9,3.0,0.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,0.9970588235294118,0.999025974025974,0.9888888888888888,0.9962871287128712,20,41.0,1.5,0.55,2.05,0.6898340540537183,0.9976724782067248,0.1009282178217821,0.2284369468688964,0.109334634,0.01184893,1.0,1.0,2.018564356435644,1.9777777777777776,3.0,1.0,3.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,anneal,0.0,1.0,0.9704545454545456,1.0,0.9950556242274412,18,33.0,1.5,0.3333333333333333,1.8333333333333333,0.700497749718529,0.9976327403334704,0.1099436890537014,0.2032115459442138,0.120446818,0.007481535,1.0,1.0,1.978986402966625,2.0,2.0,2.0,2.0,2.0,C2,C2,C2
