model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,anneal,0,1.0,0.975,1.0,0.9987623762376238,25,46.0,0.84,1.0,1.84,0.6835267282699304,0.999780621572212,0.1314356435643563,0.399566572,0.529447724,0.0096716169999999,1.0,1.0,3.285891089108911,3.1444444444444444,3.0,1.0,3.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,1.0,0.9714285714285716,1.0,0.9987623762376238,24,44.0,0.9166666666666666,0.9166666666666666,1.8333333333333333,0.6953534880617299,0.9998476538695916,0.1462458745874586,0.332344986,0.423021932,0.0100870209999999,1.0,1.0,3.50990099009901,3.433333333333333,2.0,1.0,2.0,1.0,C2,C2,C2
complex,no_discretization,anneal,0,1.0,1.0,1.0,1.0,22,42.0,0.9090909090909091,1.0,1.9090909090909092,0.6961106156086441,0.999749331550802,0.1339446444644464,0.311447959,0.4329020759999999,0.0149567959999999,1.0,1.0,2.9467821782178216,2.955555555555556,3.0,1.0,3.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,0.75,0.9944444444444444,0.9775280898876404,0.9987639060568604,20,37.0,1.05,0.8,1.85,0.7087733722885337,0.9997262773722628,0.1300370828182942,0.244375693,0.375969766,0.008244214,1.0,1.0,2.600741656365884,2.539325842696629,3.0,3.0,3.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,1.0,1.0,1.0,1.0,26,51.0,0.9230769230769231,1.0384615384615385,1.9615384615384615,0.6951731391082652,0.99978905920405,0.1359006092916983,0.250244477,0.374396896,0.016992031,1.0,1.0,3.5334158415841586,3.566666666666667,3.0,1.0,3.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,1.0,1.0,1.0,1.0,22,40.0,0.8636363636363636,0.9545454545454546,1.8181818181818181,0.6910552496740493,1.0,0.1041291629162916,0.150131598,0.2942646559999999,0.016262969,1.0,1.0,2.290841584158416,2.2555555555555555,0.0,0.0,0.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,0.7470588235294118,0.9655483405483404,0.9666666666666668,0.9962871287128712,19,33.0,0.9473684210526315,0.7894736842105263,1.736842105263158,0.6911609546250013,0.9985380116959064,0.1005732152162584,0.234818266,0.433806051,0.024705332,1.0,1.0,1.9108910891089108,1.9111111111111112,0.0,1.0,0.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,0.98,0.9691813804173354,0.9888888888888888,0.9975247524752476,21,38.0,1.0,0.8095238095238095,1.8095238095238095,0.7031812859702578,0.9997388352050144,0.1404408297972653,0.312303048,0.410272052,0.008109375,1.0,1.0,2.9492574257425743,2.911111111111111,3.0,0.0,3.0,0.0,C2,C2,C2
complex,no_discretization,anneal,0,0.9970588235294118,1.0,0.9888888888888888,1.0,24,47.0,0.9166666666666666,1.0416666666666667,1.9583333333333333,0.6861246981406462,0.9997727272727271,0.1239170792079207,0.270142945,0.41398333,0.01139598,1.0,1.0,2.974009900990099,3.033333333333333,3.0,1.0,3.0,1.0,C2,C2,C2
complex,no_discretization,anneal,0,1.0,0.9714285714285716,1.0,0.9987639060568604,21,37.0,1.0476190476190477,0.7142857142857143,1.7619047619047619,0.7019498183716228,0.999826207855405,0.1400906468891636,0.237231358,0.358550205,0.008272769,1.0,1.0,2.941903584672436,2.9101123595505616,2.0,2.0,2.0,2.0,C2,C2,C2
