model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,anneal,0.14285714285714285,1.0,0.9740243902439024,1.0,0.995049504950495,21,37.0,1.1428571428571428,0.47619047619047616,1.7619047619047619,0.7075600335905868,0.997859135956894,0.1119165487977369,0.2238414287567138,0.098679783,0.016336546,1.0,1.0,2.3502475247524752,2.333333333333333,3.0,1.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.1,0.9971014492753624,0.9707781649245064,0.9888888888888888,0.9962871287128712,20,36.0,1.25,0.45,1.8,0.6940832357971051,0.9984282957546212,0.1159653465346534,0.3141317367553711,0.110316877,0.017843905,1.0,1.0,2.3193069306930694,2.2222222222222223,2.0,1.0,2.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.15789473684210525,1.0,0.999025974025974,1.0,0.9962871287128712,19,35.0,1.105263157894737,0.5789473684210527,1.8421052631578947,0.7176632023292089,0.9976044891640866,0.1067613340281396,0.2403268814086914,0.093137028,0.009674479,1.0,1.0,2.0284653465346536,2.033333333333333,3.0,1.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.1111111111111111,0.75,0.9934704184704184,0.9775280898876404,0.9950556242274412,18,32.0,1.2777777777777777,0.3888888888888889,1.7777777777777777,0.7069945233807513,0.9931701072212022,0.1143386897404202,0.1927423477172851,0.0934479009999999,0.012024282,1.0,1.0,2.0580964153275647,2.033707865168539,4.0,3.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.14285714285714285,0.9970588235294118,0.9977272727272728,0.9888888888888888,0.9913366336633664,21,42.0,1.3333333333333333,0.5238095238095238,2.0,0.6637142250657146,0.9651185005846796,0.0969471947194719,0.3812360763549804,0.094728775,0.011972004,1.0,1.0,2.035891089108911,2.033333333333333,12.0,2.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.10526315789473684,0.9963768115942028,0.9977235772357724,0.9888888888888888,0.9913366336633664,19,37.0,1.4210526315789473,0.42105263157894735,1.9473684210526316,0.6555355621016267,0.9626923574291996,0.0702840020844189,0.2007515430450439,0.093158554,0.008384619,1.0,1.0,1.3353960396039604,1.3444444444444446,10.0,0.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.058823529411764705,0.7470588235294118,0.9645743145743144,0.9666666666666668,0.9925742574257426,17,29.0,1.2941176470588236,0.35294117647058826,1.7058823529411764,0.6904230819266468,0.996074187250658,0.0803727431566686,0.2326774597167968,0.118132731,0.011568574,1.0,1.0,1.3663366336633664,1.4111111111111112,0.0,1.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.16666666666666666,0.98,0.968205770661238,0.9888888888888888,0.9938118811881188,18,32.0,1.2777777777777777,0.3333333333333333,1.7777777777777777,0.724423657996247,0.9974730855169612,0.1124862486248624,0.1979784965515136,0.086042746,0.007195197,1.0,1.0,2.0247524752475248,1.9444444444444444,3.0,0.0,3.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.15,0.9970588235294118,0.999025974025974,0.9888888888888888,0.9962871287128712,20,39.0,1.3,0.5,1.95,0.7120562762759406,0.9976724782067248,0.1029084158415841,0.2399814128875732,0.100709469,0.012751785,1.0,1.0,2.058168316831684,2.022222222222222,3.0,1.0,3.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,anneal,0.16666666666666666,1.0,0.9704545454545456,1.0,0.9950556242274412,18,32.0,1.3333333333333333,0.2777777777777778,1.7777777777777777,0.7259607126814918,0.9976327403334704,0.1122098612827908,0.1912469863891601,0.08462129,0.0074748579999999,1.0,1.0,2.0197775030902347,2.033707865168539,2.0,2.0,2.0,2.0,C2,C2,C2
