model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,anneal,0,1.0,0.975,1.0,0.9987623762376238,37,71.0,1.9189189189189189,0.0,1.9189189189189189,0.6314078911742657,1.0,0.1085763981803585,0.068567155,0.140483265,0.011307767,0.918918918918919,0.918918918918919,4.017326732673268,4.0777777777777775,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,0.95,0.959992257065428,0.9888888888888888,0.995049504950495,35,70.0,2.0,0.0,2.0,0.6362863810760592,0.9986517034826794,0.1126944837340876,0.088820385,0.180458103,0.0127671279999999,0.9428571428571428,0.9428571428571428,3.944306930693069,3.966666666666667,4.0,3.0,2.0,1.0,C2,C2,C2
plain,no_discretization,anneal,0,0.98,0.9691813804173354,0.9888888888888888,0.9975247524752476,41,81.0,1.975609756097561,0.0,1.975609756097561,0.6319161632599563,0.9991717832182933,0.1090618208162279,0.102213934,0.1845638539999999,0.014323132,0.926829268292683,0.902439024390244,4.471534653465347,4.8,2.0,2.0,0.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,0.75,0.9944444444444444,0.9775280898876404,0.9987639060568604,34,65.0,1.911764705882353,0.0,1.911764705882353,0.6424777633333273,0.9982719840985176,0.1241183741729076,0.083997643,0.1630450709999999,0.0162368509999999,0.9117647058823528,0.9117647058823528,4.220024721878863,4.426966292134831,22.0,6.0,22.0,6.0,C2,C2,C2
plain,no_discretization,anneal,0,0.9970588235294118,0.9714285714285716,0.9888888888888888,0.9987623762376238,35,68.0,1.9428571428571428,0.0,1.9428571428571428,0.6403936398061096,0.9998857142857142,0.1158062234794907,0.07499897,0.147050224,0.011974841,0.9428571428571428,0.9428571428571428,4.053217821782178,3.911111111111111,1.0,2.0,1.0,2.0,C2,C2,C2
plain,no_discretization,anneal,0,1.0,0.975,1.0,0.9987623762376238,36,70.0,1.9444444444444444,0.0,1.9444444444444444,0.6378623836566083,1.0,0.1155115511551155,0.07245174,0.1560657,0.012532943,0.9166666666666666,0.9166666666666666,4.158415841584159,3.933333333333333,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,0.95,0.9658730158730158,0.9888888888888888,0.9975247524752476,37,72.0,1.945945945945946,0.0,1.945945945945946,0.6311691049445993,0.9992492492492492,0.1083088038533583,0.075053471,0.164913824,0.0143300599999999,0.918918918918919,0.918918918918919,4.007425742574258,4.188888888888889,1.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,1.0,0.9714285714285716,1.0,0.9987623762376238,35,67.0,1.9142857142857144,0.0,1.9142857142857144,0.6316889944065688,1.0,0.1037482319660537,0.074202915,0.159851064,0.018381374,0.9428571428571428,0.8857142857142857,3.631188118811881,3.411111111111111,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,0.98,0.9714285714285716,0.9888888888888888,0.9987623762376238,40,83.0,2.075,0.0,2.075,0.6368047593632657,0.9995974025064516,0.1120977722772277,0.108582151,0.217419301,0.015977234,0.95,0.95,4.483910891089109,4.311111111111111,2.0,1.0,1.0,0.0,C2,C2,C2
plain,no_discretization,anneal,0,1.0,0.9714285714285716,1.0,0.9987639060568604,36,66.0,1.8333333333333333,0.0,1.8333333333333333,0.6197074915824917,1.0,0.0873506386485373,0.073249929,0.1620510949999999,0.014821332,0.9166666666666666,0.9166666666666666,3.1446229913473425,2.8876404494382024,0.0,1.0,0.0,1.0,C2,C2,C2
