model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,auto-mpg,0.03278688524590164,0.5478571428571428,0.9561885200089426,0.675,0.9692737430167596,61,198.0,0.9836065573770492,2.2295081967213113,3.2459016393442623,0.6210163816509061,0.984886053465312,0.1321091675061819,2.1201822757720947,1.817189323,0.036463458,0.9508196721311476,0.7868852459016393,8.058659217877095,8.425,58.0,9.0,37.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.20967741935483872,0.6535714285714286,0.928841567926075,0.725,0.952513966480447,62,167.0,0.5161290322580645,1.967741935483871,2.693548387096774,0.5889854129299683,0.9822681573793826,0.0979906289421518,1.4286675453186035,1.05271366,0.041975575,0.935483870967742,0.7096774193548387,6.075418994413408,5.6,56.0,11.0,26.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0,0.6445238095238095,0.9638595461658842,0.75,0.9776536312849162,62,189.0,0.9193548387096774,2.129032258064516,3.0483870967741935,0.6056734724681385,0.9949782017515644,0.1101099297170662,2.7782633304595947,1.917054119,0.034321664,0.9516129032258064,0.7096774193548387,6.826815642458101,5.875,17.0,6.0,8.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.08620689655172414,0.5932539682539683,0.9491854832699904,0.6923076923076923,0.9693593314763232,58,168.0,0.7931034482758621,2.0172413793103448,2.896551724137931,0.5978508762504652,0.9935008997669822,0.1005667082893092,1.1509287357330322,0.596697629,0.0368227899999999,0.9482758620689656,0.6206896551724138,5.832869080779944,5.17948717948718,26.0,12.0,10.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.045454545454545456,0.7664285714285715,0.9697467210671435,0.85,0.9804469273743016,66,191.0,0.7878787878787878,2.0606060606060606,2.893939393939394,0.6076599716369019,0.9954363589201072,0.111858811579482,3.021437406539917,2.063069236,0.042250305,0.9696969696969696,0.7424242424242424,7.38268156424581,7.95,12.0,9.0,5.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.125,0.8154761904761904,0.9377049333035248,0.9,0.9608938547486032,64,239.0,0.828125,2.78125,3.734375,0.6184221365839899,0.9788276520775054,0.1325069832402235,2.251039981842041,1.69082197,0.033679928,0.96875,0.75,8.480446927374302,7.625,60.0,13.0,27.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.046875,0.6921428571428572,0.9685543818466352,0.775,0.9804469273743016,64,174.0,0.703125,1.96875,2.71875,0.5942562784295646,0.9945999658191322,0.0887744413407821,1.537952184677124,0.8921064240000001,0.032184642,0.9375,0.71875,5.681564245810056,5.75,9.0,13.0,3.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.04411764705882353,0.7797619047619048,0.96706628660854,0.875,0.9776536312849162,68,239.0,0.9264705882352942,2.5441176470588234,3.514705882352941,0.6171872807205688,0.9893460599350252,0.124630299046993,1.8407599925994875,1.450035736,0.038239192,0.9411764705882352,0.7352941176470589,8.474860335195531,10.625,23.0,6.0,15.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0625,0.6995238095238095,0.9747373127654818,0.8,0.9860335195530726,64,179.0,0.59375,2.140625,2.796875,0.6066586807057727,0.9980986884864296,0.1019116620111732,1.4557743072509766,0.784389111,0.0457392129999999,0.9375,0.703125,6.522346368715084,6.275,11.0,5.0,7.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.014492753623188406,0.7961904761904761,0.9666005291005292,0.8717948717948718,0.977715877437326,69,247.0,0.9565217391304348,2.608695652173913,3.579710144927536,0.614666639779731,0.9969532393617064,0.110451737919341,2.708418607711792,1.053618929,0.022956421,0.9565217391304348,0.6376811594202898,7.621169916434541,8.538461538461538,9.0,8.0,3.0,5.0,C2,C2,C2
