model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,auto-mpg,0,0.6028571428571429,0.9124375884939264,0.725,0.952513966480447,59,125.0,1.0,1.11864406779661,2.1186440677966103,0.5977996299451213,0.9919537955701974,0.1118738755799641,1.369156946,2.991448256,0.012778495,0.9491525423728814,0.7627118644067796,6.600558659217877,6.8,18.0,11.0,5.0,7.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.611904761904762,0.93539011848871,0.7,0.9636871508379888,65,132.0,0.8615384615384616,1.1692307692307693,2.0307692307692307,0.5849609428936546,0.992795578420295,0.100945423291792,1.351032718,3.136504625,0.011484164,0.953846153846154,0.676923076923077,6.56145251396648,6.025,24.0,9.0,11.0,5.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.5759523809523809,0.910127431254192,0.75,0.9497206703910616,65,145.0,1.0,1.2307692307692308,2.230769230769231,0.5864810504104242,0.9873019858915691,0.1204984959174903,1.878159897,3.764117299,0.024781424,0.953846153846154,0.7230769230769231,7.832402234636872,6.975,48.0,5.0,31.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.5257936507936508,0.8240077502049333,0.6923076923076923,0.8969359331476323,62,123.0,0.9516129032258065,1.032258064516129,1.9838709677419355,0.5769414839319383,0.9839725844925056,0.1127235151406234,1.502876978,3.149466281,0.011001544,0.935483870967742,0.5967741935483871,6.988857938718663,5.769230769230769,47.0,6.0,11.0,2.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.6176190476190476,0.8677993889261494,0.775,0.9273743016759776,67,138.0,0.8656716417910447,1.1940298507462686,2.0597014925373136,0.5791803204147147,0.991215400293322,0.1036437922121238,2.113750086,4.162356421,0.034955161,0.9552238805970148,0.6865671641791045,6.944134078212291,7.9,41.0,12.0,17.0,5.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.6042857142857143,0.875635758998435,0.75,0.9217877094972068,64,151.0,1.046875,1.3125,2.359375,0.5843430662716178,0.9801422006601946,0.1187150837988827,1.790952078,3.629762352,0.0149685039999999,0.9375,0.6875,7.597765363128492,7.25,59.0,12.0,37.0,8.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.6028571428571429,0.8942544153811759,0.725,0.9413407821229052,66,145.0,1.0757575757575757,1.121212121212121,2.196969696969697,0.5764102567511739,0.9865765555600908,0.0954799390553581,1.340073973,3.056435281,0.018526333,0.9242424242424242,0.7121212121212122,6.301675977653631,6.225,36.0,14.0,10.0,7.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.5892857142857143,0.8689917281466576,0.775,0.9273743016759776,71,153.0,0.971830985915493,1.1830985915492958,2.1549295774647885,0.5836175444904049,0.9853093358423158,0.1194429144700605,2.125481206,4.120634785,0.02246726,0.9154929577464788,0.6619718309859155,8.480446927374302,10.9,48.0,10.0,23.0,6.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.7278571428571429,0.9201132722259484,0.8,0.9553072625698324,67,132.0,0.7761194029850746,1.1940298507462686,1.9701492537313432,0.5708240975314468,0.9914581327504426,0.0832568998582507,1.606021884,3.317276436,0.01850278,0.8955223880597015,0.6567164179104478,5.578212290502793,5.25,22.0,7.0,4.0,6.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.7619047619047619,0.863260582010582,0.8717948717948718,0.9192200557103064,72,159.0,0.9861111111111112,1.2222222222222223,2.2083333333333335,0.5816116526283824,0.9856324328477954,0.1117301145156297,1.809723491,3.882126801,0.016491566,0.9166666666666666,0.5972222222222222,8.044568245125348,8.794871794871796,48.0,7.0,18.0,4.0,C2,C2,C2
