model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,auto-mpg,0.14754098360655737,0.5478571428571428,0.8705753036738954,0.675,0.9134078212290504,61,177.0,0.8032786885245902,1.9508196721311475,2.901639344262295,0.6113823116565704,0.9779612977274884,0.1375125927282719,1.2560255527496338,0.970587561,0.0363837169999999,0.9508196721311476,0.7540983606557377,8.388268156424582,8.65,64.0,9.0,35.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.20634920634920634,0.6252380952380953,0.9064898651166255,0.725,0.935754189944134,63,166.0,0.5555555555555556,1.873015873015873,2.634920634920635,0.5960172329589593,0.979403263510098,0.1185155626496409,1.680570125579834,1.224036865,0.049969601,0.9523809523809524,0.6984126984126984,7.466480446927374,6.725,63.0,14.0,45.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.14516129032258066,0.6042857142857143,0.92272384305835,0.75,0.9553072625698324,62,178.0,0.8387096774193549,1.8870967741935485,2.870967741935484,0.5993109963438892,0.9869220685557812,0.1115966840872229,1.8573713302612305,1.2589590790000005,0.043480998,0.9516129032258064,0.7096774193548387,6.918994413407821,6.075,44.0,9.0,23.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.16393442622950818,0.5932539682539683,0.9045472837022132,0.6923076923076923,0.9442896935933148,61,157.0,0.8032786885245902,1.6065573770491803,2.5737704918032787,0.5960661687095897,0.9851431162762456,0.1162610164847708,0.8732521533966064,0.616479484,0.087978534,0.9508196721311476,0.639344262295082,7.091922005571031,5.923076923076923,51.0,13.0,23.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.16666666666666666,0.6845238095238096,0.8924705641254936,0.825,0.935754189944134,66,166.0,0.6818181818181818,1.6666666666666667,2.515151515151515,0.5954957398257501,0.984640580471921,0.1166835957338751,2.400169134140014,1.426043289,0.042096303,0.9696969696969696,0.7575757575757576,7.701117318435754,8.325,42.0,12.0,17.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.296875,0.7411904761904763,0.8686307660779491,0.825,0.9162011173184358,64,180.0,0.75,1.765625,2.8125,0.6050919560622845,0.9765688959390034,0.1381808659217876,2.058854341506958,0.732727871,0.038718713,0.96875,0.734375,8.843575418994414,8.025,68.0,16.0,24.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.24615384615384617,0.7338095238095238,0.9318177584022654,0.8,0.9581005586592178,65,159.0,0.6153846153846154,1.5846153846153845,2.4461538461538463,0.5901359866840178,0.9862209654314794,0.1006875805758488,1.4159760475158691,0.586902792,0.039011625,0.9384615384615383,0.7384615384615385,6.544692737430168,6.65,53.0,16.0,31.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.14925373134328357,0.6369047619047619,0.917733251360012,0.8,0.9497206703910616,67,183.0,0.7611940298507462,1.8208955223880596,2.7313432835820897,0.605344015139813,0.9895936667062192,0.1190277661969482,1.287822961807251,0.720054746,0.045478395,0.9402985074626866,0.7164179104477612,7.97486033519553,10.075,33.0,6.0,16.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.09230769230769231,0.6995238095238095,0.9350244988449212,0.8,0.9581005586592178,65,162.0,0.6,1.8,2.4923076923076923,0.5930840835528387,0.9878165777175844,0.1020197679415557,1.4273297786712646,0.6150159319999999,0.039183764,0.9384615384615383,0.7076923076923077,6.631284916201118,6.225,57.0,9.0,32.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.14492753623188406,0.7619047619047619,0.8751653439153438,0.8717948717948718,0.924791086350975,69,220.0,0.8695652173913043,2.1739130434782608,3.1884057971014492,0.6068390588086635,0.9906589139252536,0.1174760809010535,2.694845676422119,0.983549414,0.0499086399999999,0.9565217391304348,0.6376811594202898,8.105849582172702,8.897435897435898,43.0,9.0,21.0,3.0,C2,C2,C2
