model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,autos,0.24444444444444444,0.6555555555555556,0.9819899817850636,0.6190476190476191,0.9836956521739132,45,95.0,0.5333333333333333,1.3333333333333333,2.111111111111111,0.6419345809052263,0.9925851027974384,0.0626811594202898,0.2480719089508056,0.189391103,0.0301166,0.9777777777777776,0.8,2.8206521739130435,2.380952380952381,10.0,8.0,9.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.09090909090909091,0.9166666666666669,0.983701814058957,0.9047619047619048,0.9836956521739132,44,80.0,0.5454545454545454,1.1818181818181819,1.8181818181818181,0.6139555096996788,0.9962121212121212,0.0439723320158102,0.2878627777099609,0.2848740609999999,0.0374119729999999,0.9318181818181818,0.8409090909090909,1.934782608695652,2.4761904761904763,2.0,3.0,2.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.125,0.9333333333333332,0.987308429118774,0.95,0.9891891891891892,48,89.0,0.5208333333333334,1.2083333333333333,1.8541666666666667,0.6180821159033906,0.9967948717948718,0.0489864864864864,0.2978596687316894,0.323843656,0.052147198,0.9166666666666666,0.7916666666666666,2.351351351351352,2.6,2.0,4.0,2.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.13043478260869565,0.5761904761904761,0.990780651340996,0.65,0.9891891891891892,46,81.0,0.43478260869565216,1.1956521739130435,1.7608695652173914,0.6197266991504249,1.0,0.0462984723854289,0.2275652885437011,0.23977452,0.027303356,0.9782608695652174,0.8043478260869565,2.1297297297297297,2.05,0.0,3.0,0.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.08695652173913043,0.6761904761904762,0.9770833333333332,0.75,0.9783783783783784,46,97.0,0.782608695652174,1.2391304347826086,2.108695652173913,0.6143060638636727,0.9930866864704294,0.0474735605170387,0.3885700702667236,0.294866109,0.035536462,0.9565217391304348,0.7608695652173914,2.183783783783784,2.2,8.0,6.0,8.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.1,0.7999999999999999,0.9930555555555556,0.9047619047619048,0.9945652173913044,50,96.0,0.54,1.28,1.92,0.6229465036963296,0.9971111111111112,0.0503260869565217,0.5250933170318604,0.5006270420000001,0.042037725,0.96,0.82,2.516304347826087,1.9523809523809523,2.0,3.0,2.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.04878048780487805,0.6373015873015874,0.9785430839002266,0.6666666666666666,0.9782608695652174,41,76.0,0.5853658536585366,1.2195121951219512,1.853658536585366,0.6264045231755581,0.995121951219512,0.0490455991516437,0.3249270915985107,0.3460435099999999,0.0243048159999999,0.902439024390244,0.6097560975609756,2.010869565217391,2.0476190476190474,3.0,5.0,3.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.13953488372093023,0.7333333333333334,0.9635601068102704,0.7619047619047619,0.9619565217391304,43,89.0,0.813953488372093,1.1162790697674418,2.0697674418604652,0.6388121455790197,0.9917402725294326,0.0581395348837209,0.4681894779205322,0.684768844,0.039296494,0.9534883720930232,0.813953488372093,2.5,2.238095238095238,5.0,3.0,5.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.13953488372093023,0.6628571428571429,0.9825181796856676,0.65,0.9837837837837838,43,101.0,0.7906976744186046,1.4186046511627908,2.3488372093023258,0.6512101075586358,0.9942771386148536,0.0632306725329981,0.5560238361358643,0.585325643,0.024395253,0.9767441860465116,0.813953488372093,2.718918918918919,2.55,7.0,6.0,7.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,autos,0.13333333333333333,0.8476190476190475,0.978366858237548,0.8,0.9783783783783784,45,84.0,0.4888888888888889,1.2444444444444445,1.8666666666666667,0.6262558656981854,0.9979490242931104,0.051051051051051,0.3340437412261963,0.4382435119999999,0.02789468,0.9555555555555556,0.7111111111111111,2.2972972972972974,2.4,2.0,6.0,2.0,5.0,C2,C2,C2
