model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,autos,0.2,0.7333333333333334,0.970226943236311,0.7142857142857143,0.967391304347826,45,97.0,0.6666666666666666,1.288888888888889,2.1555555555555554,0.6444568452123385,0.992509878299352,0.0660628019323671,0.3011300563812256,0.242651232,0.03899844,0.9777777777777776,0.8,2.972826086956522,2.619047619047619,11.0,9.0,11.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.1111111111111111,0.85,0.9903233151183972,0.8571428571428571,0.9891304347826086,45,78.0,0.5111111111111111,1.1111111111111112,1.7333333333333334,0.6092308638378527,0.9977777777777778,0.0417874396135265,0.2321264743804931,0.222567034,0.047780392,0.9333333333333332,0.8222222222222222,1.880434782608696,2.380952380952381,1.0,3.0,1.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.0851063829787234,0.8666666666666668,0.9839070685745562,0.9,0.9837837837837838,47,85.0,0.574468085106383,1.148936170212766,1.8085106382978724,0.6269245886175453,1.0,0.0522139160437032,0.3313839435577392,0.442248096,0.077031434,0.9361702127659576,0.8297872340425532,2.454054054054054,2.95,0.0,5.0,0.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.2391304347826087,0.5761904761904761,0.9824473180076628,0.65,0.9837837837837838,46,86.0,0.43478260869565216,1.1956521739130435,1.8695652173913044,0.6208411599543524,0.9993206521739132,0.0473560517038777,0.2289600372314453,0.247461336,0.040633039,0.9782608695652174,0.8043478260869565,2.1783783783783783,2.1,1.0,4.0,1.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.30434782608695654,0.7761904761904762,0.9824473180076628,0.8,0.9837837837837838,46,92.0,0.6304347826086957,1.065217391304348,2.0,0.62035575962019,1.0,0.0474735605170387,0.2749631404876709,0.221254457,0.03745157,0.9782608695652174,0.782608695652174,2.183783783783784,2.05,0.0,5.0,0.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.12,0.7999999999999999,0.9845306513409962,0.9047619047619048,0.9836956521739132,50,90.0,0.48,1.2,1.8,0.6238795211410134,0.9965641025641024,0.0515217391304347,0.4589011669158935,0.365367183,0.0361762879999999,0.94,0.8,2.5760869565217392,2.0476190476190474,3.0,3.0,3.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.07317073170731707,0.6373015873015874,0.9813208616780046,0.6666666666666666,0.9836956521739132,41,73.0,0.5609756097560976,1.146341463414634,1.7804878048780488,0.6242088023250214,0.9939024390243902,0.0486479321314952,0.2360944747924804,0.232615358,0.028005518,0.926829268292683,0.6097560975609756,1.9945652173913044,2.0,1.0,4.0,1.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.1590909090909091,0.6666666666666667,0.9765442406421178,0.7142857142857143,0.9728260869565216,44,85.0,0.7045454545454546,1.0681818181818181,1.9318181818181819,0.6358407617237367,0.9968745176724804,0.05274209486166,0.4265072345733642,0.54849881,0.0552800859999999,0.9318181818181818,0.8181818181818182,2.3206521739130435,1.9047619047619049,3.0,2.0,3.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.225,0.6342857142857142,0.9714070685745564,0.6,0.972972972972973,40,89.0,0.725,1.275,2.225,0.6516745874804851,0.9921574205784732,0.0655405405405405,0.3800339698791504,0.318111318,0.0390070759999999,0.95,0.8,2.621621621621621,2.7,16.0,6.0,16.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,autos,0.2608695652173913,0.819047619047619,0.9733141762452108,0.75,0.972972972972973,46,89.0,0.45652173913043476,1.2173913043478262,1.934782608695652,0.6228642250752159,0.9958545502023765,0.0515863689776733,0.2940866947174072,0.3134074289999999,0.037411305,0.9565217391304348,0.717391304347826,2.372972972972973,2.8,5.0,7.0,5.0,6.0,C2,C2,C2
