model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,autos,0,0.6722222222222222,0.976497156239545,0.6190476190476191,0.967391304347826,52,139.0,2.673076923076923,0.0,2.673076923076923,0.6284581870910918,0.9868678670165274,0.0629180602006689,0.090831479,0.279089783,0.018976543,0.9423076923076924,0.8269230769230769,3.2717391304347827,2.7142857142857144,19.0,7.0,17.0,7.0,C2,C2,C2
plain,no_discretization,autos,0,0.8333333333333333,0.9670561063079244,0.8095238095238095,0.9619565217391304,53,131.0,2.4716981132075473,0.0,2.4716981132075473,0.6124941221795253,0.9948560079443892,0.0490155865463494,0.156876781,0.5621313309999999,0.045166134,0.9056603773584906,0.6792452830188679,2.597826086956522,3.523809523809524,4.0,4.0,3.0,4.0,C2,C2,C2
plain,no_discretization,autos,0,0.8761904761904763,0.9676724137931032,0.85,0.9675675675675676,53,122.0,2.30188679245283,0.0,2.30188679245283,0.6073876735846939,0.9942288450543167,0.0464048954614992,0.096433217,0.4069296,0.012403574,0.9245283018867924,0.7169811320754716,2.45945945945946,2.6,8.0,4.0,8.0,3.0,C2,C2,C2
plain,no_discretization,autos,0,0.5714285714285714,0.974425287356322,0.65,0.9783783783783784,52,129.0,2.480769230769231,0.0,2.480769230769231,0.6112409890758889,0.9954943189238604,0.0469854469854469,0.077171105,0.2680696899999999,0.0140649119999999,0.9615384615384616,0.6923076923076923,2.443243243243243,2.4,6.0,3.0,6.0,3.0,C2,C2,C2
plain,no_discretization,autos,0,0.7142857142857142,0.9674808429118774,0.7,0.9675675675675676,53,124.0,2.339622641509434,0.0,2.339622641509434,0.6148952127312337,0.996585804132974,0.0490566037735849,0.071749062,0.252465938,0.014126637,0.9245283018867924,0.7169811320754716,2.6,2.5,4.0,6.0,3.0,5.0,C2,C2,C2
plain,no_discretization,autos,0,0.6888888888888888,0.971023926812104,0.8095238095238095,0.9728260869565216,54,129.0,2.388888888888889,0.0,2.388888888888889,0.6160845112527457,0.9898995400629388,0.055354267310789,0.072670028,0.2568807169999999,0.011284608,0.9629629629629628,0.7037037037037037,2.989130434782609,2.761904761904762,16.0,3.0,14.0,3.0,C2,C2,C2
plain,no_discretization,autos,0,0.7817460317460317,0.960678121823442,0.8095238095238095,0.9619565217391304,50,122.0,2.44,0.0,2.44,0.6307413267174686,0.997235294117647,0.0553260869565217,0.077760041,0.266093761,0.019688384,0.92,0.72,2.766304347826087,2.142857142857143,4.0,5.0,3.0,5.0,C2,C2,C2
plain,no_discretization,autos,0,0.7333333333333334,0.8424446237838802,0.7619047619047619,0.9402173913043478,52,135.0,2.5961538461538463,0.0,2.5961538461538463,0.6199114714846226,0.9854274579264904,0.0597826086956521,0.130877753,0.394141455,0.020848292,0.9423076923076924,0.7115384615384616,3.108695652173913,2.8095238095238093,17.0,7.0,15.0,7.0,C2,C2,C2
plain,no_discretization,autos,0,0.6628571428571429,0.9647030651340996,0.65,0.9675675675675676,52,124.0,2.3846153846153846,0.0,2.3846153846153846,0.6252381701989802,0.9957983193277312,0.0549896049896049,0.080710104,0.285230691,0.011211974,0.9615384615384616,0.8269230769230769,2.85945945945946,2.0,3.0,3.0,3.0,3.0,C2,C2,C2
plain,no_discretization,autos,0,0.8380952380952381,0.9620114942528736,0.85,0.9567567567567568,54,145.0,2.685185185185185,0.0,2.685185185185185,0.6173019514756688,0.9902637682124348,0.0554554554554554,0.079212601,0.28214517,0.014393524,0.925925925925926,0.6851851851851852,2.994594594594594,2.75,13.0,4.0,13.0,4.0,C2,C2,C2
