model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,balance-scale,0.6666666666666666,0.8436781609195402,0.9695507195507196,0.9365079365079364,0.9839857651245552,39,102.0,1.4871794871794872,0.46153846153846156,2.6153846153846154,0.6624375201809332,0.9693635329284842,0.1707272561365088,0.5578207969665527,0.3848645149999999,0.025615639,1.0,1.0,6.658362989323844,7.222222222222222,140.0,23.0,129.0,21.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.3870967741935484,0.92183908045977,0.9606879606879608,0.9682539682539684,0.9804270462633452,31,77.0,1.6451612903225807,0.45161290322580644,2.4838709677419355,0.6383932380775169,0.9449039097471572,0.1554930547583514,0.4510359764099121,0.21232517,0.013290973,1.0,1.0,4.820284697508897,4.238095238095238,87.0,7.0,84.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.725,0.8551724137931035,0.9745673245673244,0.9516129032258064,0.9822380106571936,40,108.0,1.475,0.5,2.7,0.6642149451659074,0.9690866295223952,0.1707371225577264,0.4631555080413818,0.263139658,0.019750253,1.0,1.0,6.8294849023090585,5.516129032258065,89.0,15.0,79.0,14.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.5757575757575758,0.9166666666666666,0.9613613613613614,0.9838709677419356,0.9804618117229128,33,81.0,1.393939393939394,0.48484848484848486,2.4545454545454546,0.6508975021604799,0.9605055509784656,0.1691156682275687,0.3199763298034668,0.189742189,0.011051656,1.0,1.0,5.5808170515097695,6.645161290322581,159.0,22.0,135.0,19.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.5588235294117647,0.988095238095238,0.9531270531270531,0.9838709677419356,0.9786856127886324,34,87.0,1.5,0.5,2.5588235294117645,0.6370781686986103,0.941717936577224,0.1740674955595026,0.5324406623840332,0.239770149,0.018277748,1.0,1.0,5.91829484902309,6.5,297.0,33.0,290.0,33.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.5151515151515151,0.9103448275862068,0.9555399555399556,0.9523809523809524,0.9733096085409252,33,85.0,1.3636363636363635,0.696969696969697,2.5757575757575757,0.6452940522805944,0.954766153634068,0.1569071497897121,0.495624303817749,0.251894433,0.011662763,0.9696969696969696,0.9393939393939394,5.177935943060498,4.603174603174603,46.0,11.0,44.0,10.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.41935483870967744,0.92183908045977,0.9606879606879608,0.9682539682539684,0.9804270462633452,31,76.0,1.6129032258064515,0.41935483870967744,2.4516129032258065,0.6403914634013755,0.9468409895888356,0.1534267018711973,0.4018890857696533,0.220015669,0.0174409749999999,1.0,1.0,4.7562277580071175,4.936507936507937,81.0,11.0,78.0,10.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.4,1.0,0.9594009594009596,1.0,0.9786476868327402,30,74.0,1.6666666666666667,0.4,2.466666666666667,0.6359362817596972,0.9349946537713296,0.166429418742586,0.6648373603820801,0.235065004,0.015512939,1.0,1.0,4.99288256227758,4.984126984126984,157.0,22.0,153.0,19.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.45161290322580644,1.0,0.9555746055746056,1.0,0.9733570159857904,31,78.0,1.5161290322580645,0.5483870967741935,2.5161290322580645,0.6301610087032,0.9371734930002094,0.1682805248381367,0.5167510509490967,0.217459539,0.015186202,0.967741935483871,0.935483870967742,5.216696269982238,4.693548387096774,308.0,35.0,154.0,19.0,C2,C2,C2
at_least_M-of-N,no_discretization,balance-scale,0.4666666666666667,0.9766009852216748,0.961989811989812,0.967741935483871,0.9822380106571936,30,74.0,1.5666666666666667,0.43333333333333335,2.466666666666667,0.6405093143667995,0.939092527803167,0.1664298401420959,0.4045665264129638,0.1719708689999999,0.013551588,1.0,1.0,4.992895204262878,4.758064516129032,185.0,26.0,179.0,24.0,C2,C2,C2
