model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,balance-scale,0,0.8666666666666667,0.9252369252369252,0.9682539682539684,0.9661921708185054,34,90.0,1.1470588235294117,1.5,2.6470588235294117,0.6432456626817684,0.9497418009664648,0.1697718233200753,0.106728691,0.217107421,0.012176214,0.9705882352941176,0.9705882352941176,5.772241992882562,6.190476190476191,80.0,10.0,73.0,9.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.9103448275862068,0.9391014391014392,0.9523809523809524,0.9679715302491104,30,84.0,1.1333333333333333,1.6666666666666667,2.8,0.629189631011633,0.9274927849820086,0.1669039145907473,0.129459864,0.297374829,0.01837164,1.0,1.0,5.00711743772242,4.142857142857143,85.0,7.0,79.0,7.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.8079638752052545,0.9354213354213354,0.8870967741935484,0.9715808170515098,31,80.0,1.0,1.5806451612903225,2.5806451612903225,0.6523237437796727,0.9500693576942312,0.1773907064688019,0.055299566,0.11519706,0.010581206,1.0,1.0,5.49911190053286,5.145161290322581,81.0,18.0,72.0,16.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.8103448275862069,0.9388245388245388,0.935483870967742,0.966252220248668,28,73.0,1.0,1.6071428571428572,2.607142857142857,0.648009163209341,0.9480125392535188,0.1735600101497081,0.051088551,0.113946156,0.009444578,1.0,1.0,4.859680284191829,5.467741935483871,75.0,14.0,68.0,13.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.988095238095238,0.9138051138051138,0.9838709677419356,0.9591474245115452,34,89.0,1.0,1.6176470588235294,2.6176470588235294,0.6205074710355483,0.9274329610293136,0.1609549681329014,0.054308497,0.117646716,0.011143841,0.9411764705882352,0.9411764705882352,5.47246891651865,5.580645161290323,87.0,10.0,79.0,9.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.8528735632183908,0.9315256815256816,0.873015873015873,0.9661921708185054,29,79.0,1.1379310344827587,1.5862068965517242,2.7241379310344827,0.629764231292954,0.9184718082710552,0.1732727942078783,0.059537662,0.123748983,0.010988106,0.9310344827586208,0.9310344827586208,5.02491103202847,4.412698412698413,83.0,14.0,76.0,12.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.9655172413793104,0.947964197964198,0.9523809523809524,0.9715302491103204,30,86.0,1.1666666666666667,1.7,2.8666666666666667,0.6261562521426344,0.9269080429994327,0.164650059311981,0.056445994,0.124249536,0.01237697,1.0,1.0,4.93950177935943,5.301587301587301,82.0,15.0,76.0,12.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.9333333333333332,0.9391014391014392,0.984126984126984,0.9679715302491104,31,85.0,1.1935483870967742,1.5483870967741935,2.7419354838709675,0.6289282730282569,0.927079251553554,0.167374583859488,0.145227977,0.288421288,0.010928235,1.0,1.0,5.1886120996441285,4.825396825396825,87.0,7.0,81.0,4.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.92183908045977,0.9505481005481006,0.967741935483871,0.9751332149200712,26,71.0,1.1153846153846154,1.6153846153846154,2.730769230769231,0.6262074112617856,0.9160576688133056,0.1728378193742314,0.05781589,0.1189933709999999,0.0267937309999999,0.9615384615384616,0.9615384615384616,4.493783303730018,4.241935483870968,129.0,21.0,77.0,13.0,C2,C2,C2
complex,no_discretization,balance-scale,0,0.8980295566502464,0.9341343341343342,0.935483870967742,0.9698046181172292,31,86.0,1.2258064516129032,1.5483870967741935,2.774193548387097,0.625774828124518,0.9227581673323212,0.1710307683492809,0.084294965,0.174564713,0.015215071,1.0,1.0,5.301953818827709,5.145161290322581,94.0,11.0,85.0,10.0,C2,C2,C2
