model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,balance-scale,0.05,0.9103448275862068,0.9695507195507196,0.9523809523809524,0.9839857651245552,20,48.0,2.1,0.25,2.4,0.6890577586163452,0.9384579516593098,0.2144128113879004,0.3965938091278076,0.178632509,0.010465764,1.0,1.0,4.288256227758007,4.873015873015873,148.0,18.0,140.0,17.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.10526315789473684,0.9885057471264368,0.9606879606879608,0.984126984126984,0.9804270462633452,19,50.0,2.0526315789473686,0.47368421052631576,2.6315789473684212,0.6704420054022053,0.9129125967329904,0.2012549166510582,0.3797726631164551,0.167797068,0.008066184,1.0,1.0,3.823843416370107,3.412698412698413,96.0,9.0,93.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.05263157894736842,0.8551724137931035,0.9682835182835182,0.9516129032258064,0.9822380106571936,19,45.0,1.9473684210526316,0.3684210526315789,2.3684210526315788,0.6970966006580805,0.9423721902806738,0.2147331027390857,0.3483591079711914,0.167204254,0.010946742,1.0,1.0,4.0799289520426285,3.8225806451612905,127.0,19.0,124.0,18.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.05,0.9166666666666666,0.9674817674817676,0.9838709677419356,0.9804618117229128,20,47.0,2.1,0.2,2.35,0.6886113316240263,0.9359348079274428,0.2188277087033747,0.3682572841644287,0.152896734,0.0053810279999999,1.0,1.0,4.376554174067495,4.887096774193548,155.0,25.0,141.0,24.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.09523809523809523,0.988095238095238,0.9607028107028108,0.9838709677419356,0.9804618117229128,21,60.0,2.2857142857142856,0.47619047619047616,2.857142857142857,0.6644696689936507,0.9141563001240856,0.2002029941639178,0.4314296245574951,0.194568383,0.01197103,1.0,1.0,4.2042628774422734,4.387096774193548,104.0,12.0,95.0,12.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.09523809523809523,1.0,0.9594009594009596,1.0,0.9786476868327402,21,56.0,2.142857142857143,0.42857142857142855,2.6666666666666665,0.669916088299576,0.9171071119359372,0.2013218098627351,0.4499948024749756,0.235165066,0.008404167,1.0,1.0,4.227758007117438,3.7777777777777777,102.0,15.0,99.0,14.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.10526315789473684,0.9885057471264368,0.9606879606879608,0.984126984126984,0.9804270462633452,19,50.0,2.1052631578947367,0.42105263157894735,2.6315789473684212,0.6740380626822932,0.9169616200081708,0.1966660423300243,0.462792158126831,0.167324339,0.010012697,1.0,1.0,3.736654804270463,3.952380952380953,88.0,11.0,85.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.1,1.0,0.9594009594009596,1.0,0.9786476868327402,20,49.0,2.05,0.3,2.45,0.6643948815525439,0.906249954918488,0.2101423487544484,0.4804911613464355,0.227381863,0.012230424,1.0,1.0,4.202846975088968,4.095238095238095,158.0,24.0,153.0,20.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.1,1.0,0.9594207594207594,1.0,0.9786856127886324,20,52.0,2.15,0.35,2.6,0.6724232561812321,0.9129987239689888,0.2090586145648312,0.3906812667846679,0.157871766,0.013849186,1.0,1.0,4.181172291296625,3.85483870967742,143.0,23.0,70.0,14.0,C2,C2,C2
exact_M-of-N,no_discretization,balance-scale,0.10526315789473684,0.9766009852216748,0.961989811989812,0.967741935483871,0.9822380106571936,19,48.0,2.0,0.42105263157894735,2.526315789473684,0.6749272020663356,0.9114638427456792,0.2064130129942974,0.6221096515655518,0.159119261,0.0132956149999999,1.0,1.0,3.921847246891652,3.806451612903226,99.0,11.0,90.0,9.0,C2,C2,C2
