model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,balance-scale,0,0.6206896551724138,0.712969462969463,0.8571428571428571,0.9074733096085408,84,278.0,3.3095238095238093,0.0,3.3095238095238093,0.4730673985022107,0.8279466137584144,0.0793297746144721,0.209068756,0.5054231730000001,0.05024184,0.9523809523809524,0.7380952380952381,6.6637010676156585,7.238095238095238,239.0,25.0,239.0,25.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6091954022988505,0.7609980109980109,0.8412698412698413,0.9217081850533808,87,289.0,3.32183908045977,0.0,3.32183908045977,0.4850221144160359,0.8523288186016774,0.0729332842475559,0.218668272,0.6000325019999999,0.041883669,0.9540229885057472,0.7586206896551724,6.345195729537367,5.206349206349207,136.0,12.0,136.0,12.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6079638752052545,0.7344394344394344,0.8387096774193549,0.911190053285968,74,249.0,3.364864864864865,0.0,3.364864864864865,0.4816122984413439,0.8286120959618035,0.0839133983006096,0.073643725,0.1358561979999999,0.041364352,0.9594594594594594,0.7027027027027027,6.209591474245116,5.354838709677419,150.0,27.0,149.0,26.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6206896551724138,0.7362505362505362,0.8709677419354839,0.9147424511545292,92,304.0,3.3043478260869565,0.0,3.3043478260869565,0.488675552665552,0.8602032420659633,0.0797551934512317,0.071943304,0.146837152,0.045335428,0.9565217391304348,0.7608695652173914,7.337477797513322,8.774193548387096,454.0,51.0,454.0,51.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.5738916256157636,0.7117270117270117,0.7903225806451613,0.905861456483126,73,243.0,3.328767123287671,0.0,3.328767123287671,0.4782682695011706,0.8214189494069954,0.0869850847952505,0.073244972,0.137398009,0.047394281,0.9315068493150684,0.6986301369863014,6.349911190053286,6.516129032258065,226.0,32.0,226.0,32.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6091954022988505,0.7469872469872469,0.8412698412698413,0.9110320284697508,89,295.0,3.3146067415730336,0.0,3.3146067415730336,0.4838118554029795,0.8487589685556702,0.0726538446159382,0.109276925,0.1873679679999999,0.048443742,0.9550561797752808,0.7528089887640449,6.4661921708185055,5.746031746031746,208.0,21.0,208.0,21.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.632183908045977,0.7635720135720137,0.873015873015873,0.9252669039145908,87,290.0,3.3333333333333335,0.0,3.3333333333333335,0.4898291083191094,0.8578341766409573,0.0755102875608458,0.073380344,0.149827953,0.048211393,0.9655172413793104,0.7586206896551724,6.569395017793594,6.031746031746032,148.0,15.0,148.0,15.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6091954022988505,0.733122733122733,0.8412698412698413,0.909252669039146,79,262.0,3.3164556962025316,0.0,3.3164556962025316,0.4775903885358258,0.8268516587663963,0.083449704941664,0.301367468,0.821215496,0.041685479,0.9620253164556962,0.7215189873417721,6.592526690391459,6.349206349206349,211.0,25.0,210.0,24.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.5849753694581281,0.7774761274761275,0.8064516129032258,0.9271758436944938,81,273.0,3.3703703703703702,0.0,3.3703703703703702,0.4931821166108032,0.861177731472469,0.0733723658531236,0.102189194,0.209013923,0.063973234,0.9753086419753086,0.7407407407407407,5.94316163410302,5.370967741935484,114.0,17.0,49.0,12.0,C2,C2,C2
plain,no_discretization,balance-scale,0,0.6087848932676518,0.7748823248823249,0.8387096774193549,0.9236234458259324,79,266.0,3.367088607594937,0.0,3.367088607594937,0.4893845026574317,0.8486972471495402,0.0760393012118623,0.119860408,0.22183215,0.08461606,0.9620253164556962,0.7215189873417721,6.007104795737122,5.758064516129032,111.0,17.0,110.0,17.0,C2,C2,C2
