model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.043010752688172046,0.7583333333333333,0.9923076923076924,0.7428571428571429,0.9935483870967742,93,205.0,0.5806451612903226,1.5806451612903225,2.204301075268817,0.5347900009190332,1.0,0.0353451266042317,5.161456823348999,0.755300276,0.04589942,0.8387096774193549,0.4086021505376344,3.2870967741935484,3.857142857142857,0.0,11.0,0.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.11702127659574468,0.9333333333333332,0.9905982905982906,0.9428571428571428,0.9903225806451612,94,215.0,0.5957446808510638,1.574468085106383,2.2872340425531914,0.5298248294258936,0.997305885603758,0.03363074811256,7.331103563308716,1.4508120559999995,0.036612711,0.723404255319149,0.4042553191489361,3.161290322580645,3.4857142857142858,13.0,8.0,13.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.07865168539325842,0.6464285714285715,0.9934054283290924,0.6470588235294118,0.9935691318327974,89,192.0,0.6179775280898876,1.4606741573033708,2.157303370786517,0.5326403495993511,0.9997324772605672,0.033129809602948,5.371920824050903,0.8252199940000002,0.029309756,0.7078651685393258,0.3820224719101123,2.9485530546623795,3.147058823529412,0.0,13.0,0.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.09183673469387756,0.6142857142857143,0.9961832061068704,0.6470588235294118,0.9967845659163987,98,232.0,0.7040816326530612,1.5714285714285714,2.36734693877551,0.5350266569732222,1.0,0.0355994487827285,14.494823455810549,1.0254508300000005,0.05362513,0.8163265306122449,0.3979591836734694,3.4887459807073955,3.176470588235294,0.0,11.0,0.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.0967741935483871,0.7178571428571429,0.9934054283290924,0.7058823529411765,0.9935691318327974,93,212.0,0.6774193548387096,1.5053763440860215,2.2795698924731185,0.5303971892927817,0.9965804804514482,0.036510735400892,6.806538105010986,0.875158889,0.034808639,0.8172043010752689,0.4193548387096774,3.395498392282958,3.5,18.0,12.0,2.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.0967741935483871,0.6083333333333334,0.9895299145299146,0.6285714285714286,0.9903225806451612,93,210.0,0.7849462365591398,1.3763440860215055,2.2580645161290325,0.5356469419171035,0.9981182795698924,0.0384321886923343,10.267279148101808,1.2955673280000002,0.034054764,0.8064516129032258,0.4623655913978494,3.574193548387097,3.4857142857142858,2.0,12.0,1.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.05555555555555555,0.7166666666666666,0.9784188034188036,0.7142857142857143,0.9774193548387096,90,205.0,0.7222222222222222,1.5,2.2777777777777777,0.5316868471035139,0.9980286738351254,0.0340501792114695,6.534386396408081,1.1761598589999998,0.0571831829999999,0.8111111111111111,0.3888888888888889,3.064516129032258,3.171428571428572,7.0,15.0,5.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.1348314606741573,0.675,0.973931623931624,0.6857142857142857,0.970967741935484,89,189.0,0.5955056179775281,1.3932584269662922,2.1235955056179776,0.5302669797672483,0.9957019948954764,0.036063791228706,2.3203303813934326,1.0607383440000002,0.0259662989999999,0.6966292134831461,0.3820224719101123,3.2096774193548385,3.342857142857143,19.0,15.0,6.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.021739130434782608,0.6285714285714286,0.9885496183206106,0.6764705882352942,0.990353697749196,92,208.0,0.6847826086956522,1.5543478260869565,2.260869565217391,0.5344024827128552,0.9992846051464064,0.0358590801062491,7.943904638290405,1.220680911,0.039313319,0.8043478260869565,0.4239130434782608,3.2990353697749195,3.5,3.0,19.0,2.0,12.0,C2,C2,C2
at_least_M-of-N,no_discretization,bupa-liver-disorders,0.07865168539325842,0.6714285714285715,0.9885496183206106,0.6764705882352942,0.990353697749196,89,212.0,0.8089887640449438,1.4943820224719102,2.3820224719101124,0.5371803681875302,0.9995987158908508,0.038151667329022,6.218596696853638,0.821006203,0.04017221,0.797752808988764,0.449438202247191,3.395498392282958,3.882352941176471,2.0,16.0,2.0,10.0,C2,C2,C2
