model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,bupa-liver-disorders,0,0.75,0.9933760683760684,0.7428571428571429,0.9935483870967742,94,195.0,0.48936170212765956,1.5851063829787233,2.074468085106383,0.5321554332192632,0.9996776273372018,0.0330130404941661,0.534100704,0.9844245630000004,0.017373904,0.8404255319148937,0.3617021276595745,3.1032258064516127,3.257142857142857,1.0,11.0,0.0,6.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.8500000000000001,0.9961538461538462,0.8571428571428571,0.9967741935483873,96,201.0,0.6145833333333334,1.4791666666666667,2.09375,0.5257440052231722,0.998611111111111,0.0282258064516128,0.578668156,1.060957552,0.0185690769999999,0.7291666666666666,0.375,2.7096774193548385,2.7142857142857144,2.0,11.0,0.0,6.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.625,0.9934054283290924,0.6470588235294118,0.9935691318327974,93,194.0,0.5913978494623656,1.4946236559139785,2.086021505376344,0.5273824735093026,0.9986069391841887,0.0295958233931473,0.497128224,0.888168663,0.01667392,0.7741935483870968,0.3655913978494624,2.752411575562701,3.0294117647058822,2.0,13.0,1.0,5.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.7,0.9885496183206106,0.7352941176470589,0.990353697749196,95,209.0,0.6105263157894737,1.5894736842105264,2.2,0.5293037535089034,0.9986377708978328,0.031274327297343,0.474401098,0.9004049999999999,0.014635854,0.8526315789473684,0.4105263157894737,2.9710610932475885,2.8823529411764706,2.0,9.0,2.0,6.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.7928571428571429,0.9961832061068704,0.7941176470588235,0.9967845659163987,91,188.0,0.5824175824175825,1.4835164835164836,2.065934065934066,0.5255363499002177,0.9977411477411476,0.0285148934666619,0.456741718,0.8329176410000001,0.013456249,0.8021978021978022,0.3296703296703296,2.594855305466238,2.764705882352941,3.0,12.0,2.0,6.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.6083333333333334,0.9784188034188036,0.6285714285714286,0.9774193548387096,95,208.0,0.7263157894736842,1.4631578947368422,2.1894736842105265,0.5318255753343475,0.9984126984126984,0.0337521222410865,0.486540362,0.918846987,0.013510703,0.7684210526315789,0.3578947368421052,3.206451612903226,2.8857142857142857,4.0,9.0,0.0,6.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.6833333333333333,0.9923076923076924,0.6857142857142857,0.9935483870967742,92,197.0,0.6956521739130435,1.4456521739130435,2.141304347826087,0.5276035860274993,1.0,0.0280504908835904,0.445381918,0.846645793,0.014362632,0.782608695652174,0.2934782608695652,2.5806451612903225,2.657142857142857,0.0,15.0,0.0,7.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.6666666666666667,0.9923076923076924,0.6857142857142857,0.9935483870967742,88,178.0,0.5113636363636364,1.5113636363636365,2.022727272727273,0.5284139471639471,1.0,0.0289222873900293,0.459486815,0.8521194329999999,0.0219567629999999,0.6818181818181818,0.375,2.5451612903225804,2.4285714285714284,0.0,10.0,0.0,4.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.6178571428571429,0.9923664122137404,0.6764705882352942,0.9935691318327974,94,194.0,0.648936170212766,1.4148936170212767,2.0638297872340425,0.5275288545022769,0.9973457505975908,0.032633235273996,0.466760675,0.8858233609999999,0.015020313,0.7872340425531915,0.3723404255319149,3.067524115755627,3.264705882352941,17.0,14.0,1.0,10.0,C2,C2,C2
complex,no_discretization,bupa-liver-disorders,0,0.7107142857142856,0.9906276505513149,0.7352941176470589,0.990353697749196,92,200.0,0.6413043478260869,1.5326086956521738,2.1739130434782608,0.5317435562962186,0.999020939897698,0.0332378023207045,0.444908504,0.84351993,0.0142688009999999,0.8043478260869565,0.4456521739130434,3.057877813504823,3.588235294117647,3.0,16.0,0.0,13.0,C2,C2,C2
