model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,bupa-liver-disorders,0.15217391304347827,0.7250000000000001,0.9933760683760684,0.7142857142857143,0.9935483870967742,92,207.0,0.5543478260869565,1.5434782608695652,2.25,0.5330655633926954,0.9969098383500556,0.0383941093969144,5.378177642822266,1.246090257,0.037812507,0.8369565217391305,0.4130434782608695,3.532258064516129,4.0285714285714285,14.0,15.0,2.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.10752688172043011,0.8083333333333333,0.9923076923076924,0.8285714285714286,0.9935483870967742,93,199.0,0.5161290322580645,1.5161290322580645,2.139784946236559,0.52800611649402,0.9955069124423964,0.0346514047866805,7.093942880630493,1.182953269,0.039640001,0.7741935483870968,0.4623655913978494,3.2225806451612904,3.4,18.0,10.0,11.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.1348314606741573,0.6714285714285715,0.984033078880407,0.6764705882352942,0.9839228295819936,89,193.0,0.6067415730337079,1.4269662921348314,2.168539325842697,0.5316720311322307,0.9966674309644944,0.0365981429964955,5.160742282867432,0.8399854440000001,0.029931743,0.797752808988764,0.4382022471910112,3.257234726688103,3.676470588235294,10.0,15.0,5.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.2127659574468085,0.7,0.9923664122137404,0.7352941176470589,0.9935691318327974,94,218.0,0.648936170212766,1.4574468085106382,2.3191489361702127,0.5336199981677339,0.9966815188357744,0.0385167955120749,13.348226070404053,1.030760129,0.0535583389999999,0.8723404255319149,0.5319148936170213,3.620578778135048,3.5588235294117645,7.0,11.0,6.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.21978021978021978,0.8035714285714286,0.984033078880407,0.7941176470588235,0.9839228295819936,91,195.0,0.5934065934065934,1.3296703296703296,2.142857142857143,0.5284778242268298,0.9947084857392506,0.0370304936221334,6.837414979934692,0.98600375,0.039583771,0.8241758241758241,0.4615384615384615,3.369774919614148,3.3823529411764706,24.0,13.0,12.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.25,0.6333333333333333,0.983974358974359,0.6571428571428571,0.9838709677419356,92,200.0,0.6304347826086957,1.2934782608695652,2.1739130434782608,0.5342293760720996,0.9946775198373664,0.0402875175315567,10.689846277236938,0.992120275,0.0299709139999999,0.8260869565217391,0.5108695652173914,3.706451612903226,3.4285714285714284,12.0,11.0,9.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.22727272727272727,0.7666666666666666,0.9856837606837608,0.7714285714285715,0.9870967741935484,88,196.0,0.5227272727272727,1.4772727272727273,2.227272727272727,0.5302743591664197,0.9947088715900338,0.0375733137829912,6.325152397155762,0.976492845,0.035049001,0.8181818181818182,0.4318181818181818,3.306451612903226,3.571428571428572,16.0,19.0,12.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.22988505747126436,0.7,0.9645299145299144,0.7142857142857143,0.9612903225806452,87,178.0,0.5057471264367817,1.3103448275862069,2.045977011494253,0.5252025959576809,0.9882664227371344,0.0427512050426399,2.1315951347351074,0.85931603,0.0363976379999999,0.7126436781609196,0.4367816091954023,3.719354838709677,3.4285714285714284,60.0,14.0,15.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.1595744680851064,0.6392857142857142,0.9934054283290924,0.6764705882352942,0.9935691318327974,94,210.0,0.6382978723404256,1.4361702127659575,2.234042553191489,0.5312438447055144,0.9963120567375888,0.0363275637955804,8.240360021591187,0.88177957,0.0367981,0.8191489361702128,0.4787234042553192,3.414790996784566,3.411764705882353,9.0,18.0,1.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,bupa-liver-disorders,0.17045454545454544,0.6464285714285715,0.9753604749787956,0.6470588235294118,0.977491961414791,88,213.0,0.8068181818181818,1.4431818181818181,2.4204545454545454,0.5356596591121072,0.9955340976508024,0.0418006430868167,6.134441614151001,0.8490600670000001,0.03292921,0.8181818181818182,0.5113636363636364,3.678456591639872,3.794117647058824,16.0,17.0,13.0,10.0,C2,C2,C2
