model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,bupa-liver-disorders,0,0.75,0.9923076923076924,0.7428571428571429,0.9935483870967742,104,302.0,2.9038461538461537,0.0,2.9038461538461537,0.5388138481888484,0.999084249084249,0.0403225806451612,0.117736616,0.180027437,0.037973097,0.8653846153846154,0.5961538461538461,4.193548387096774,5.514285714285714,2.0,9.0,0.0,5.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.7916666666666666,0.9923076923076924,0.8,0.9935483870967742,106,297.0,2.80188679245283,0.0,2.80188679245283,0.5341173406651005,0.9977931266846362,0.0366707242848447,0.107724519,0.174651632,0.022762519,0.8962264150943396,0.5471698113207547,3.887096774193549,4.514285714285714,2.0,12.0,1.0,7.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.7107142857142856,0.9923664122137404,0.7352941176470589,0.9935691318327974,103,295.0,2.8640776699029127,0.0,2.8640776699029127,0.5344318771795055,0.997549699491447,0.037711110417382,0.087924379,0.146348245,0.0205982459999999,0.8446601941747572,0.5048543689320388,3.8842443729903535,3.6176470588235294,3.0,7.0,1.0,3.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.7464285714285714,0.9923664122137404,0.7647058823529411,0.9935691318327974,107,318.0,2.97196261682243,0.0,2.97196261682243,0.5383889007792124,0.9992810927390366,0.0391261231481203,0.099519774,0.158167159,0.0240611959999999,0.8411214953271028,0.5887850467289719,4.186495176848875,4.352941176470588,1.0,12.0,1.0,8.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.6821428571428572,0.9923664122137404,0.6764705882352942,0.9935691318327974,103,299.0,2.9029126213592233,0.0,2.9029126213592233,0.5347004539619535,0.9970604099244876,0.037711110417382,0.087855993,0.145094589,0.020766378,0.8349514563106796,0.5339805825242718,3.8842443729903535,4.352941176470588,3.0,5.0,2.0,1.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.6083333333333334,0.9850427350427352,0.6285714285714286,0.9838709677419356,104,297.0,2.855769230769231,0.0,2.855769230769231,0.5392644499363052,0.9977046476874774,0.042152605459057,0.097914676,0.160430095,0.023467848,0.8173076923076923,0.6153846153846154,4.383870967741935,3.657142857142857,7.0,15.0,2.0,9.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.7083333333333333,0.9895299145299146,0.7142857142857143,0.9903225806451612,100,286.0,2.86,0.0,2.86,0.5348025357791442,0.9963352826510722,0.0397419354838709,0.090041683,0.148097402,0.02168088,0.88,0.55,3.9741935483870967,3.657142857142857,11.0,14.0,9.0,9.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.5916666666666667,0.9895299145299146,0.6285714285714286,0.9903225806451612,97,271.0,2.7938144329896906,0.0,2.7938144329896906,0.5391953664891809,0.9981836033382424,0.0411706019288327,0.202708091,0.3492545289999998,0.028381004,0.8969072164948454,0.5567010309278351,3.9935483870967743,3.914285714285714,5.0,13.0,0.0,6.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.675,0.9961832061068704,0.7058823529411765,0.9967845659163987,107,306.0,2.8598130841121496,0.0,2.8598130841121496,0.5355036060215487,0.9974423993115582,0.0388857168614959,0.124128038,0.206536534,0.028062084,0.897196261682243,0.514018691588785,4.160771704180064,4.147058823529412,9.0,9.0,3.0,6.0,C2,C2,C2
plain,no_discretization,bupa-liver-disorders,0,0.675,0.9961832061068704,0.7058823529411765,0.9967845659163987,99,292.0,2.9494949494949494,0.0,2.9494949494949494,0.5368698207943832,0.9988116458704692,0.0381954594173243,0.087986367,0.14660228,0.021225358,0.8686868686868687,0.5454545454545454,3.781350482315113,3.7058823529411766,2.0,17.0,0.0,11.0,C2,C2,C2
