model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,car,0.6153846153846154,0.5338260224623861,0.590591619957869,0.8208092485549133,0.8443729903536977,26,68.0,1.8846153846153846,0.11538461538461539,2.6153846153846154,0.4440687457392164,0.7461909457534178,0.1885728419490477,0.2099950313568115,0.23730631,0.025070993,1.0,1.0,4.902893890675241,4.971098265895954,827.0,93.0,386.0,50.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.6296296296296297,0.5194426785335876,0.5123107540874005,0.8034682080924855,0.8064308681672026,27,76.0,2.0,0.18518518518518517,2.814814814814815,0.4421076027714715,0.7728118935049574,0.1915684172918899,0.2694597244262695,0.253858928,0.0259860349999999,1.0,1.0,5.172347266881029,5.127167630057803,871.0,89.0,331.0,37.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.5925925925925926,0.6184288199838439,0.5822742162414549,0.8497109826589595,0.8353697749196142,27,73.0,1.962962962962963,0.14814814814814814,2.7037037037037037,0.4293018043154598,0.7297587451262763,0.1671073002262712,0.2178966999053955,0.2487175149999999,0.0227572829999999,1.0,1.0,4.511897106109325,4.554913294797688,827.0,103.0,376.0,46.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.5769230769230769,0.5882267652602581,0.5944321911995613,0.8313953488372093,0.8386889460154242,26,69.0,1.9230769230769231,0.15384615384615385,2.6538461538461537,0.4395754410150193,0.7364275714505938,0.1779711291279414,0.2046821117401123,0.235378443,0.021342876,1.0,1.0,4.627249357326479,4.511627906976744,830.0,94.0,390.0,38.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.5483870967741935,0.4735055614242217,0.5608061607980067,0.8208092485549133,0.8372990353697749,31,86.0,2.096774193548387,0.12903225806451613,2.774193548387097,0.432242944312624,0.7624483891815933,0.1855409189918058,0.2601416110992431,0.2720452839999999,0.028747647,1.0,1.0,5.751768488745981,5.236994219653179,864.0,84.0,390.0,42.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.5185185185185185,0.5665924984106803,0.5304626285633856,0.838150289017341,0.8212218649517685,27,75.0,2.111111111111111,0.14814814814814814,2.7777777777777777,0.4343761575137914,0.7693536983453133,0.1871144456353459,0.2394342422485351,0.258568126,0.024972685,1.0,1.0,5.052090032154341,4.820809248554913,856.0,92.0,373.0,41.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.5769230769230769,0.5900546821599453,0.5657429798373318,0.8265895953757225,0.8495176848874598,26,67.0,1.8461538461538463,0.15384615384615385,2.576923076923077,0.4260617449411747,0.7245142587968807,0.1916398713826365,0.2447981834411621,0.284176814,0.025326044,1.0,1.0,4.982636655948553,4.92485549132948,834.0,96.0,401.0,51.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.0,0.6373399327944783,0.719783434262231,0.8901734104046243,0.9138263665594856,76,414.0,5.184210526315789,0.2631578947368421,5.447368421052632,0.5054639074047094,0.8986571767244907,0.0669487222880352,0.3723611831665039,0.575383322,0.083945477,1.0,1.0,5.088102893890675,5.0,401.0,53.0,264.0,34.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.6666666666666666,0.4894752376809793,0.5426490503690633,0.8034682080924855,0.8102893890675241,30,80.0,1.8666666666666667,0.13333333333333333,2.6666666666666665,0.4215287708781458,0.7367131223076483,0.195326902465166,0.2455389499664306,0.254654024,0.029882659,1.0,1.0,5.859807073954984,6.3468208092485545,863.0,97.0,355.0,31.0,C2,C2,C2
at_least_M-of-N,no_discretization,car,0.6896551724137931,0.5009476169763252,0.5344973554560957,0.8023255813953488,0.8155526992287918,29,78.0,1.8620689655172413,0.13793103448275862,2.689655172413793,0.4312735381599941,0.7468501279118057,0.1946857548089708,0.2612993717193603,0.281835898,0.028697946,1.0,1.0,5.645886889460154,5.412790697674419,843.0,97.0,327.0,33.0,C2,C2,C2
