model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,car,0,0.6274445251717979,0.6973468294041318,0.8670520231213873,0.8868167202572347,28,117.0,1.0,3.1785714285714284,4.178571428571429,0.5444290149005759,0.8466308693897313,0.1141708773541571,0.130862506,0.2310211089999999,0.038475411,1.0,1.0,3.1967845659163987,3.2658959537572256,309.0,34.0,235.0,27.0,C2,C2,C2
complex,no_discretization,car,0,0.5653967244876336,0.7146841745064386,0.8497109826589595,0.8919614147909968,37,163.0,1.027027027027027,3.3783783783783785,4.405405405405405,0.5305860982672019,0.8481459859832614,0.1015903363170244,0.16927131,0.281975009,0.045595618,1.0,1.0,3.758842443729904,4.017341040462428,334.0,36.0,255.0,31.0,C2,C2,C2
complex,no_discretization,car,0,0.7966351829988194,0.7592445039925659,0.9017341040462428,0.9003215434083601,29,122.0,0.8620689655172413,3.3448275862068964,4.206896551724138,0.5489748351829703,0.8563608905201442,0.1107218095132497,0.120502456,0.257756267,0.034691392,1.0,1.0,3.210932475884245,3.393063583815029,333.0,37.0,248.0,25.0,C2,C2,C2
complex,no_discretization,car,0,0.7133018496654859,0.7272811462636339,0.8895348837209303,0.8881748071979434,27,108.0,0.9259259259259259,3.074074074074074,4.0,0.5410221432319801,0.8359401402884369,0.1220603637056079,0.135020244,0.243451653,0.035481975,1.0,1.0,3.295629820051414,3.302325581395349,338.0,35.0,260.0,28.0,C2,C2,C2
complex,no_discretization,car,0,0.6891117255949791,0.6417792704248666,0.8959537572254336,0.8720257234726688,37,165.0,0.7027027027027027,3.7567567567567566,4.45945945945946,0.5126072598808102,0.8267149212812392,0.1073781176675067,0.219480277,0.343997312,0.049937987,1.0,1.0,3.972990353697749,3.757225433526012,308.0,39.0,245.0,27.0,C2,C2,C2
complex,no_discretization,car,0,0.6773756546483819,0.7601123894732359,0.8959537572254336,0.9054662379421222,20,75.0,0.85,2.9,3.75,0.5559570624818568,0.8290817481812771,0.1368167202572347,0.090448111,0.209752241,0.026096342,1.0,1.0,2.7363344051446945,2.572254335260116,327.0,37.0,236.0,28.0,C2,C2,C2
complex,no_discretization,car,0,0.7144954327968682,0.725565365443738,0.8728323699421965,0.8861736334405145,28,116.0,0.8928571428571429,3.25,4.142857142857143,0.5340070675227325,0.8242753020446297,0.1160082682590721,0.13843523,0.269500686,0.0387947129999999,1.0,1.0,3.248231511254019,3.3121387283237,326.0,40.0,254.0,33.0,C2,C2,C2
complex,no_discretization,car,0,0.6256243756243757,0.7268369287500025,0.8786127167630058,0.8816720257234727,32,138.0,1.125,3.1875,4.3125,0.5298736660366415,0.8408457187918951,0.0960209003215434,0.198070752,0.4664803339999999,0.048129024,1.0,1.0,3.072668810289389,3.017341040462428,309.0,34.0,251.0,26.0,C2,C2,C2
complex,no_discretization,car,0,0.700956937799043,0.65091657055841,0.8728323699421965,0.8688102893890676,36,155.0,0.75,3.5555555555555554,4.305555555555555,0.5258549537071268,0.825642035749635,0.111718470882458,0.193132716,0.320436676,0.0488610229999999,1.0,1.0,4.021864951768489,4.011560693641618,344.0,39.0,281.0,33.0,C2,C2,C2
complex,no_discretization,car,0,0.6424402949522567,0.7743520090200467,0.8604651162790697,0.8946015424164524,29,125.0,0.896551724137931,3.413793103448276,4.310344827586207,0.549847896340812,0.857308491811351,0.1063070649765091,0.116771338,0.250214719,0.034281707,1.0,1.0,3.082904884318766,3.0872093023255816,334.0,38.0,261.0,30.0,C2,C2,C2
