model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,car,0.5714285714285714,0.5661232706687251,0.6243806755382986,0.8034682080924855,0.8495176848874598,28,78.0,2.0357142857142856,0.17857142857142858,2.7857142857142856,0.4178388436280755,0.7401144427041694,0.189251263206247,0.2316114902496338,0.257785514,0.026885983,1.0,1.0,5.29903536977492,5.497109826589595,1042.0,110.0,363.0,45.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.53125,0.5840031180940272,0.6070811412543325,0.8034682080924855,0.8070739549839229,32,102.0,2.46875,0.1875,3.1875,0.4259436389921817,0.7661622977449489,0.1729300643086816,0.2693295478820801,0.2926340679999999,0.034032263,1.0,1.0,5.533762057877814,5.606936416184971,1015.0,112.0,296.0,36.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.4482758620689655,0.6915429068539116,0.6141795145535069,0.8786127167630058,0.8135048231511254,29,91.0,2.4482758620689653,0.2413793103448276,3.1379310344827585,0.4526810317258626,0.7967291533511538,0.1645858742654395,0.2437820434570312,0.2763994139999999,0.0257415009999999,1.0,1.0,4.772990353697749,4.803468208092486,1005.0,111.0,282.0,30.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.5161290322580645,0.6241870171296009,0.6672235915488921,0.8546511627906976,0.8502570694087404,31,97.0,2.3548387096774195,0.25806451612903225,3.129032258064516,0.4365310041056124,0.7762456091627387,0.1698109295961522,0.2584102153778076,0.268318729,0.030130267,1.0,1.0,5.26413881748072,5.127906976744186,1002.0,111.0,343.0,35.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.5333333333333333,0.500194183806624,0.545233991389789,0.8265895953757225,0.8295819935691319,30,86.0,2.2,0.13333333333333333,2.8666666666666667,0.4307481331481234,0.7789043824120987,0.1919399785637728,0.2655470371246338,0.294377044,0.028641762,1.0,1.0,5.758199356913183,5.1502890173410405,1048.0,104.0,353.0,41.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.4375,0.5819370023915479,0.6556686676724084,0.7976878612716763,0.8270096463022508,32,103.0,2.5625,0.21875,3.21875,0.4396200395009907,0.789386890397937,0.172668810289389,0.2494075298309326,0.281274788,0.0292205879999999,1.0,1.0,5.52540192926045,5.421965317919075,1015.0,109.0,340.0,40.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.5161290322580645,0.5765161871621202,0.651998329793752,0.8265895953757225,0.8643086816720257,31,99.0,2.4193548387096775,0.25806451612903225,3.193548387096774,0.4364260055129689,0.7605913804953245,0.1547557307333263,0.2442018985748291,0.275522442,0.028685657,1.0,1.0,4.797427652733119,4.77456647398844,942.0,110.0,325.0,35.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.0,0.6373399327944783,0.719783434262231,0.8901734104046243,0.9138263665594856,76,414.0,5.184210526315789,0.2631578947368421,5.447368421052632,0.5054639074047094,0.8986571767244907,0.0669487222880352,0.3797953128814697,0.6292643480000001,0.087072034,1.0,1.0,5.088102893890675,5.0,401.0,53.0,264.0,34.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.6,0.5543248617411296,0.5860253534853443,0.8092485549132948,0.8270096463022508,35,109.0,2.257142857142857,0.2571428571428571,3.1142857142857143,0.4104273428375329,0.7453056382836212,0.1756913183279742,0.2601087093353271,0.284938493,0.0362052629999999,1.0,1.0,6.149196141479099,6.583815028901734,1035.0,117.0,331.0,33.0,C2,C2,C2
exact_M-of-N,no_discretization,car,0.6666666666666666,0.5315225046086289,0.6257309366963815,0.8023255813953488,0.8296915167095116,36,111.0,2.1944444444444446,0.2222222222222222,3.0833333333333335,0.4155176839821956,0.7428851128938564,0.175967580691231,0.2624073028564453,0.292246373,0.034239423,1.0,1.0,6.334832904884319,5.988372093023256,1042.0,119.0,339.0,31.0,C2,C2,C2
