model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,cleveland,0,0.2666666666666666,0.9063041125541126,0.5806451612903226,0.9338235294117648,88,224.0,1.0340909090909092,1.5113636363636365,2.5454545454545454,0.5630168775007478,0.9950195878501216,0.0549799465240642,0.943836792,1.7555750339999996,0.044766118,0.9090909090909092,0.2840909090909091,4.838235294117647,4.516129032258065,17.0,11.0,2.0,1.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.3764705882352941,0.9161912492269636,0.5806451612903226,0.9448529411764706,89,214.0,0.7752808988764045,1.6292134831460674,2.404494382022472,0.5569227279602814,0.9959872388452008,0.0463070059484468,1.195019417,1.6051036770000002,0.02311047,0.8202247191011236,0.2808988764044944,4.1213235294117645,4.451612903225806,15.0,6.0,4.0,2.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.3125,0.9632983870967742,0.5333333333333333,0.9706959706959708,89,216.0,0.6629213483146067,1.7640449438202248,2.4269662921348316,0.5548475394868219,0.9939703903137492,0.043667942544347,0.78744588,1.456733426,0.01954626,0.8426966292134831,0.2247191011235955,3.8864468864468864,4.233333333333333,12.0,15.0,5.0,9.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.3399999999999999,0.9472983870967742,0.6333333333333333,0.956043956043956,93,226.0,0.7311827956989247,1.6989247311827957,2.4301075268817205,0.5546162893829821,0.995597526309242,0.0443499153176572,0.681898321,1.457000811,0.0117665009999999,0.8817204301075269,0.2795698924731182,4.124542124542124,4.933333333333334,19.0,8.0,9.0,3.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.25,0.9392983870967742,0.5666666666666667,0.9487179487179488,86,212.0,0.8837209302325582,1.5813953488372092,2.4651162790697674,0.5605106362444591,0.9968832395031404,0.049237584121305,0.65355602,1.420686814,0.011605071,0.8953488372093024,0.2093023255813953,4.2344322344322345,4.9,14.0,9.0,3.0,5.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.2549019607843137,0.9284438775510204,0.5666666666666667,0.9377289377289376,90,241.0,1.0444444444444445,1.6333333333333333,2.6777777777777776,0.563144474238617,0.9923309515190116,0.0552299552299552,0.804225888,1.487343707,0.013506587,0.9222222222222224,0.3444444444444444,4.970695970695971,4.366666666666666,18.0,6.0,1.0,1.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.2208333333333333,0.9262755102040816,0.5333333333333333,0.9377289377289376,91,213.0,0.7032967032967034,1.6373626373626373,2.340659340659341,0.5553328117794643,0.9957417215101314,0.0458881777563096,0.705900731,1.44215634,0.032052954,0.8461538461538461,0.2417582417582417,4.175824175824176,4.466666666666667,17.0,7.0,2.0,2.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.1764705882352941,0.9204622758194188,0.4838709677419355,0.9485294117647058,84,203.0,0.7738095238095238,1.6428571428571428,2.4166666666666665,0.5621642718286044,0.9937771647665438,0.0517769607843137,0.732858869,1.5645176580000002,0.0327817579999999,0.9523809523809524,0.2738095238095238,4.349264705882353,4.032258064516129,14.0,9.0,3.0,4.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.3275,0.9328467741935484,0.6,0.945054945054945,92,236.0,0.9130434782608695,1.6521739130434783,2.5652173913043477,0.5600386311443802,0.9955699129362384,0.0510431597388119,0.787027976,1.4471837069999998,0.012067122,0.8695652173913043,0.2934782608695652,4.695970695970696,4.433333333333334,14.0,9.0,2.0,5.0,C2,C2,C2
complex,no_discretization,cleveland,0,0.2,0.9186317204301075,0.5333333333333333,0.9413919413919414,87,232.0,0.896551724137931,1.7701149425287357,2.6666666666666665,0.5627317420758008,0.992038954047613,0.0575975748389541,0.803073631,1.5088776,0.01225776,0.9195402298850576,0.3448275862068966,5.010989010989011,4.9,20.0,10.0,20.0,10.0,C2,C2,C2
