model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cleveland,0.2988505747126437,0.3333333333333333,0.879580241187384,0.6129032258064516,0.9154411764705882,87,226.0,0.8045977011494253,1.4942528735632183,2.5977011494252875,0.557597465420591,0.9809460516770656,0.0593306288032454,7.04385781288147,1.4774855239999998,0.1473059189999999,0.9080459770114944,0.2988505747126437,5.161764705882353,4.451612903225806,52.0,13.0,23.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.16470588235294117,0.4215686274509803,0.8814277983920841,0.6129032258064516,0.9227941176470588,85,201.0,0.7176470588235294,1.4823529411764707,2.364705882352941,0.5534076625925545,0.9906687197767444,0.0447231833910035,4.993478298187256,0.9584400990000002,0.1070343099999999,0.8117647058823529,0.2470588235294117,3.801470588235294,4.225806451612903,26.0,9.0,4.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.2235294117647059,0.225,0.8998421970357455,0.5,0.9230769230769232,85,211.0,0.6941176470588235,1.5647058823529412,2.4823529411764707,0.5434382610378864,0.9755783820238276,0.0419306184012066,3.462360143661499,1.1556736090000002,0.158092366,0.8352941176470589,0.2705882352941176,3.5641025641025643,3.566666666666667,62.0,15.0,27.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.21739130434782608,0.3775,0.9445438099389712,0.6333333333333333,0.9597069597069596,92,226.0,0.6739130434782609,1.565217391304348,2.4565217391304346,0.5532091752074938,0.9832859822683758,0.0496098104793756,6.820075988769531,1.5973280420000002,0.181870628,0.8804347826086957,0.3478260869565217,4.564102564102564,4.933333333333334,70.0,10.0,45.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.08235294117647059,0.25,0.903513440860215,0.5666666666666667,0.9413919413919414,85,203.0,0.9176470588235294,1.388235294117647,2.388235294117647,0.5600743796165869,0.9966184106190904,0.0475759534583063,3.8253326416015625,1.296897957,0.143379044,0.8823529411764706,0.2117647058823529,4.043956043956044,4.5,15.0,7.0,1.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.1839080459770115,0.388235294117647,0.9324598021026592,0.6333333333333333,0.945054945054945,87,230.0,0.9310344827586207,1.528735632183908,2.6436781609195403,0.5642802839526588,0.9956517580885758,0.0477032545998062,8.63909387588501,1.6437757020000003,0.1660620599999999,0.9195402298850576,0.3448275862068966,4.150183150183151,3.8333333333333335,19.0,7.0,5.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.13793103448275862,0.2375,0.9056122448979592,0.5333333333333333,0.9230769230769232,87,198.0,0.7701149425287356,1.367816091954023,2.2758620689655173,0.5515396695426089,0.9914824728733184,0.0431560776388362,2.928717613220215,1.467132547,0.136959654,0.8275862068965517,0.2298850574712643,3.7545787545787546,3.866666666666666,25.0,7.0,5.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.1927710843373494,0.1764705882352941,0.942915120593692,0.4838709677419355,0.9558823529411764,83,200.0,0.7590361445783133,1.4578313253012047,2.4096385542168677,0.5627063182459654,0.9948637356240304,0.0485914245216159,3.0375001430511475,1.057600306,0.1298956049999999,0.9518072289156626,0.3132530120481928,4.033088235294118,3.870967741935484,12.0,7.0,2.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.1797752808988764,0.5650000000000001,0.9121451612903224,0.6333333333333333,0.9304029304029304,89,218.0,0.7528089887640449,1.5168539325842696,2.449438202247191,0.5595490319176881,0.9931008901321224,0.0497180721899822,8.158171653747559,1.346064158,0.219732868,0.8651685393258427,0.3033707865168539,4.424908424908425,4.2,21.0,10.0,4.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,cleveland,0.27906976744186046,0.1875,0.8981620895088638,0.5,0.934065934065934,86,228.0,0.8604651162790697,1.5116279069767442,2.6511627906976742,0.5553879025705204,0.9791187130187764,0.055967288525428,6.510040283203125,1.053121341,0.067895054,0.8953488372093024,0.3372093023255814,4.813186813186813,4.5,49.0,14.0,45.0,14.0,C2,C2,C2
