model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,cleveland,0,0.3098039215686274,0.9022224799010512,0.5483870967741935,0.9301470588235294,91,345.0,3.791208791208791,0.0,3.791208791208791,0.5909184792115921,0.9938972429359884,0.0797915319974143,0.121392201,0.303782658,0.0269856949999999,0.967032967032967,0.8021978021978022,7.261029411764706,6.967741935483871,24.0,12.0,6.0,5.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.3529411764705882,0.9082173778602348,0.5161290322580645,0.9375,87,325.0,3.735632183908046,0.0,3.735632183908046,0.5801594841695048,0.9925793029674274,0.072261663286004,0.227339426,0.438427283,0.03250274,0.9655172413793104,0.5977011494252874,6.286764705882353,7.161290322580645,21.0,7.0,6.0,5.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.2875,0.9187983870967742,0.5666666666666667,0.934065934065934,88,335.0,3.8068181818181817,0.0,3.8068181818181817,0.5827638429365133,0.9887731280032566,0.0757575757575757,0.131972458,0.366340405,0.0405245309999999,0.9545454545454546,0.7613636363636364,6.666666666666667,6.733333333333333,20.0,13.0,3.0,6.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.265,0.9272983870967744,0.5333333333333333,0.9377289377289376,99,389.0,3.9292929292929295,0.0,3.9292929292929295,0.5871316810627608,0.9922734276361668,0.0787730787730787,0.129704621,0.334882106,0.029904854,0.9595959595959596,0.7777777777777778,7.798534798534798,9.033333333333331,21.0,9.0,4.0,4.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.2375,0.8714784946236559,0.5333333333333333,0.9047619047619048,89,340.0,3.8202247191011236,0.0,3.8202247191011236,0.585321862639696,0.9907769090761324,0.0781166399143926,0.106482956,0.3061285309999999,0.0243110899999999,0.9887640449438202,0.7865168539325843,6.9523809523809526,7.8,26.0,15.0,1.0,7.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.388235294117647,0.9202149041434756,0.6666666666666666,0.934065934065934,95,369.0,3.8842105263157896,0.0,3.8842105263157896,0.5862751910793488,0.9905923908743506,0.0840948525159051,0.120911897,0.32826779,0.028913878,0.968421052631579,0.6105263157894737,7.989010989010989,6.466666666666667,24.0,7.0,8.0,2.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.3541666666666666,0.9056122448979592,0.6,0.9230769230769232,89,332.0,3.730337078651685,0.0,3.730337078651685,0.5836004450087863,0.9912867694965826,0.0799275630736304,0.132405873,0.342863561,0.033594254,0.9550561797752808,0.5617977528089888,7.113553113553113,8.433333333333334,22.0,12.0,3.0,6.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.288235294117647,0.9024118738404452,0.5806451612903226,0.9301470588235294,92,327.0,3.5543478260869565,0.0,3.5543478260869565,0.582381753681191,0.9912090140589844,0.0750479539641944,0.119196973,0.3060194870000001,0.035520111,0.9565217391304348,0.6304347826086957,6.904411764705882,6.064516129032258,22.0,13.0,4.0,3.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.2024999999999999,0.9145967741935483,0.4666666666666667,0.9304029304029304,88,330.0,3.75,0.0,3.75,0.5829377123112166,0.985066152014408,0.0797535797535797,0.110499406,0.312614661,0.024857051,0.9659090909090908,0.7386363636363636,7.018315018315018,7.0,25.0,11.0,8.0,9.0,C2,C2,C2
plain,no_discretization,cleveland,0,0.1875,0.9192983870967742,0.5,0.9304029304029304,89,344.0,3.865168539325843,0.0,3.865168539325843,0.5865632929301009,0.990548193380803,0.0783224266370333,0.116027984,0.3240106279999999,0.029233298,0.9775280898876404,0.7415730337078652,6.970695970695971,6.333333333333333,22.0,5.0,22.0,4.0,C2,C2,C2
