model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,cylinder-bands,0.1746031746031746,0.7510518934081346,0.9735700026039408,0.7592592592592593,0.9732510288065844,126,337.0,0.9603174603174603,1.5396825396825398,2.6746031746031744,0.5413278175054854,0.997746492778147,0.0428506107518453,8.169742345809937,2.7737863160000007,0.052715309,0.7619047619047619,0.5396825396825397,5.399176954732511,4.444444444444445,17.0,22.0,10.0,10.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.08527131782945736,0.9403927068723704,0.9866851835778144,0.9444444444444444,0.9876543209876544,129,309.0,0.7441860465116279,1.565891472868217,2.395348837209302,0.5368241033279917,0.999681738616472,0.0360002552078348,4.526110410690308,1.735461245,0.062077161,0.8062015503875969,0.5038759689922481,4.6440329218107,5.648148148148148,0.0,13.0,0.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.104,0.7503506311360448,0.9811474698376876,0.7777777777777778,0.9835390946502056,125,291.0,0.952,1.272,2.328,0.5354522887576509,0.9994088163930362,0.0355390946502057,4.07002329826355,2.124117054,0.057993337,0.792,0.496,4.44238683127572,4.2407407407407405,4.0,20.0,1.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.10852713178294573,0.8153409090909092,0.9860783633841886,0.8148148148148148,0.9876543209876544,129,336.0,0.9069767441860465,1.5891472868217054,2.604651162790698,0.5429867384295357,0.9992540982280022,0.0419976393275273,14.140650033950806,2.71516236,0.0838558839999999,0.7751937984496124,0.4806201550387597,5.417695473251029,4.87037037037037,3.0,24.0,2.0,13.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.14393939393939395,0.7454417952314165,0.9926829268292684,0.7592592592592593,0.9938271604938272,132,291.0,0.7045454545454546,1.356060606060606,2.2045454545454546,0.5312655019950393,1.0,0.0309421374236188,12.146465539932253,1.2188559150000002,0.0576509169999999,0.7575757575757576,0.4318181818181818,4.084362139917696,4.074074074074074,0.0,19.0,0.0,10.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.11363636363636363,0.864656381486676,0.9909035673986633,0.8703703703703703,0.9917695473251028,132,297.0,0.696969696969697,1.4393939393939394,2.25,0.5324797067354137,0.99987974987975,0.0323450554932036,5.651526689529419,1.988524663,0.0659153309999999,0.7954545454545454,0.4545454545454545,4.269547325102881,4.87037037037037,1.0,21.0,0.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.12307692307692308,0.7994389901823282,0.9806874403263606,0.8148148148148148,0.9814814814814816,130,328.0,0.8692307692307693,1.5307692307692307,2.523076923076923,0.5364640613880298,0.9985877271600868,0.0377651155428933,7.394460439682007,2.28754266,0.062705159,0.7923076923076923,0.5076923076923077,4.909465020576132,4.018518518518518,14.0,19.0,3.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.1557377049180328,0.7671809256661992,0.9926829268292684,0.7777777777777778,0.9938271604938272,122,313.0,0.7459016393442623,1.6639344262295082,2.5655737704918034,0.5373380896751624,1.0,0.0359239020441206,5.748655557632446,1.242440619,0.063048066,0.8032786885245902,0.4918032786885246,4.382716049382716,3.351851851851852,0.0,16.0,0.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.1968503937007874,0.6921458625525947,0.9866851835778144,0.6851851851851852,0.9876543209876544,127,279.0,0.7559055118110236,1.2440944881889764,2.1968503937007875,0.5340854461589143,0.9997284822155852,0.0329704157350701,9.234442949295044,1.2722460080000002,0.068456082,0.7637795275590551,0.4409448818897638,4.18724279835391,3.888888888888889,0.0,20.0,0.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,cylinder-bands,0.11023622047244094,0.7684659090909092,0.9753640776699029,0.7592592592592593,0.9753086419753086,127,325.0,0.984251968503937,1.4645669291338583,2.559055118110236,0.5404144425665727,0.9978488476919888,0.0410388516250283,7.629781723022461,3.474322276,0.0529980629999999,0.8110236220472441,0.5039370078740157,5.211934156378601,5.703703703703703,14.0,19.0,8.0,7.0,C2,C2,C2
