model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,cylinder-bands,0,0.6963534361851332,0.9878048780487804,0.7222222222222222,0.9897119341563786,127,228.0,0.41732283464566927,1.3779527559055118,1.795275590551181,0.5233227507935495,0.9998642411077924,0.02397848417096,2.126925465,2.930489423,0.024359774,0.7401574803149606,0.4330708661417323,3.045267489711934,2.814814814814815,1.0,15.0,1.0,9.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.8590462833099579,0.9926829268292684,0.8703703703703703,0.9938271604938272,134,239.0,0.3805970149253731,1.4029850746268657,1.7835820895522387,0.5239646385755118,0.9995550458989564,0.0250752410785578,2.38851682,3.310011695,0.022695028,0.7835820895522388,0.4104477611940298,3.360082304526749,3.4074074074074074,3.0,8.0,0.0,6.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.6093969144460027,0.9902439024390244,0.6481481481481481,0.9917695473251028,128,220.0,0.4140625,1.3046875,1.71875,0.5221177632149989,0.999855324074074,0.0230034722222222,2.256538769,3.009027657,0.020669319,0.7109375,0.375,2.9444444444444446,2.814814814814815,1.0,15.0,0.0,4.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.7613636363636364,0.9927184466019418,0.7592592592592593,0.9938271604938272,138,249.0,0.427536231884058,1.3768115942028984,1.8043478260869565,0.5239999234688357,0.9997312470138556,0.0248404604282221,2.471174353,3.246102023,0.0259019879999999,0.6956521739130435,0.3768115942028985,3.42798353909465,3.6296296296296298,2.0,22.0,0.0,10.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.7510518934081346,0.9902439024390244,0.7592592592592593,0.9917695473251028,139,248.0,0.39568345323741005,1.3884892086330936,1.7841726618705036,0.5210002778489387,0.9988279393424844,0.0233590905053734,2.302461512,3.0664133409999987,0.02356828,0.7122302158273381,0.3525179856115107,3.246913580246914,3.037037037037037,12.0,19.0,1.0,10.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.9081346423562412,0.9902439024390244,0.9074074074074074,0.9917695473251028,131,229.0,0.37404580152671757,1.3740458015267176,1.748091603053435,0.5234505113412597,0.999580572099656,0.0244714604341406,2.526311061,3.243541146999999,0.023850796,0.7938931297709924,0.366412213740458,3.205761316872428,3.203703703703704,2.0,13.0,0.0,4.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.6577840112201964,0.9902439024390244,0.7037037037037037,0.9917695473251028,134,239.0,0.4626865671641791,1.3208955223880596,1.7835820895522387,0.5251208423327597,0.999691965703398,0.025827651864136,2.356504836,3.2025262290000005,0.0235244729999999,0.7611940298507462,0.4402985074626865,3.460905349794239,2.7962962962962963,1.0,16.0,0.0,14.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.7124824684431977,0.9829268292682928,0.7407407407407407,0.98559670781893,129,230.0,0.4108527131782946,1.372093023255814,1.7829457364341086,0.522749782008608,0.999315355904503,0.0243882987207707,2.183478899,2.978020556,0.021307711,0.7751937984496124,0.4186046511627907,3.146090534979424,3.037037037037037,5.0,15.0,3.0,10.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.8050490883590462,0.9902439024390244,0.8148148148148148,0.9917695473251028,137,240.0,0.44525547445255476,1.3065693430656935,1.7518248175182483,0.5208627645311023,0.9998596294216732,0.0215223333633714,2.569305093,3.4387033670000005,0.024389615,0.7007299270072993,0.3503649635036496,2.948559670781893,2.9814814814814814,1.0,15.0,1.0,7.0,C2,C2,C2
complex,no_discretization,cylinder-bands,0,0.7471590909090908,0.9927184466019418,0.7592592592592593,0.9938271604938272,134,237.0,0.3656716417910448,1.4029850746268657,1.7686567164179106,0.5217700199380394,0.9995772883832584,0.0224955469565751,2.163792698,3.01468267,0.0232990859999999,0.7910447761194029,0.373134328358209,3.01440329218107,2.9444444444444446,3.0,11.0,0.0,5.0,C2,C2,C2
