model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cylinder-bands,0.46825396825396826,0.7342215988779803,0.9824667997569656,0.7592592592592593,0.9835390946502056,126,316.0,0.8809523809523809,1.1587301587301588,2.507936507936508,0.547483688147895,0.998889156515705,0.0467698739303677,8.182265281677246,2.114178004,0.073596077,0.7698412698412699,0.5873015873015873,5.893004115226337,4.777777777777778,6.0,18.0,4.0,11.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.4409448818897638,0.8807854137447405,0.9769290860168388,0.8888888888888888,0.9794238683127572,127,297.0,0.6299212598425197,1.2677165354330708,2.338582677165354,0.5391824696126138,0.998784831774077,0.0392728686691941,4.387903928756714,1.4132526399999998,0.048638744,0.7874015748031497,0.5118110236220472,4.987654320987654,6.222222222222222,9.0,13.0,8.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.32,0.7342215988779803,0.973830396666956,0.7592592592592593,0.977366255144033,125,313.0,0.92,1.264,2.504,0.5410840201148502,0.998561545292842,0.04159670781893,3.79990553855896,1.724794285,0.060615061,0.768,0.512,5.199588477366255,5.111111111111111,11.0,24.0,3.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.48091603053435117,0.7997159090909092,0.9927184466019418,0.7962962962962963,0.9938271604938272,131,313.0,0.732824427480916,1.1755725190839694,2.3893129770992365,0.5460992463314763,0.9997412343123304,0.0435554298997895,13.581726312637327,1.218092724,0.053516063,0.6946564885496184,0.4961832061068702,5.705761316872428,5.37037037037037,2.0,20.0,2.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.4251968503937008,0.7405329593267882,0.9884645430084192,0.7407407407407407,0.9897119341563786,127,293.0,0.6614173228346457,1.220472440944882,2.3070866141732282,0.5387742480870495,0.9997210771851012,0.0376202974628171,13.172956228256226,1.3938000920000002,0.064737132,0.7559055118110236,0.4724409448818897,4.777777777777778,5.148148148148148,1.0,19.0,1.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.4453125,0.8267882187938289,0.9891242079680584,0.8333333333333334,0.9897119341563786,128,306.0,0.7109375,1.234375,2.390625,0.5417980978795878,0.9993729432830044,0.0406378600823045,6.2573347091674805,2.155356139,0.057504948,0.8203125,0.53125,5.20164609053498,6.7407407407407405,3.0,22.0,1.0,10.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.3816793893129771,0.6963534361851332,0.9849058241472096,0.7222222222222222,0.98559670781893,131,344.0,0.9007633587786259,1.3435114503816794,2.6259541984732824,0.5455233488268418,0.99928951455669,0.0444507272327459,7.54556679725647,1.396024394,0.049838373,0.7938931297709924,0.5801526717557252,5.823045267489712,4.481481481481482,5.0,18.0,2.0,11.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.55,0.7503506311360448,0.9860255186181754,0.7777777777777778,0.9876543209876544,120,319.0,0.6833333333333333,1.425,2.658333333333333,0.543082077539501,0.9995446671359752,0.0425754458161865,6.05809497833252,1.557038264,0.05695039,0.7833333333333333,0.5166666666666667,5.109053497942387,3.555555555555556,2.0,20.0,2.0,14.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.44274809160305345,0.7026647966339411,0.9793681104070828,0.7037037037037037,0.9814814814814816,131,311.0,0.8854961832061069,1.0458015267175573,2.3740458015267176,0.5410090112628563,0.9990528635046588,0.0401941381585147,10.157077550888062,2.161565948,0.057005726,0.7709923664122137,0.5114503816793893,5.265432098765432,4.592592592592593,6.0,19.0,4.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,cylinder-bands,0.33076923076923076,0.7386363636363636,0.9831484049930652,0.7407407407407407,0.9835390946502056,130,330.0,0.9076923076923077,1.3,2.5384615384615383,0.5456917219010513,0.9993318553928632,0.0436055713833491,7.541513442993164,2.470747059,0.066338749,0.8307692307692308,0.5384615384615384,5.668724279835391,5.833333333333333,3.0,15.0,0.0,4.0,C2,C2,C2
