model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,cylinder-bands,0,0.8050490883590462,0.9884645430084192,0.8148148148148148,0.9897119341563786,133,359.0,2.699248120300752,0.0,2.699248120300752,0.5317076947577286,0.9996800511918094,0.0332157554379776,0.244750785,0.37372637,0.0283655689999999,0.8571428571428571,0.6541353383458647,4.417695473251029,4.722222222222222,2.0,20.0,1.0,10.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.788218793828892,0.9902439024390244,0.8148148148148148,0.9917695473251028,133,356.0,2.6766917293233083,0.0,2.6766917293233083,0.5292462995001607,1.0,0.0301834833998576,0.246816362,0.378347843,0.030753159,0.8872180451127819,0.6466165413533834,4.01440329218107,4.537037037037037,0.0,11.0,0.0,5.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.79382889200561,0.9902439024390244,0.8148148148148148,0.9917695473251028,138,358.0,2.5942028985507246,0.0,2.5942028985507246,0.5311081482011395,0.9998949800462088,0.032429772767937,0.244612513,0.396374678,0.03081982,0.855072463768116,0.5652173913043478,4.4753086419753085,4.611111111111111,1.0,20.0,0.0,4.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.8309659090909092,0.9878640776699028,0.8333333333333334,0.9897119341563786,132,346.0,2.621212121212121,0.0,2.621212121212121,0.531028217110217,0.9997494076909056,0.0322827035789998,0.244402504,0.3630882430000001,0.029292919,0.8787878787878788,0.5833333333333334,4.261316872427984,3.814814814814815,1.0,19.0,1.0,9.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.8050490883590462,0.9902439024390244,0.8148148148148148,0.9917695473251028,136,343.0,2.5220588235294117,0.0,2.5220588235294117,0.5274196863017407,1.0,0.0282467925441781,0.241859182,0.361584937,0.028635382,0.8455882352941176,0.5661764705882353,3.8415637860082303,3.537037037037037,0.0,16.0,0.0,7.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.8429172510518934,0.9902439024390244,0.8518518518518519,0.9917695473251028,136,349.0,2.5661764705882355,0.0,2.5661764705882355,0.5278254670499394,1.0,0.0290637860082304,0.355067542,0.543276284,0.07661793,0.8897058823529411,0.5220588235294118,3.9526748971193415,4.333333333333333,0.0,15.0,0.0,7.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.6640953716690041,0.9926829268292684,0.6851851851851852,0.9938271604938272,139,353.0,2.539568345323741,0.0,2.539568345323741,0.5310686335056595,1.0,0.0322556769399295,0.262246235,0.3878242939999999,0.030026735,0.8633093525179856,0.6546762589928058,4.483539094650205,4.277777777777778,0.0,17.0,0.0,8.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.788218793828892,0.9926829268292684,0.8148148148148148,0.9938271604938272,136,340.0,2.5,0.0,2.5,0.529399574689697,0.9998686974789917,0.030833938513677,0.237371419,0.365081526,0.029810308,0.8529411764705882,0.5588235294117647,4.193415637860082,4.074074074074074,0.0,13.0,0.0,8.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.7889200561009817,0.9926829268292684,0.7962962962962963,0.9938271604938272,136,354.0,2.6029411764705883,0.0,2.6029411764705883,0.5290804004962804,1.0,0.030077463083999,0.237438352,0.379333149,0.028297997,0.8602941176470589,0.5955882352941176,4.090534979423868,3.962962962962963,0.0,15.0,0.0,9.0,C2,C2,C2
plain,no_discretization,cylinder-bands,0,0.7471590909090908,0.9878640776699028,0.7592592592592593,0.9897119341563786,134,360.0,2.6865671641791047,0.0,2.6865671641791047,0.5326074688968472,0.999900497512438,0.0337817087402493,0.262384259,0.397155699,0.042321069,0.8507462686567164,0.6417910447761194,4.526748971193416,4.148148148148148,1.0,15.0,1.0,8.0,C2,C2,C2
