model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,echocardiogram,0.0,0.75,0.9808503732554366,0.8461538461538461,0.9830508474576272,9,20.0,1.3333333333333333,0.8888888888888888,2.2222222222222223,0.769494888526645,0.9946836788942052,0.3041431261770245,0.0686354637145996,0.033307058,0.001886378,1.0,1.0,2.73728813559322,3.076923076923077,1.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.08333333333333333,0.875,0.9680298604349238,0.9230769230769232,0.9745762711864406,12,28.0,1.6666666666666667,0.5833333333333334,2.3333333333333335,0.7666145723630389,0.9755960783184012,0.3326271186440677,0.1565048694610595,0.059099183,0.001467988,0.9166666666666666,0.9166666666666666,3.9915254237288136,4.769230769230769,9.0,3.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.7333333333333333,0.8194444444444444,0.9488802336903605,0.8461538461538461,0.9576271186440678,15,42.0,1.5333333333333334,0.5333333333333333,2.8,0.7907307741854612,0.9503136610446238,0.427683615819209,0.2485647201538086,0.081962502,0.003974645,1.0,1.0,6.415254237288136,6.307692307692308,22.0,4.0,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.16666666666666666,0.9,0.9674342105263158,0.9230769230769232,0.9745762711864406,12,27.0,1.5,0.5833333333333334,2.25,0.7730414840812497,0.969439312584474,0.3820621468926553,0.2459950447082519,0.07404799,0.003652536,1.0,1.0,4.584745762711864,4.923076923076923,14.0,1.0,5.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.5454545454545454,0.75,0.955209347614411,0.8461538461538461,0.9661016949152542,11,24.0,1.3636363636363635,0.2727272727272727,2.1818181818181817,0.7685226039391985,0.9584072032958416,0.3882896764252697,0.1109137535095214,0.0482480319999999,0.000918783,1.0,1.0,4.271186440677966,4.6923076923076925,20.0,2.0,5.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.5,0.7638888888888888,0.9425511197663096,0.7692307692307693,0.9491525423728814,16,40.0,1.625,0.375,2.5,0.79954921464073,0.9766056772408314,0.3893008474576271,0.2435007095336914,0.096790324,0.004214078,1.0,1.0,6.228813559322034,6.384615384615385,5.0,3.0,2.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.5833333333333334,0.875,0.9680298604349238,0.9230769230769232,0.9745762711864406,12,33.0,1.4166666666666667,0.75,2.75,0.7403146031663824,0.9284286227139475,0.3954802259887006,0.2160484790802002,0.06343709,0.001471192,1.0,1.0,4.745762711864407,3.923076923076923,42.0,6.0,5.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.18181818181818182,0.8333333333333333,0.9605263157894736,0.7857142857142857,0.9743589743589745,11,28.0,1.5454545454545454,0.8181818181818182,2.5454545454545454,0.7872096684402178,0.9947488584474886,0.3356643356643357,0.2639200687408447,0.056144358,0.001099091,1.0,1.0,3.692307692307693,2.9285714285714284,2.0,1.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.6923076923076923,1.0,0.955209347614411,1.0,0.9661016949152542,13,30.0,1.0769230769230769,0.5384615384615384,2.3076923076923075,0.7289122911899597,0.9320845254131522,0.4106910039113428,0.1941726207733154,0.065361879,0.0016141109999999,1.0,1.0,5.338983050847458,5.384615384615385,55.0,5.0,8.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,echocardiogram,0.4,0.8,0.9542763157894736,0.8461538461538461,0.9661016949152542,10,22.0,1.3,0.5,2.2,0.7887478114062094,0.9843989823697172,0.3508474576271186,0.1864559650421142,0.051773057,0.001101212,1.0,1.0,3.5084745762711864,3.4615384615384617,3.0,2.0,0.0,0.0,C2,C2,C2
