model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,echocardiogram,0,0.75,0.942388834793898,0.8461538461538461,0.9576271186440678,11,23.0,1.5454545454545454,0.5454545454545454,2.090909090909091,0.7275843290726237,0.9687362024813456,0.3035439137134051,0.146860317,0.199919124,0.001397345,1.0,1.0,3.3389830508474576,4.230769230769231,5.0,1.0,0.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.875,0.955209347614411,0.9230769230769232,0.9661016949152542,15,37.0,1.7333333333333334,0.7333333333333333,2.466666666666667,0.7422018355140718,0.9718067956839144,0.3209039548022599,0.316279786,0.406415711,0.002298766,0.9333333333333332,0.9333333333333332,4.813559322033898,5.076923076923077,7.0,2.0,0.0,1.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.8194444444444444,0.9617007465108732,0.8461538461538461,0.9661016949152542,16,42.0,2.125,0.5,2.625,0.7892558473203417,0.9772686523541958,0.3808262711864406,0.296105984,0.370114124,0.003968881,1.0,1.0,6.093220338983051,5.6923076923076925,8.0,2.0,2.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.9,0.9674342105263158,0.9230769230769232,0.9745762711864406,14,32.0,1.7142857142857142,0.5714285714285714,2.2857142857142856,0.7647262688469353,0.9771037620760356,0.3450363196125908,0.289029929,0.361509622,0.001947362,1.0,1.0,4.830508474576271,5.153846153846154,6.0,0.0,0.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.75,0.9680298604349238,0.8461538461538461,0.9745762711864406,11,23.0,1.5454545454545454,0.5454545454545454,2.090909090909091,0.7629599674022957,0.9817025372374344,0.3158705701078582,0.19960628,0.256951169,0.002354021,1.0,1.0,3.4745762711864407,4.230769230769231,6.0,4.0,0.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.7638888888888888,0.9425511197663096,0.7692307692307693,0.9491525423728814,18,46.0,1.7777777777777777,0.7777777777777778,2.5555555555555554,0.7790267482929724,0.9771571472023376,0.3686440677966102,0.303344482,0.39096621,0.003264278,1.0,1.0,6.635593220338983,6.230769230769231,7.0,3.0,4.0,2.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.875,0.9488802336903605,0.9230769230769232,0.9576271186440678,14,33.0,1.7857142857142858,0.5714285714285714,2.357142857142857,0.7498842742292461,0.9804671227607712,0.3232445520581115,0.19583708,0.2585081219999999,0.002133747,1.0,1.0,4.52542372881356,3.615384615384616,9.0,3.0,3.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.7777777777777778,0.9605263157894736,0.7142857142857143,0.9743589743589745,15,42.0,2.066666666666667,0.7333333333333333,2.8,0.7725259328442957,0.9875454961787288,0.3424501424501425,0.331962874,0.407028964,0.00232193,1.0,1.0,5.136752136752137,4.0,5.0,1.0,0.0,1.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,1.0,0.9617007465108732,1.0,0.9661016949152542,17,39.0,1.6470588235294117,0.6470588235294118,2.2941176470588234,0.7327528913479315,0.9760573346153268,0.3045862412761715,0.280828129,0.346786833,0.0018990729999999,0.9411764705882352,0.8823529411764706,5.177966101694915,5.076923076923077,7.0,1.0,2.0,0.0,C2,C2,C2
complex,no_discretization,echocardiogram,0,0.8,0.9480263157894736,0.8461538461538461,0.9576271186440678,15,41.0,2.0,0.7333333333333333,2.7333333333333334,0.7592659775510213,0.9792919335591702,0.3305084745762712,0.268730218,0.349747578,0.002454276,1.0,1.0,4.957627118644068,3.923076923076923,8.0,3.0,3.0,1.0,C2,C2,C2
