model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,echocardiogram,0.2222222222222222,0.875,0.9808503732554366,0.9230769230769232,0.9830508474576272,9,21.0,1.3333333333333333,0.7777777777777778,2.3333333333333335,0.7587858528613473,0.9628203299576856,0.3352165725047081,0.0705010890960693,0.0291007329999999,0.00075593,1.0,1.0,3.016949152542373,3.3076923076923075,12.0,2.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.23076923076923078,0.875,0.9743589743589745,0.9230769230769232,0.9830508474576272,13,33.0,1.6923076923076923,0.6153846153846154,2.5384615384615383,0.7781160526239513,0.9818430013473116,0.3448500651890481,0.2201628684997558,0.071945281,0.004342207,0.9230769230769232,0.9230769230769232,4.483050847457627,5.153846153846154,7.0,2.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.42857142857142855,0.8194444444444444,0.9615384615384616,0.8461538461538461,0.9745762711864406,14,35.0,1.7142857142857142,0.35714285714285715,2.5,0.8050743338581744,0.9799449601372372,0.3868038740920096,0.2861464023590088,0.0567415749999999,0.00166183,1.0,1.0,5.415254237288136,4.846153846153846,8.0,0.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.3333333333333333,0.9,0.968092105263158,0.9230769230769232,0.9661016949152542,12,26.0,1.3333333333333333,0.5,2.1666666666666665,0.7838976540595414,0.957856729285789,0.3721751412429379,0.1738803386688232,0.0568920579999999,0.004224838,1.0,1.0,4.466101694915254,4.923076923076923,13.0,2.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.3,0.75,0.9488802336903605,0.8461538461538461,0.9576271186440678,10,21.0,1.4,0.4,2.1,0.7540531011277289,0.9458984130710836,0.3652542372881356,0.1113905906677246,0.0460090659999999,0.003607219,1.0,1.0,3.652542372881356,3.4615384615384617,19.0,2.0,6.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.14285714285714285,0.7638888888888888,0.9425511197663096,0.7692307692307693,0.9491525423728814,14,38.0,2.142857142857143,0.42857142857142855,2.7142857142857144,0.7763771880964493,0.9695902070008938,0.3680387409200968,0.2480285167694091,0.06925241,0.001541413,1.0,1.0,5.152542372881356,5.076923076923077,8.0,3.0,5.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.2727272727272727,0.875,0.9680298604349238,0.9230769230769232,0.9745762711864406,11,24.0,1.2727272727272727,0.6363636363636364,2.1818181818181817,0.7868119101542086,0.9823517192240764,0.3543913713405238,0.1657383441925048,0.052029364,0.00552193,1.0,1.0,3.8983050847457625,3.1538461538461537,4.0,2.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.25,0.8333333333333333,0.9736842105263156,0.7857142857142857,0.9829059829059827,12,32.0,1.75,0.6666666666666666,2.6666666666666665,0.8027630932498576,0.9951864535768644,0.3525641025641026,0.3235349655151367,0.047666689,0.004996046,1.0,1.0,4.230769230769231,3.2142857142857144,2.0,1.0,1.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.1875,1.0,0.9680298604349238,1.0,0.9745762711864406,16,39.0,1.625,0.625,2.4375,0.7470134581513255,0.9614811760691714,0.3644067796610169,0.2099335193634033,0.091584638,0.0037760109999999,1.0,1.0,5.830508474576271,6.076923076923077,20.0,3.0,7.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,echocardiogram,0.2727272727272727,0.8,0.9542763157894736,0.8461538461538461,0.9661016949152542,11,27.0,1.5454545454545454,0.6363636363636364,2.4545454545454546,0.7783175681984086,0.9666713911423944,0.3613251155624037,0.2239227294921875,0.041165224,0.0029187429999999,1.0,1.0,3.9745762711864407,3.5384615384615383,11.0,2.0,1.0,0.0,C2,C2,C2
