model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,echocardiogram,0,0.875,0.9680298604349238,0.9230769230769232,0.9745762711864406,12,34.0,2.8333333333333335,0.0,2.8333333333333335,0.7541013599571254,0.9934760884489324,0.2916666666666666,0.036389286,0.06158692,0.0041924789999999,1.0,1.0,3.5,4.461538461538462,2.0,4.0,0.0,1.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.9444444444444444,0.9680298604349238,0.9230769230769232,0.9745762711864406,17,55.0,3.235294117647059,0.0,3.235294117647059,0.7616004525966503,0.9876820742877424,0.3190428713858425,0.045085194,0.072466613,0.005628227,1.0,1.0,5.423728813559322,5.384615384615385,4.0,0.0,1.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.8194444444444444,0.955209347614411,0.8461538461538461,0.9661016949152542,15,39.0,2.6,0.0,2.6,0.7934749748773293,0.9896790256036052,0.3627118644067796,0.04179549,0.0684262549999999,0.004610169,1.0,1.0,5.440677966101695,5.076923076923077,2.0,2.0,0.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.9,0.9542763157894736,0.9230769230769232,0.9661016949152542,12,25.0,2.0833333333333335,0.0,2.0833333333333335,0.7676271331909189,0.9785647443217864,0.3368644067796609,0.040166501,0.067939771,0.004114863,1.0,1.0,4.0423728813559325,4.538461538461538,6.0,1.0,1.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.75,0.9680298604349238,0.8461538461538461,0.9745762711864406,11,30.0,2.727272727272727,0.0,2.727272727272727,0.7748688294377399,0.9842578197927168,0.3189522342064714,0.043704219,0.0755844069999999,0.003910221,1.0,1.0,3.5084745762711864,4.076923076923077,4.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.8194444444444444,0.955209347614411,0.8461538461538461,0.9661016949152542,15,42.0,2.8,0.0,2.8,0.7581782184346701,0.984783453339612,0.3401129943502825,0.038623253,0.0626089879999999,0.004624744,1.0,1.0,5.101694915254237,4.384615384615385,6.0,3.0,4.0,1.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.8194444444444444,0.955209347614411,0.8461538461538461,0.9661016949152542,13,36.0,2.769230769230769,0.0,2.769230769230769,0.7644762128552911,0.9816427217964367,0.3298565840938722,0.038450059,0.063155143,0.004613714,1.0,1.0,4.288135593220339,3.4615384615384617,7.0,1.0,4.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.8888888888888888,0.9736842105263156,0.8571428571428571,0.9829059829059827,13,38.0,2.923076923076923,0.0,2.923076923076923,0.7608132700255615,0.9870976416037698,0.3175542406311636,0.038591473,0.063258848,0.0053485329999999,1.0,1.0,4.128205128205129,2.9285714285714284,4.0,2.0,1.0,1.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,1.0,0.942388834793898,1.0,0.9576271186440678,16,47.0,2.9375,0.0,2.9375,0.7545013049418966,0.9777516461213006,0.3273305084745763,0.040739891,0.067312637,0.005633064,1.0,1.0,5.237288135593221,4.846153846153846,6.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,echocardiogram,0,0.8,0.9542763157894736,0.8461538461538461,0.9661016949152542,15,45.0,3.0,0.0,3.0,0.7618807768598995,0.9821538864211232,0.3367231638418078,0.102741545,0.186114691,0.00811189,1.0,1.0,5.050847457627119,4.076923076923077,7.0,2.0,3.0,1.0,C2,C2,C2
