model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,ecoli,0.08695652173913043,0.4986394557823129,0.9011571655479568,0.7941176470588235,0.9602649006622516,46,142.0,1.7608695652173914,1.2391304347826086,3.0869565217391304,0.7596162952526175,0.9750864926477816,0.1305067664843075,4.592265844345093,3.2357525219999994,0.066337993,1.0,1.0,6.003311258278146,6.617647058823529,29.0,2.0,28.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.16666666666666666,0.5081632653061224,0.9404897785798716,0.7647058823529411,0.9403973509933776,48,143.0,1.8125,1.0,2.9791666666666665,0.766307673872718,0.9723451464738828,0.1345888520971302,5.556557893753052,3.455496331,0.054769264,1.0,1.0,6.460264900662252,6.588235294117647,44.0,15.0,26.0,11.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.09259259259259259,0.8,0.8944826256286551,0.8484848484848485,0.9537953795379538,54,172.0,1.6296296296296295,1.462962962962963,3.185185185185185,0.7482186462227673,0.98040239872224,0.1112333455567779,4.832252264022827,3.626392123000001,0.075322399,1.0,1.0,6.006600660066007,5.727272727272728,33.0,11.0,19.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.1320754716981132,0.7936507936507936,0.8963587457003397,0.8787878787878788,0.9570957095709572,53,164.0,1.6415094339622642,1.320754716981132,3.0943396226415096,0.7533271517540358,0.9799611349467362,0.1186250700541752,4.585959196090698,3.65886515,0.066094211,1.0,1.0,6.287128712871287,5.818181818181818,30.0,10.0,14.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.2,0.885,0.8964154583203309,0.9090909090909092,0.9504950495049505,55,163.0,1.5272727272727273,1.2363636363636363,2.963636363636364,0.7498385964849935,0.976944634011749,0.1269126912691269,4.466809988021851,3.718452359,0.078975952,1.0,1.0,6.98019801980198,6.696969696969697,31.0,7.0,18.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.046511627906976744,0.6814625850340137,0.9093295495426046,0.8235294117647058,0.9668874172185432,43,142.0,2.0,1.255813953488372,3.302325581395349,0.7791278809702461,0.9724351556299674,0.1413060218697058,4.568525552749634,2.906379942,0.0441150949999999,1.0,1.0,6.076158940397351,5.441176470588236,33.0,10.0,24.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.10714285714285714,0.8333333333333334,0.9086266131750328,0.8529411764705882,0.9635761589403974,56,173.0,1.6964285714285714,1.2857142857142858,3.0892857142857144,0.758873317425251,0.9839142037009072,0.1227530747398296,5.19499397277832,3.40973473,0.088707404,1.0,1.0,6.874172185430464,6.882352941176471,25.0,7.0,16.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.10416666666666667,0.5380952380952381,0.8150154482227289,0.8235294117647058,0.933774834437086,48,170.0,2.0416666666666665,1.3958333333333333,3.5416666666666665,0.7574367180538766,0.9647385283365808,0.1278973509933774,7.342654228210449,4.005912745,0.053673392,1.0,1.0,6.139072847682119,5.735294117647059,38.0,8.0,28.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.02127659574468085,0.7916666666666667,0.9104382073779316,0.8235294117647058,0.9668874172185432,47,153.0,1.8936170212765957,1.3404255319148937,3.25531914893617,0.781607825438935,0.986796831079699,0.1263209806960687,7.3662800788879395,3.384731874,0.0501705779999999,1.0,1.0,5.937086092715232,6.176470588235294,13.0,2.0,8.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,ecoli,0.12,0.95,0.9447244105583904,0.9393939393939394,0.9471947194719472,50,157.0,1.76,1.26,3.14,0.7642488530552934,0.9744209278471724,0.1312871287128713,5.159016132354736,3.879772625,0.084185941,1.0,1.0,6.564356435643564,5.96969696969697,35.0,4.0,25.0,2.0,C2,C2,C2
