model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,ecoli,0,0.6414965986394557,0.8933446655479568,0.8235294117647058,0.9536423841059604,45,127.0,1.4444444444444444,1.3777777777777778,2.8222222222222224,0.7507337178780571,0.9677161016232756,0.1323767476085356,0.275483134,0.827183828,0.009925669,1.0,1.0,5.956953642384106,6.647058823529412,44.0,6.0,43.0,6.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.4904761904761905,0.930556742865586,0.7941176470588235,0.933774834437086,50,142.0,1.42,1.42,2.84,0.7460190258569795,0.9703943216761098,0.1274834437086092,0.237982358,0.856002233,0.011682276,1.0,1.0,6.374172185430464,6.294117647058823,34.0,13.0,27.0,10.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.925,0.8676295027734732,0.9393939393939394,0.9306930693069309,53,156.0,1.3584905660377358,1.5849056603773586,2.943396226415094,0.7311003463680993,0.9600257693656884,0.1190609627000436,0.226235998,0.831264287,0.012129303,1.0,1.0,6.31023102310231,6.454545454545454,38.0,12.0,30.0,8.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.75,0.8780741712322545,0.8787878787878788,0.9405940594059404,52,146.0,1.2884615384615385,1.5192307692307692,2.8076923076923075,0.7310334785047016,0.961050644487914,0.1232546331556232,0.246515246,0.8789593310000001,0.016890003,1.0,1.0,6.409240924092409,5.9393939393939394,46.0,11.0,32.0,7.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.8099999999999999,0.8716617608379893,0.8787878787878788,0.933993399339934,57,154.0,1.263157894736842,1.4385964912280702,2.7017543859649122,0.7368694823140186,0.9637560588446628,0.1265705517920213,0.363074426,1.617012505,0.091431816,1.0,1.0,7.214521452145214,7.212121212121212,40.0,11.0,34.0,9.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.6517006802721088,0.8819857995426046,0.8235294117647058,0.9437086092715232,42,128.0,1.5952380952380953,1.4523809523809523,3.0476190476190474,0.7729151952187342,0.959276583187082,0.1481393882056133,0.22456207,0.7295265919999999,0.009553549,1.0,1.0,6.2218543046357615,5.970588235294118,48.0,10.0,42.0,9.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.8166666666666667,0.8708898239052517,0.8823529411764706,0.9403973509933776,56,158.0,1.4285714285714286,1.3928571428571428,2.8214285714285716,0.7386766143547815,0.9702662025343624,0.1263008514664144,0.245689579,0.929841926,0.028990309,1.0,1.0,7.072847682119205,7.647058823529412,36.0,9.0,32.0,7.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.6333333333333334,0.8068681267941574,0.8235294117647058,0.9304635761589404,48,151.0,1.4375,1.7083333333333333,3.1458333333333335,0.7427693069111986,0.955614294150165,0.1307257174392935,0.529037618,1.904996784,0.071135063,1.0,1.0,6.274834437086093,6.0,42.0,5.0,33.0,3.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.8166666666666667,0.879022744816639,0.8529411764705882,0.9403973509933776,47,146.0,1.5957446808510638,1.5106382978723405,3.106382978723404,0.7594835363808511,0.9618352309519224,0.1388614907707482,0.241604695,0.889332135,0.02300255,1.0,1.0,6.526490066225166,6.794117647058823,38.0,10.0,27.0,7.0,C2,C2,C2
complex,no_discretization,ecoli,0,0.9,0.8620631202358098,0.9090909090909092,0.9273927392739274,49,145.0,1.5510204081632653,1.4081632653061225,2.9591836734693877,0.749949176948701,0.955987400095168,0.1397588738465683,0.290308272,0.8982959020000001,0.009585317,1.0,1.0,6.848184818481848,6.242424242424242,47.0,5.0,36.0,3.0,C2,C2,C2
