model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,ecoli,0.2727272727272727,0.4986394557823129,0.8848846198497129,0.7941176470588235,0.9437086092715232,44,127.0,1.5681818181818181,1.0454545454545454,2.8863636363636362,0.7695479993360298,0.9600196942244996,0.1439644792293799,5.174261808395386,2.9366616640000003,0.049394375,1.0,1.0,6.334437086092716,6.941176470588236,51.0,2.0,38.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.20408163265306123,0.4605442176870748,0.929260464159068,0.7352941176470589,0.9370860927152318,49,133.0,1.6122448979591837,0.8979591836734694,2.7142857142857144,0.7513784231260461,0.9660936224404564,0.130152723340992,6.096924066543579,2.9897258730000003,0.085483522,1.0,1.0,6.377483443708609,6.382352941176471,46.0,14.0,28.0,11.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.15384615384615385,0.825,0.8606850583290288,0.8787878787878788,0.9273927392739274,52,148.0,1.5,1.1923076923076923,2.8461538461538463,0.7362998347470702,0.9691695829824194,0.113988321909114,4.839890241622925,2.839093249,0.083322388,1.0,1.0,5.927392739273928,5.848484848484849,52.0,12.0,38.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.1836734693877551,0.7103174603174603,0.8846399957003397,0.8484848484848485,0.9471947194719472,49,126.0,1.2653061224489797,1.1224489795918366,2.5714285714285716,0.7434835225253821,0.975421987855732,0.1149727217619721,4.824939727783203,3.190210843,0.09391995,1.0,1.0,5.633663366336633,5.090909090909091,42.0,11.0,28.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.24,0.835,0.8865393479884001,0.8787878787878788,0.9405940594059404,50,136.0,1.48,1.0,2.72,0.74848902583397,0.9608146420882184,0.1327392739273928,4.787667274475098,2.9344750330000005,0.070888445,1.0,1.0,6.636963696369637,6.484848484848484,49.0,11.0,32.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.2558139534883721,0.6338435374149659,0.8939822328264574,0.7941176470588235,0.9503311258278144,43,127.0,1.6046511627906976,1.0930232558139534,2.953488372093023,0.7708984519397104,0.9562493130091976,0.1473894963807177,4.369784355163574,2.239405918,0.0456738769999999,1.0,1.0,6.337748344370861,5.794117647058823,50.0,11.0,29.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.20754716981132076,0.8666666666666666,0.8773133047754692,0.8823529411764706,0.9503311258278144,53,147.0,1.471698113207547,1.0943396226415094,2.7735849056603774,0.7393883524540102,0.971658940431656,0.1241409471448206,4.8966593742370605,1.915142774,0.094804849,1.0,1.0,6.579470198675497,6.676470588235294,56.0,7.0,37.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.3404255319148936,0.6333333333333334,0.7981379680639986,0.8235294117647058,0.9238410596026492,47,135.0,1.553191489361702,0.9787234042553191,2.872340425531915,0.7478717109281676,0.9501393521404452,0.1313935465689727,8.285588026046753,3.843023349000001,0.178328831,1.0,1.0,6.175496688741722,5.882352941176471,57.0,7.0,48.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.15555555555555556,0.8166666666666667,0.8951517770747035,0.8529411764705882,0.9536423841059604,45,130.0,1.6222222222222222,1.1111111111111112,2.888888888888889,0.7718508501405109,0.9794041619236764,0.1304635761589404,7.376640796661377,2.39939436,0.068410725,1.0,1.0,5.870860927152318,6.382352941176471,27.0,6.0,14.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,ecoli,0.16666666666666666,0.95,0.8683106638515935,0.9393939393939394,0.9306930693069309,48,133.0,1.5833333333333333,1.0208333333333333,2.7708333333333335,0.7589365691079951,0.9585234919781634,0.1404702970297029,5.451632976531982,3.3623941539999995,0.083708936,1.0,1.0,6.742574257425742,6.121212121212121,56.0,4.0,39.0,3.0,C2,C2,C2
