model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,ecoli,0,0.5462585034013605,0.8819607369765282,0.8235294117647058,0.9403973509933776,44,140.0,3.1818181818181817,0.0,3.1818181818181817,0.7819642166873298,0.9513005760056108,0.1619506321493076,0.06157524,0.2927000839999999,0.0281565089999999,1.0,1.0,7.125827814569536,7.794117647058823,62.0,8.0,38.0,6.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.5414965986394559,0.9366482369765282,0.7941176470588235,0.9370860927152318,47,150.0,3.1914893617021276,0.0,3.1914893617021276,0.7759971091140093,0.9580278021514368,0.1478793856559109,0.06629478,0.293127039,0.0291108149999999,1.0,1.0,6.950331125827814,6.823529411764706,45.0,13.0,34.0,9.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.85,0.8736298127877637,0.8787878787878788,0.9372937293729372,47,158.0,3.3617021276595747,0.0,3.3617021276595747,0.751595618381069,0.9541865306176204,0.1322238606839408,0.075754982,0.353223094,0.027900106,1.0,1.0,6.214521452145214,6.2727272727272725,45.0,8.0,37.0,7.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.7791666666666667,0.867506538382013,0.8484848484848485,0.9306930693069309,50,174.0,3.48,0.0,3.48,0.7578139051763189,0.949958053722721,0.1514851485148514,0.070243998,0.3306767929999999,0.031887447,1.0,1.0,7.574257425742574,6.909090909090909,53.0,8.0,37.0,4.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.91,0.8695975547232475,0.9393939393939394,0.933993399339934,54,175.0,3.240740740740741,0.0,3.240740740740741,0.7572486530471905,0.9583063516239144,0.1421586603104755,0.101500192,0.4997090879999999,0.059903807,1.0,1.0,7.676567656765677,7.575757575757576,42.0,10.0,32.0,8.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.6338435374149659,0.884080455339706,0.7941176470588235,0.9437086092715232,44,148.0,3.3636363636363638,0.0,3.3636363636363638,0.7911517319866292,0.9567388672074206,0.1549518362432269,0.057268428,0.287320326,0.024752734,1.0,1.0,6.817880794701987,6.676470588235294,47.0,11.0,37.0,10.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.8583333333333334,0.8640525167523765,0.8823529411764706,0.9271523178807948,53,172.0,3.2452830188679247,0.0,3.2452830188679247,0.7602762780410683,0.956597170102311,0.1486317630888416,0.087458015,0.406501435,0.049964329,1.0,1.0,7.877483443708609,8.470588235294118,50.0,11.0,44.0,9.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.6129251700680272,0.8050824125084431,0.7941176470588235,0.9271523178807948,46,154.0,3.347826086956522,0.0,3.347826086956522,0.7622391991236092,0.9448836532961502,0.1408004606968038,0.19113997,0.7920301509999998,0.072397376,1.0,1.0,6.47682119205298,6.029411764705882,51.0,6.0,42.0,4.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.8666666666666666,0.8793002145463902,0.8823529411764706,0.9437086092715232,48,160.0,3.3333333333333335,0.0,3.3333333333333335,0.7623268492531149,0.9591068628889928,0.1459023178807946,0.07208765,0.35676815,0.035573073,1.0,1.0,7.003311258278146,7.264705882352941,39.0,7.0,32.0,5.0,C2,C2,C2
plain,no_discretization,ecoli,0,0.875,0.8798827347138973,0.8787878787878788,0.9405940594059404,51,172.0,3.372549019607843,0.0,3.372549019607843,0.7671671741374598,0.9611243312853784,0.1498738109105028,0.081967253,0.382422546,0.02669508,1.0,1.0,7.643564356435643,7.242424242424242,44.0,9.0,35.0,6.0,C2,C2,C2
