model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,flag,0.13636363636363635,0.4722222222222222,0.934065934065934,0.65,0.9482758620689656,44,164.0,1.8409090909090908,1.75,3.727272727272727,0.5838409437158857,0.989096701420645,0.0630877742946708,1.4987637996673584,0.5811194369999999,0.025844205,0.9772727272727272,0.4318181818181818,2.7758620689655173,2.5,11.0,8.0,2.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.11904761904761904,0.5277777777777778,0.9406325381935138,0.6,0.9482758620689656,42,159.0,2.2142857142857144,1.4523809523809523,3.7857142857142856,0.6001120170006696,0.9848909127501768,0.0867542419266557,0.9343140125274658,0.732796282,0.045182076,0.9047619047619048,0.6904761904761905,3.64367816091954,3.7,29.0,12.0,20.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.2,0.5277777777777778,0.943732193732194,0.5789473684210527,0.9542857142857144,45,164.0,2.066666666666667,1.3777777777777778,3.6444444444444444,0.5816296293971843,0.9846436930211604,0.0676825396825397,0.6594774723052979,0.330369518,0.013496345,0.9333333333333332,0.6,3.045714285714286,3.3684210526315788,26.0,10.0,14.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.3,0.6805555555555556,0.9112179487179486,0.7368421052631579,0.9257142857142856,40,154.0,2.45,1.1,3.85,0.6090393511937011,0.982742084293766,0.0912857142857143,0.7988660335540771,0.507771048,0.021233802,0.875,0.675,3.6514285714285712,3.8947368421052633,13.0,6.0,3.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.2391304347826087,0.4305555555555556,0.9519230769230768,0.6842105263157895,0.96,46,193.0,2.6739130434782608,1.2826086956521738,4.195652173913044,0.6153941098787898,0.9896902934820672,0.0857142857142857,1.157418727874756,0.6162202360000001,0.041978501,0.9565217391304348,0.717391304347826,3.942857142857143,3.473684210526316,12.0,2.0,2.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.1956521739130435,0.4583333333333333,0.9423076923076924,0.65,0.9482758620689656,46,174.0,2.0434782608695654,1.5434782608695652,3.782608695652174,0.5945671548432284,0.9844279850970729,0.0795852073963018,1.610743761062622,0.914264442,0.039351668,0.9130434782608696,0.4782608695652174,3.660919540229885,2.85,11.0,1.0,3.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.06521739130434782,0.6416666666666666,0.9246319718017832,0.7368421052631579,0.9542857142857144,46,208.0,2.717391304347826,1.7391304347826086,4.521739130434782,0.6193337417139382,0.9944141961273342,0.0937888198757763,1.585510492324829,0.615621099,0.014640709,0.9782608695652174,0.6956521739130435,4.314285714285714,3.789473684210526,9.0,5.0,2.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.3,0.4083333333333333,0.9519230769230768,0.6,0.9597701149425288,40,158.0,2.225,1.425,3.95,0.6118823943166469,0.9896686839906204,0.0890804597701149,0.8375155925750732,0.360221933,0.019574512,0.875,0.6,3.5632183908045976,3.35,14.0,7.0,9.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.3333333333333333,0.575,0.942489114658926,0.7368421052631579,0.96,51,199.0,1.9607843137254901,1.607843137254902,3.9019607843137254,0.5739142494243341,0.9772520602443876,0.066890756302521,1.2701420783996582,0.519390869,0.0298018229999999,0.8431372549019608,0.5294117647058824,3.4114285714285715,3.1052631578947367,25.0,6.0,3.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,flag,0.16666666666666666,0.5833333333333333,0.9592948717948718,0.5789473684210527,0.9657142857142856,42,172.0,2.8095238095238093,1.119047619047619,4.095238095238095,0.6049410892105853,0.9833339059529536,0.0834013605442177,0.90449857711792,0.5357395610000001,0.015234226,0.9523809523809524,0.6666666666666666,3.5028571428571427,3.684210526315789,16.0,7.0,6.0,4.0,C2,C2,C2
