model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,flag,0,0.4722222222222222,0.9615384615384616,0.65,0.9655172413793104,43,146.0,1.1627906976744187,2.2325581395348837,3.395348837209302,0.6546406170983826,0.991785072347276,0.1136059877038225,0.496003361,0.923061282,0.0265998169999999,1.0,0.7209302325581395,4.885057471264368,4.4,9.0,4.0,4.0,3.0,C2,C2,C2
complex,no_discretization,flag,0,0.7083333333333333,0.9502479228088984,0.65,0.9597701149425288,40,126.0,0.95,2.2,3.15,0.6688983936468947,0.9893807239374922,0.1193965517241379,0.426997422,0.8109078239999999,0.0302528959999999,1.0,0.85,4.775862068965517,4.35,13.0,8.0,8.0,4.0,C2,C2,C2
complex,no_discretization,flag,0,0.5416666666666666,0.9529914529914528,0.5789473684210527,0.96,40,126.0,1.075,2.075,3.15,0.6614388924866289,0.9879554146015586,0.1177142857142857,0.462473342,0.934216731,0.0302891959999999,0.975,0.85,4.708571428571428,4.368421052631579,12.0,8.0,6.0,4.0,C2,C2,C2
complex,no_discretization,flag,0,0.4444444444444444,0.94182301438399,0.6842105263157895,0.9542857142857144,39,130.0,1.3076923076923077,2.0256410256410255,3.3333333333333335,0.6660242628167057,0.9910052298570328,0.1173626373626373,0.398458177,0.913317799,0.027658305,0.9743589743589745,0.7692307692307693,4.577142857142857,3.421052631578948,10.0,5.0,4.0,2.0,C2,C2,C2
complex,no_discretization,flag,0,0.5972222222222222,0.9256410256410256,0.7894736842105263,0.9428571428571428,41,137.0,1.170731707317073,2.1707317073170733,3.341463414634146,0.6586159462253122,0.9894668488052842,0.1148432055749129,0.482989425,1.0134913129999998,0.0557096639999999,1.0,0.8292682926829268,4.708571428571428,4.842105263157895,11.0,2.0,4.0,1.0,C2,C2,C2
complex,no_discretization,flag,0,0.5,0.9162087912087912,0.7,0.942528735632184,41,140.0,1.0975609756097562,2.317073170731707,3.4146341463414633,0.6550394538432229,0.9872188268678328,0.1206896551724138,0.850802034,1.638456236,0.028902708,1.0,0.7560975609756098,4.948275862068965,4.6,15.0,7.0,7.0,2.0,C2,C2,C2
complex,no_discretization,flag,0,0.8166666666666667,0.9040888931593029,0.8421052631578947,0.9314285714285714,39,144.0,1.4871794871794872,2.2051282051282053,3.6923076923076925,0.6639373802290299,0.98284480169133,0.1318681318681319,0.499208303,1.1313815900000002,0.0286113339999999,0.9743589743589745,0.8461538461538461,5.142857142857143,5.157894736842105,19.0,4.0,12.0,1.0,C2,C2,C2
complex,no_discretization,flag,0,0.4333333333333333,0.9426638176638176,0.65,0.9367816091954024,38,120.0,1.0789473684210527,2.0789473684210527,3.1578947368421053,0.6626088895904596,0.982642206423342,0.1185722928009679,0.627706362,1.384442443,0.055954837,0.9736842105263158,0.7368421052631579,4.505747126436781,4.4,18.0,4.0,11.0,3.0,C2,C2,C2
complex,no_discretization,flag,0,0.5055555555555555,0.9570029027576196,0.6842105263157895,0.9657142857142856,41,135.0,1.0731707317073171,2.2195121951219514,3.292682926829268,0.6584537833847407,0.9928536770210444,0.1119163763066202,0.367156068,0.8352671539999998,0.025590757,1.0,0.7560975609756098,4.588571428571429,4.684210526315789,7.0,6.0,4.0,3.0,C2,C2,C2
complex,no_discretization,flag,0,0.6805555555555556,0.9370153220762976,0.7368421052631579,0.9485714285714286,38,122.0,1.2894736842105263,1.9210526315789473,3.210526315789474,0.6690472462690703,0.9894340052218892,0.1234586466165413,0.427871054,0.8435506819999999,0.0290131249999999,1.0,0.9210526315789472,4.691428571428571,5.315789473684211,8.0,4.0,3.0,2.0,C2,C2,C2
