model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,flag,0.7045454545454546,0.5416666666666666,0.9375,0.75,0.9482758620689656,44,160.0,1.5681818181818181,1.3636363636363635,3.6363636363636362,0.582966284691373,0.9824500415409506,0.0651776384535005,1.3117990493774414,0.3788786489999999,0.027195926,1.0,0.5909090909090909,2.867816091954023,2.3,13.0,7.0,4.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.5897435897435898,0.5833333333333333,0.9292582417582418,0.6,0.942528735632184,39,130.0,1.5897435897435896,1.1538461538461537,3.3333333333333335,0.6007032804675474,0.9928823211955744,0.0742705570291777,0.7744688987731934,0.218163131,0.010847828,0.9743589743589745,0.6923076923076923,2.896551724137931,2.95,9.0,7.0,2.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.7567567567567568,0.5277777777777778,0.9070004070004072,0.5789473684210527,0.9314285714285714,37,109.0,1.5135135135135136,0.6756756756756757,2.945945945945946,0.5720058585392191,0.9668965069454964,0.0844787644787644,0.6410660743713379,0.369312765,0.029716892,0.945945945945946,0.7027027027027027,3.125714285714286,3.210526315789474,64.0,11.0,26.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.6388888888888888,0.5138888888888888,0.9375,0.7368421052631579,0.9371428571428572,36,154.0,2.5277777777777777,1.1111111111111112,4.277777777777778,0.6153345485285918,0.9680359477250742,0.1026984126984126,0.6439828872680664,0.2894664649999999,0.014295803,0.9722222222222222,0.9166666666666666,3.697142857142857,4.2105263157894735,23.0,9.0,11.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.5111111111111111,0.5138888888888888,0.9326923076923076,0.7368421052631579,0.9485714285714286,45,173.0,2.2222222222222223,1.1111111111111112,3.8444444444444446,0.605384205065006,0.9839767431598166,0.0887619047619047,1.0407803058624268,0.447556438,0.026919275,1.0,0.6666666666666666,3.994285714285714,3.210526315789474,27.0,4.0,8.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.5625,0.4583333333333333,0.9388736263736264,0.65,0.9597701149425288,48,188.0,1.9791666666666667,1.375,3.9166666666666665,0.6065405007036482,0.9891501225984703,0.0905172413793103,1.1211926937103271,0.4023146489999999,0.020584328,0.9583333333333334,0.5625,4.344827586206897,4.05,10.0,5.0,5.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.37777777777777777,0.6416666666666666,0.8877254820651047,0.7368421052631579,0.9314285714285714,45,193.0,2.488888888888889,1.4222222222222223,4.288888888888889,0.6139987481893948,0.9864595139875114,0.0989206349206349,1.9019968509674072,0.558720135,0.031282968,0.9555555555555556,0.7777777777777778,4.451428571428571,4.105263157894737,20.0,6.0,9.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.37142857142857144,0.325,0.9230769230769232,0.55,0.9310344827586208,35,128.0,1.9714285714285715,1.3142857142857143,3.657142857142857,0.6091590149251713,0.975975741686358,0.0981937602627258,0.8397555351257324,0.271524865,0.015350745,0.9142857142857144,0.5714285714285714,3.4367816091954024,3.1,17.0,3.0,7.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.5510204081632653,0.4972222222222222,0.9215831913139784,0.631578947368421,0.9485714285714286,49,187.0,1.7959183673469388,1.469387755102041,3.816326530612245,0.5775873799468779,0.9758749178230188,0.0705539358600583,1.271947145462036,0.404358589,0.022430494,0.979591836734694,0.5714285714285714,3.4571428571428573,3.526315789473684,20.0,8.0,4.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,flag,0.48717948717948717,0.6805555555555556,0.9514383989993748,0.7368421052631579,0.96,39,150.0,2.58974358974359,0.7692307692307693,3.8461538461538463,0.6067355988230877,0.9810424867779792,0.0873260073260073,0.9620356559753418,0.334250483,0.019749655,0.9743589743589745,0.7948717948717948,3.4057142857142857,3.5789473684210527,18.0,10.0,9.0,3.0,C2,C2,C2
