model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,flag,0,0.625,0.9773351648351648,0.8,0.9885057471264368,46,131.0,2.847826086956522,0.0,2.847826086956522,0.5730575987175602,0.9978260869565218,0.0407296351824088,0.061179618,0.157726768,0.010930129,0.8695652173913043,0.4347826086956521,1.8735632183908049,1.9,0.0,5.0,0.0,3.0,C2,C2,C2
plain,no_discretization,flag,0,0.5833333333333333,0.9646709997319752,0.6,0.9770114942528736,42,121.0,2.880952380952381,0.0,2.880952380952381,0.5832927264765245,0.9982993197278912,0.0477558839627805,0.096050027,0.208001496,0.014605017,0.9761904761904762,0.5714285714285714,2.005747126436781,1.45,1.0,2.0,1.0,1.0,C2,C2,C2
plain,no_discretization,flag,0,0.4305555555555555,0.9680759055759056,0.5789473684210527,0.9828571428571428,43,124.0,2.883720930232558,0.0,2.883720930232558,0.5704996129097712,0.9883720930232558,0.0441196013289036,0.082660511,0.22295184,0.007679087,0.8604651162790697,0.5581395348837209,1.8971428571428568,1.894736842105263,4.0,4.0,3.0,2.0,C2,C2,C2
plain,no_discretization,flag,0,0.4166666666666666,0.9951923076923076,0.5789473684210527,0.9942857142857144,44,127.0,2.8863636363636362,0.0,2.8863636363636362,0.5702239473771487,0.9924242424242424,0.0396103896103896,0.108510604,0.343460797,0.020923731,0.8636363636363636,0.5,1.7428571428571429,1.7894736842105263,1.0,6.0,1.0,2.0,C2,C2,C2
plain,no_discretization,flag,0,0.5416666666666666,0.9737179487179488,0.7894736842105263,0.9828571428571428,47,133.0,2.8297872340425534,0.0,2.8297872340425534,0.5723608837970542,0.997872340425532,0.0425531914893616,0.165397014,0.486360695,0.019600262,0.9361702127659576,0.425531914893617,2.0,1.894736842105263,1.0,2.0,1.0,2.0,C2,C2,C2
plain,no_discretization,flag,0,0.8055555555555555,0.9903846153846154,0.8,0.9942528735632185,45,138.0,3.066666666666667,0.0,3.066666666666667,0.570454897406117,0.9925925925925928,0.0421455938697318,0.115348528,0.378663451,0.020034683,0.9111111111111112,0.4444444444444444,1.896551724137931,2.0,1.0,5.0,1.0,5.0,C2,C2,C2
plain,no_discretization,flag,0,0.7416666666666667,1.0,0.8421052631578947,1.0,48,136.0,2.8333333333333335,0.0,2.8333333333333335,0.5688289218834548,1.0,0.0388095238095237,0.067923478,0.173219054,0.01576994,0.8541666666666666,0.4375,1.8628571428571428,2.0,0.0,5.0,0.0,4.0,C2,C2,C2
plain,no_discretization,flag,0,0.4916666666666667,0.9737179487179488,0.65,0.9827586206896552,46,135.0,2.9347826086956523,0.0,2.9347826086956523,0.5780990383022719,0.9956521739130434,0.0456021989005497,0.064624323,0.14999611,0.0089378199999999,0.9782608695652174,0.5,2.0977011494252875,2.7,2.0,4.0,2.0,2.0,C2,C2,C2
plain,no_discretization,flag,0,0.6027777777777779,0.98566763425254,0.6842105263157895,0.9885714285714284,50,133.0,2.66,0.0,2.66,0.567540096755167,0.9977777777777778,0.0379428571428571,0.070155383,0.17899566,0.0232206,0.82,0.4,1.8971428571428568,2.263157894736842,1.0,8.0,1.0,4.0,C2,C2,C2
plain,no_discretization,flag,0,0.4444444444444444,0.9689102564102564,0.631578947368421,0.9828571428571428,43,123.0,2.86046511627907,0.0,2.86046511627907,0.5688516660672228,0.9894879022785998,0.0419933554817275,0.065900976,0.1614652789999999,0.010793754,0.7906976744186046,0.5581395348837209,1.8057142857142856,2.0,2.0,6.0,2.0,3.0,C2,C2,C2
