model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,glass,0,0.4761904761904762,0.9864734299516909,0.7272727272727273,0.9895833333333334,51,86.0,0.47058823529411764,1.2156862745098038,1.6862745098039216,0.6038241172304278,0.9978213507625272,0.0425857843137254,0.708722144,2.194825969,0.008579018,0.9411764705882352,0.5686274509803921,2.171875,2.136363636363636,2.0,6.0,2.0,3.0,C2,C2,C2
complex,no_discretization,glass,0,0.6845238095238096,0.9911816578483243,0.7272727272727273,0.9895833333333334,51,88.0,0.5294117647058824,1.196078431372549,1.7254901960784315,0.6048094913967882,0.9950980392156864,0.0454452614379085,0.806143163,1.964642572,0.010755119,0.9803921568627452,0.6666666666666666,2.317708333333333,2.8181818181818183,1.0,8.0,1.0,3.0,C2,C2,C2
complex,no_discretization,glass,0,0.6714285714285715,0.9834656084656084,0.6666666666666666,0.9896373056994818,51,84.0,0.39215686274509803,1.2549019607843137,1.6470588235294117,0.6094142601902169,0.9988465974625144,0.0475464797317891,0.648134965,1.615364081,0.009223241,0.9411764705882352,0.5882352941176471,2.424870466321244,2.952380952380953,1.0,5.0,1.0,2.0,C2,C2,C2
complex,no_discretization,glass,0,0.4950396825396825,0.9607154827743064,0.6190476190476191,0.9740932642487048,45,73.0,0.4666666666666667,1.1555555555555554,1.6222222222222222,0.6071549970637384,0.9982222222222222,0.0436384571099597,0.576205778,1.629752295,0.0151029479999999,0.9777777777777776,0.6,1.9637305699481864,1.8571428571428568,2.0,11.0,2.0,10.0,C2,C2,C2
complex,no_discretization,glass,0,0.7708333333333334,0.9658905228758168,0.8095238095238095,0.9689119170984456,53,87.0,0.4716981132075472,1.169811320754717,1.6415094339622642,0.6019917596155702,0.9937106918238994,0.0460455567504154,0.72152049,1.8039464849999995,0.00688753,0.981132075471698,0.6226415094339622,2.4404145077720205,2.7142857142857144,15.0,7.0,12.0,3.0,C2,C2,C2
complex,no_discretization,glass,0,0.7063492063492062,0.9576652815783252,0.7272727272727273,0.9635416666666666,52,81.0,0.40384615384615385,1.1538461538461537,1.5576923076923077,0.5933941378378261,0.996301775147929,0.0425681089743589,0.875836447,2.384881545,0.0082392659999999,0.8269230769230769,0.4615384615384615,2.2135416666666665,2.5454545454545454,10.0,8.0,7.0,8.0,C2,C2,C2
complex,no_discretization,glass,0,0.7063492063492062,0.9744098494098492,0.7142857142857143,0.9792746113989638,48,81.0,0.4166666666666667,1.2708333333333333,1.6875,0.6159256835816657,0.9983225979602792,0.05073402417962,0.592866427,1.624700108,0.0074274969999999,0.9375,0.75,2.435233160621762,2.761904761904762,2.0,5.0,2.0,4.0,C2,C2,C2
complex,no_discretization,glass,0,0.6369047619047619,0.9466192032368502,0.6818181818181818,0.96875,52,85.0,0.38461538461538464,1.25,1.6346153846153846,0.6088844186768122,0.9981684981684982,0.0474759615384615,0.892405793,2.967268678,0.009658856,0.9230769230769232,0.5961538461538461,2.46875,2.136363636363636,2.0,9.0,2.0,7.0,C2,C2,C2
complex,no_discretization,glass,0,0.5,1.0,0.5238095238095238,1.0,47,81.0,0.5319148936170213,1.1914893617021276,1.7234042553191489,0.6300453813784229,0.997872340425532,0.0550104729357292,0.744418918,1.7889978680000005,0.013653865,0.9787234042553192,0.8936170212765957,2.5854922279792745,2.857142857142857,2.0,8.0,2.0,5.0,C2,C2,C2
complex,no_discretization,glass,0,0.4107142857142857,0.9662990196078431,0.6666666666666666,0.9844559585492229,51,85.0,0.5490196078431373,1.1176470588235294,1.6666666666666667,0.6113531613170312,0.9978213507625272,0.0460225540993599,0.630381492,1.708122227,0.009450394,0.9803921568627452,0.6666666666666666,2.3471502590673574,2.523809523809524,2.0,3.0,2.0,2.0,C2,C2,C2
