model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,glass,0.12244897959183673,0.4642857142857142,0.928042328042328,0.5909090909090909,0.9583333333333334,49,123.0,0.7142857142857143,1.6734693877551021,2.510204081632653,0.6099703903874377,0.9822239610129764,0.0588860544217687,0.5403902530670166,0.462526175,0.041343411,1.0,0.7959183673469388,2.8854166666666665,2.636363636363636,25.0,12.0,14.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.17391304347826086,0.6428571428571429,0.9445313310509388,0.6363636363636364,0.9479166666666666,46,91.0,0.41304347826086957,1.391304347826087,1.9782608695652173,0.5928406336737599,0.979836668967104,0.046195652173913,0.7450993061065674,0.4261886929999999,0.034583588,0.9782608695652174,0.7608695652173914,2.125,2.3181818181818183,28.0,11.0,13.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.2765957446808511,0.8214285714285715,0.93702267231679,0.8095238095238095,0.9481865284974094,47,103.0,0.6170212765957447,1.297872340425532,2.1914893617021276,0.5953014043449664,0.9703265110914916,0.0630580972329401,0.4125151634216308,0.288236074,0.053494714,0.9574468085106383,0.6170212765957447,2.9637305699481864,3.1904761904761907,48.0,10.0,26.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.16279069767441862,0.4712301587301586,0.9734671646436354,0.5714285714285714,0.9689119170984456,43,89.0,0.5813953488372093,1.3255813953488371,2.0697674418604652,0.5953685289139948,0.9842883388764933,0.0465116279069767,0.4286396503448486,0.23943398,0.032916561,1.0,0.6976744186046512,2.0,2.0476190476190474,20.0,11.0,11.0,11.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.12244897959183673,0.5327380952380952,0.9346405228758168,0.6190476190476191,0.9533678756476685,49,95.0,0.3673469387755102,1.4489795918367347,1.9387755102040816,0.6088419308392468,0.9903995590929948,0.0524479221740509,0.8143870830535889,1.522261241,0.0587710669999999,0.979591836734694,0.6326530612244898,2.569948186528497,2.238095238095238,15.0,5.0,3.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.34,0.4563492063492063,0.8628287171765434,0.6363636363636364,0.890625,50,109.0,0.3,1.54,2.18,0.5754289952229267,0.9524937287314224,0.0727083333333333,0.4331786632537842,0.398861328,0.043040824,0.88,0.6,3.6354166666666665,4.318181818181818,87.0,18.0,82.0,17.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.37777777777777777,0.6587301587301587,0.8948693617171878,0.6190476190476191,0.922279792746114,45,100.0,0.4444444444444444,1.4,2.2222222222222223,0.6075428277515776,0.9787635929792792,0.0629821531375935,0.3488814830780029,0.293361837,0.039475869,0.9555555555555556,0.8,2.8341968911917097,3.0,25.0,5.0,8.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.2857142857142857,0.4553571428571428,0.91646047307812,0.7272727272727273,0.9427083333333334,49,99.0,0.32653061224489793,1.4081632653061225,2.020408163265306,0.603639263347515,0.9806343428863964,0.0541028911564625,0.4560880661010742,0.2798700799999999,0.058115768,0.9387755102040816,0.5918367346938775,2.6510416666666665,3.0,22.0,9.0,14.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.3125,0.4682539682539682,0.9399125833908444,0.5238095238095238,0.9481865284974094,48,128.0,0.8333333333333334,1.5208333333333333,2.6666666666666665,0.6327221499734498,0.9858393199791048,0.0708117443868739,0.4728763103485107,0.3948605799999999,0.050460205,0.9791666666666666,0.9375,3.3989637305699483,3.761904761904762,17.0,9.0,8.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,glass,0.26,0.3869047619047618,0.9612025365701836,0.6190476190476191,0.9740932642487048,50,108.0,0.54,1.36,2.16,0.6033429815778646,0.9892160878688392,0.0471502590673575,0.454815149307251,0.282827804,0.0523644369999999,0.98,0.76,2.357512953367876,2.761904761904762,6.0,4.0,3.0,3.0,C2,C2,C2
