model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,glass,0,0.5396825396825397,0.946554170467214,0.6818181818181818,0.9583333333333334,48,154.0,3.2083333333333335,0.0,3.2083333333333335,0.6612672097752373,0.991463071072446,0.0810546874999999,0.105797977,0.29875774,0.016757126,0.9791666666666666,0.7916666666666666,3.890625,4.409090909090909,10.0,8.0,5.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.6875,0.9704248366013072,0.7272727272727273,0.9739583333333334,46,142.0,3.0869565217391304,0.0,3.0869565217391304,0.6560521665640777,0.9900513153426698,0.0785778985507246,0.109207024,0.4198440499999999,0.0293919209999999,0.9782608695652174,0.8043478260869565,3.6145833333333335,4.045454545454546,10.0,6.0,2.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.8428571428571429,0.9935897435897436,0.8571428571428571,0.9948186528497408,48,143.0,2.9791666666666665,0.0,2.9791666666666665,0.6509156171313016,0.9991319444444444,0.0661701208981002,0.066371991,0.2427180869999999,0.0156007519999999,0.9791666666666666,0.75,3.1761658031088085,3.142857142857143,1.0,2.0,1.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.8125,0.953771038329862,0.9047619047619048,0.9689119170984456,46,137.0,2.9782608695652173,0.0,2.9782608695652173,0.6468170377685796,0.9930041540911106,0.0675827889164226,0.064359208,0.233576717,0.0133541369999999,0.9347826086956522,0.8695652173913043,3.1088082901554404,3.4761904761904763,9.0,6.0,3.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.6994047619047619,0.9641877049965286,0.6666666666666666,0.9740932642487048,45,127.0,2.8222222222222224,0.0,2.8222222222222224,0.6501270792823106,0.9933594389149946,0.0666666666666667,0.071890703,0.2802727149999999,0.015993899,0.9777777777777776,0.8,3.0,2.4285714285714284,8.0,4.0,5.0,2.0,C2,C2,C2
plain,no_discretization,glass,0,0.5634920634920635,0.9840579710144928,0.7272727272727273,0.984375,45,139.0,3.088888888888889,0.0,3.088888888888889,0.6494151845838326,0.9917534535181592,0.0700231481481481,0.189704569,0.567273929,0.017902055,0.9777777777777776,0.9555555555555556,3.1510416666666665,4.227272727272728,11.0,10.0,11.0,8.0,C2,C2,C2
plain,no_discretization,glass,0,0.6825396825396824,0.960277202668507,0.6666666666666666,0.9585492227979274,48,147.0,3.0625,0.0,3.0625,0.6556929069446817,0.9930770788755018,0.0771804835924007,0.071278871,0.23495526,0.0179069959999999,0.9791666666666666,0.8958333333333334,3.704663212435233,4.095238095238095,7.0,4.0,4.0,1.0,C2,C2,C2
plain,no_discretization,glass,0,0.7093253968253969,0.9653283535636478,0.7272727272727273,0.9635416666666666,48,137.0,2.8541666666666665,0.0,2.8541666666666665,0.6518912391401088,0.9917505920676212,0.0720486111111111,0.075754948,0.258137249,0.018238678,0.9583333333333334,0.8958333333333334,3.458333333333333,2.5454545454545454,9.0,5.0,3.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.4047619047619048,0.938034188034188,0.6190476190476191,0.9792746113989638,48,131.0,2.7291666666666665,0.0,2.7291666666666665,0.6516383145687388,0.9955747126436784,0.0721070811744387,0.063551291,0.236924192,0.01587181,0.9583333333333334,0.7708333333333334,3.461139896373057,2.4285714285714284,6.0,6.0,1.0,4.0,C2,C2,C2
plain,no_discretization,glass,0,0.3869047619047618,0.9727564102564102,0.6190476190476191,0.9844559585492229,46,123.0,2.6739130434782608,0.0,2.6739130434782608,0.6471484290421977,0.9971532091097308,0.0624014417661635,0.064246017,0.229030492,0.018817162,0.9565217391304348,0.8260869565217391,2.870466321243524,3.333333333333333,4.0,6.0,3.0,5.0,C2,C2,C2
