model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,hayes-roth,0.7333333333333333,0.6888888888888888,0.8193773483628556,0.6923076923076923,0.8319327731092437,15,26.0,0.9333333333333333,0.06666666666666667,1.7333333333333334,0.5204722444336699,0.8283441906527985,0.2341736694677871,0.1752903461456298,0.1006299969999999,0.00323798,1.0,1.0,3.5126050420168067,3.692307692307693,68.0,8.0,49.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.7692307692307693,0.7000000000000001,0.8556092324208265,0.7142857142857143,0.8559322033898306,13,21.0,0.8461538461538461,0.0,1.6153846153846154,0.5274056162360293,0.8262113737928998,0.2170795306388527,0.0660908222198486,0.072074471,0.0022598749999999,1.0,1.0,2.8220338983050848,2.7857142857142856,53.0,8.0,40.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.6111111111111112,0.4000000000000001,0.8781535158346753,0.4615384615384615,0.8823529411764706,18,38.0,1.2777777777777777,0.2222222222222222,2.111111111111111,0.5577614981719676,0.8684195073605505,0.188141923436041,0.176185131072998,0.1026257069999999,0.007342321,1.0,1.0,3.3865546218487395,3.615384615384616,49.0,7.0,30.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.6923076923076923,0.8222222222222223,0.8346752549651101,0.8461538461538461,0.8319327731092437,13,22.0,0.9230769230769231,0.07692307692307693,1.6923076923076923,0.5271725112756742,0.8385567890211854,0.2036199095022625,0.0703024864196777,0.073060643,0.004218365,1.0,1.0,2.647058823529412,3.076923076923077,53.0,4.0,33.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.6666666666666666,0.7555555555555555,0.8419216317767043,0.7692307692307693,0.8403361344537815,12,18.0,0.75,0.08333333333333333,1.5,0.5036027318231748,0.8124016664339245,0.2478991596638655,0.06770920753479,0.077834487,0.001464494,1.0,1.0,2.974789915966386,3.0,68.0,8.0,47.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.46153846153846156,0.9333333333333332,0.8397745571658616,0.9230769230769232,0.8319327731092437,13,27.0,1.3076923076923077,0.3076923076923077,2.076923076923077,0.5281812246318007,0.8356363942570838,0.2340012928248222,0.078904390335083,0.090204674,0.0045083779999999,1.0,1.0,3.042016806722689,3.076923076923077,69.0,6.0,44.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.5,0.7333333333333334,0.8687600644122383,0.6923076923076923,0.865546218487395,14,28.0,1.2142857142857142,0.2857142857142857,2.0,0.5057281767425758,0.8031845816606662,0.2575030012004802,0.0906181335449218,0.102032922,0.001648494,1.0,1.0,3.6050420168067214,3.615384615384616,77.0,12.0,49.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.7058823529411765,0.6333333333333333,0.8312399355877617,0.6428571428571429,0.8389830508474576,17,32.0,1.0588235294117647,0.11764705882352941,1.8823529411764706,0.5183243230833307,0.8357033249853395,0.2128614157527418,0.1811537742614746,0.088994115,0.0026468769999999,1.0,1.0,3.6186440677966094,3.2857142857142856,67.0,7.0,32.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.5,0.7333333333333334,0.8883521202361782,0.6923076923076923,0.8823529411764706,16,38.0,1.5,0.375,2.375,0.5381350771954886,0.8527809094959048,0.2095588235294118,0.0996370315551757,0.09765532,0.003611976,1.0,1.0,3.3529411764705883,2.769230769230769,69.0,6.0,56.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,hayes-roth,0.625,0.8666666666666667,0.844068706387547,0.8461538461538461,0.8487394957983193,16,35.0,1.3125,0.25,2.1875,0.5260793475610257,0.8444466177774838,0.1896008403361344,0.0767879486083984,0.0852722179999999,0.0019918849999999,1.0,1.0,3.033613445378151,3.3846153846153846,49.0,5.0,35.0,5.0,C2,C2,C2
