model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,hayes-roth,0,0.7999999999999999,0.920289855072464,0.7692307692307693,0.907563025210084,18,54.0,0.8333333333333334,2.1666666666666665,3.0,0.5903299867969038,0.9407292499964915,0.1246498599439775,0.112744028,0.2115306849999999,0.007099161,1.0,1.0,2.2436974789915967,2.4615384615384617,23.0,5.0,4.0,1.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.7555555555555555,0.919001610305958,0.7142857142857143,0.9067796610169492,18,53.0,0.8888888888888888,2.0555555555555554,2.9444444444444446,0.6109189374954132,0.9500803474941404,0.134180790960452,0.056687768,0.111825769,0.008022581,1.0,1.0,2.415254237288136,2.5,25.0,7.0,8.0,4.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.7555555555555555,0.9130434782608696,0.7692307692307693,0.8991596638655462,19,54.0,0.9473684210526315,1.894736842105263,2.8421052631578947,0.5985723667646269,0.9476925071298936,0.1273772666961521,0.050016246,0.0921343529999999,0.007218163,1.0,1.0,2.4201680672268906,2.5384615384615383,27.0,5.0,2.0,3.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.9333333333333332,0.8985507246376812,0.9230769230769232,0.8823529411764706,18,53.0,0.8888888888888888,2.0555555555555554,2.9444444444444446,0.5981836501206526,0.9444672505017332,0.1311858076563959,0.045020089,0.091062575,0.0059433409999999,1.0,1.0,2.361344537815126,2.6923076923076925,28.0,3.0,8.0,3.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.8222222222222223,0.8985507246376812,0.8461538461538461,0.8823529411764706,17,47.0,0.9411764705882353,1.8235294117647058,2.764705882352941,0.5897009028104642,0.9356971628776902,0.1309935739001483,0.056015696,0.099469812,0.007590914,1.0,1.0,2.226890756302521,2.230769230769231,28.0,4.0,18.0,3.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,1.0,0.8913043478260869,1.0,0.8739495798319328,17,50.0,0.8235294117647058,2.1176470588235294,2.9411764705882355,0.5879057195034858,0.9358975390922654,0.1314878892733564,0.0499641,0.096118752,0.006149797,1.0,1.0,2.235294117647059,2.230769230769231,30.0,1.0,20.0,1.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.8666666666666667,0.9057971014492754,0.8461538461538461,0.8907563025210085,18,53.0,0.8888888888888888,2.0555555555555554,2.9444444444444446,0.6054678146190873,0.9473332488565462,0.1325863678804855,0.048098409,0.094581178,0.0057344019999999,1.0,1.0,2.3865546218487395,1.8461538461538465,26.0,4.0,19.0,1.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.6333333333333333,0.934621578099839,0.5714285714285714,0.923728813559322,18,53.0,1.0,1.9444444444444444,2.9444444444444446,0.6197391889516638,0.9615420720259432,0.1271186440677965,0.101286331,0.191188753,0.016389904,1.0,1.0,2.288135593220339,1.8571428571428568,18.0,3.0,0.0,1.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.8666666666666667,0.9130434782608696,0.8461538461538461,0.8991596638655462,18,54.0,0.9444444444444444,2.0555555555555554,3.0,0.588503482236231,0.936512677552104,0.1283846872082166,0.123520376,0.240646676,0.059421484,1.0,1.0,2.310924369747899,2.0,27.0,3.0,7.0,0.0,C2,C2,C2
complex,no_discretization,hayes-roth,0,0.9333333333333332,0.8985507246376812,0.9230769230769232,0.8823529411764706,20,60.0,0.95,2.05,3.0,0.5964540532245294,0.9477586206896552,0.1256302521008404,0.050792794,0.0855073129999999,0.006874417,1.0,1.0,2.5126050420168067,2.4615384615384617,28.0,2.0,9.0,1.0,C2,C2,C2
