model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,hayes-roth,0,0.6888888888888888,0.927536231884058,0.6923076923076923,0.9159663865546218,22,50.0,2.272727272727273,0,2.272727272727273,0.4341049529607063,0.8256418669982498,0.1172650878533231,0.041859043,0.064801227,0.0147393469999999,0.5909090909090909,0.5909090909090909,2.5798319327731094,2.3076923076923075,80.0,8.0,50.0,3.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.4222222222222222,0.9265700483091788,0.5,0.9152542372881356,22,43.0,1.9545454545454546,0,1.9545454545454546,0.4356987426152855,0.8182531693090295,0.1409861325115562,0.033849647,0.052804357,0.011538448,0.6818181818181818,0.5454545454545454,3.101694915254237,3.142857142857143,96.0,13.0,63.0,7.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.5777777777777777,0.927536231884058,0.6153846153846154,0.9159663865546218,20,43.0,2.15,0,2.15,0.4378058417338398,0.8184694773825208,0.1411764705882353,0.034943667,0.055818328,0.013831816,0.7,0.7,2.823529411764706,2.923076923076923,94.0,10.0,47.0,6.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.7555555555555555,0.9130434782608696,0.7692307692307693,0.8991596638655462,23,48.0,2.0869565217391304,0,2.0869565217391304,0.3950531361256199,0.7771563610460521,0.1381074168797954,0.059976141,0.1237339349999999,0.013716128,0.6086956521739131,0.6086956521739131,3.176470588235294,3.230769230769231,97.0,11.0,55.0,6.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.7555555555555555,0.9057971014492754,0.7692307692307693,0.8907563025210085,21,41.0,1.9523809523809523,0,1.9523809523809523,0.4106679436797433,0.7856198781664618,0.1588635454181673,0.03273033,0.0521330459999999,0.01296169,0.8095238095238095,0.6666666666666666,3.3361344537815127,3.615384615384616,109.0,11.0,64.0,5.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,1.0,0.9057971014492754,1.0,0.8907563025210085,22,45.0,2.0454545454545454,0,2.0454545454545454,0.3999231861016119,0.7797301073980916,0.1485867074102368,0.03129379,0.048635343,0.011621714,0.6818181818181818,0.5909090909090909,3.26890756302521,3.4615384615384617,109.0,11.0,74.0,6.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.7999999999999999,0.927536231884058,0.7692307692307693,0.9159663865546218,22,47.0,2.1363636363636362,0,2.1363636363636362,0.4124294987944999,0.7913914928170332,0.141711229946524,0.028367564,0.044630054,0.010703403,0.6818181818181818,0.5909090909090909,3.117647058823529,2.5384615384615383,93.0,7.0,70.0,4.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.5333333333333333,0.9262479871175524,0.5714285714285714,0.9152542372881356,20,42.0,2.1,0,2.1,0.4682224896759764,0.8520151587542892,0.1317796610169491,0.03520811,0.0527635709999999,0.0139340929999999,0.8,0.65,2.635593220338983,2.857142857142857,73.0,10.0,51.0,5.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.7999999999999999,0.927536231884058,0.7692307692307693,0.9159663865546218,19,41.0,2.1578947368421053,0,2.1578947368421053,0.4354766520596959,0.8125895991906994,0.1486068111455108,0.033916331,0.050933332,0.0142578699999999,0.7368421052631579,0.631578947368421,2.823529411764706,2.4615384615384617,95.0,9.0,54.0,4.0,C2,C2,C2
plain,no_discretization,hayes-roth,0,0.7555555555555555,0.927536231884058,0.7692307692307693,0.9159663865546218,22,47.0,2.1363636363636362,0,2.1363636363636362,0.432673511428141,0.8227165694451877,0.1283422459893048,0.034675216,0.0536965089999999,0.012546049,0.6363636363636364,0.5909090909090909,2.823529411764706,3.076923076923077,92.0,12.0,60.0,10.0,C2,C2,C2
