model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,heart-c,0.015384615384615385,0.7983193277310925,0.9561900610287708,0.8064516129032258,0.9558823529411764,65,177.0,1.476923076923077,1.2307692307692308,2.723076923076923,0.5898911621274644,0.9890714178681528,0.1086538461538462,4.6829681396484375,2.27609493,0.025131466,0.7076923076923077,0.5076923076923077,7.0625,7.32258064516129,22.0,12.0,9.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.04918032786885246,0.8697478991596639,0.9730819529206628,0.8709677419354839,0.9742647058823528,61,154.0,1.278688524590164,1.1967213114754098,2.5245901639344264,0.5757741685740588,0.9947457480762544,0.0851615236258437,3.415797710418701,1.264195851,0.0380021779999999,0.6065573770491803,0.3934426229508196,5.194852941176471,6.032258064516129,14.0,7.0,6.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.04918032786885246,0.8660714285714286,0.9583513747564408,0.8666666666666667,0.9597069597069596,61,165.0,1.5081967213114753,1.1475409836065573,2.7049180327868854,0.5820733948824803,0.988765247851786,0.1016633639584458,5.896143198013306,1.243081633,0.017474003,0.7049180327868853,0.5081967213114754,6.201465201465202,6.0,25.0,9.0,8.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.017857142857142856,0.7633928571428572,0.9630601861874866,0.7666666666666667,0.9633699633699634,56,185.0,2.0892857142857144,1.1964285714285714,3.3035714285714284,0.6103216963948508,0.9874051071284592,0.1304290947148089,2.347998857498169,1.083353543,0.015804015,0.8035714285714286,0.6607142857142857,7.304029304029304,6.533333333333333,28.0,13.0,11.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.05263157894736842,0.7678571428571428,0.9375405932019918,0.7666666666666667,0.9377289377289376,57,143.0,1.0526315789473684,1.4035087719298245,2.508771929824561,0.5756050448362401,0.9888709414527456,0.0953023584602532,4.120686054229736,1.567958232,0.028762845,0.6666666666666666,0.4385964912280701,5.4322344322344325,4.966666666666667,39.0,12.0,17.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.047619047619047616,0.8552036199095023,0.944972972972973,0.8666666666666667,0.945054945054945,63,171.0,1.3650793650793651,1.3015873015873016,2.7142857142857144,0.579609161764816,0.9882899499555162,0.0996569567998139,6.355303287506104,1.815981184,0.022523298,0.6666666666666666,0.4761904761904761,6.278388278388278,6.833333333333333,31.0,11.0,18.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.0,0.7081447963800905,0.9624864864864864,0.7,0.9633699633699634,60,149.0,1.0833333333333333,1.4,2.4833333333333334,0.5808914339743978,0.9941687326671178,0.0915140415140415,3.739251136779785,1.503769037,0.024213511,0.6333333333333333,0.3833333333333333,5.490842490842491,4.966666666666667,10.0,15.0,5.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.047619047619047616,0.7331932773109244,0.9414777680906712,0.7419354838709677,0.9448529411764706,63,158.0,1.2857142857142858,1.1746031746031746,2.507936507936508,0.5825351092350695,0.9899679484653648,0.1020074696545284,3.760685920715332,1.7318030169999998,0.019979113,0.6825396825396826,0.492063492063492,6.426470588235294,5.193548387096774,32.0,14.0,15.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.09836065573770492,0.7946428571428572,0.9543191166919248,0.8,0.956043956043956,61,161.0,1.3934426229508197,1.1475409836065573,2.639344262295082,0.5901352532552901,0.9900378444917992,0.1088092235633219,3.7155873775482178,1.264161747,0.022271693,0.6229508196721312,0.4754098360655737,6.637362637362638,6.566666666666666,28.0,12.0,14.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-c,0.13793103448275862,0.7633928571428572,0.9597044814895,0.7666666666666667,0.9597069597069596,58,166.0,1.4827586206896552,1.2413793103448276,2.8620689655172415,0.5910023239117449,0.985951370780432,0.1169634962738411,3.596080780029297,1.211940685,0.019122336,0.7068965517241379,0.603448275862069,6.783882783882784,7.366666666666666,48.0,10.0,28.0,7.0,C2,C2,C2
