model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,heart-c,0,0.8277310924369747,0.9400610287707062,0.8387096774193549,0.9411764705882352,66,170.0,1.2727272727272727,1.303030303030303,2.5757575757575757,0.5881829055233734,0.990299294029674,0.1056706773618538,0.765636959,1.361860543,0.009940692,0.7121212121212122,0.5151515151515151,6.974264705882353,7.32258064516129,23.0,7.0,11.0,3.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.8109243697478992,0.931342632955536,0.8064516129032258,0.9338235294117648,66,157.0,1.2878787878787878,1.0909090909090908,2.378787878787879,0.5741685258713075,0.9891904043462222,0.0952540106951871,0.8047878,1.3160012049999996,0.017806652,0.6363636363636364,0.4242424242424242,6.286764705882353,7.32258064516129,35.0,10.0,6.0,5.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.8660714285714286,0.9422223424983762,0.8666666666666667,0.945054945054945,69,184.0,1.391304347826087,1.2753623188405796,2.6666666666666665,0.5916038906601103,0.9904081588634654,0.1090407177363698,0.784691361,1.470983688,0.0135078759999999,0.7391304347826086,0.5652173913043478,7.523809523809524,7.7,29.0,6.0,13.0,2.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.7946428571428572,0.9402197445334488,0.8,0.9413919413919414,53,151.0,1.6226415094339623,1.2264150943396226,2.849056603773585,0.6013523228032959,0.985686045701464,0.1283433547584491,0.898185472,1.213536852,0.010518822,0.7924528301886793,0.6415094339622641,6.802197802197802,6.266666666666667,29.0,7.0,13.0,3.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.7633928571428572,0.9476077072959516,0.7666666666666667,0.9487179487179488,65,166.0,1.2615384615384615,1.2923076923076924,2.5538461538461537,0.5857268976828155,0.9890395319383652,0.1041983657368272,0.698796047,1.2681172479999998,0.012405454,0.7230769230769231,0.5230769230769231,6.772893772893773,5.8,26.0,12.0,14.0,7.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.8846153846153846,0.9437297297297298,0.9,0.945054945054945,65,166.0,1.3846153846153846,1.1692307692307693,2.5538461538461537,0.5855508573469688,0.9919129389462262,0.0988447449985911,0.670047202,1.254843559,0.0111659819999999,0.6923076923076923,0.5076923076923077,6.424908424908425,7.4,21.0,12.0,8.0,5.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.6787330316742082,0.9443513513513514,0.6666666666666666,0.945054945054945,63,145.0,1.0952380952380953,1.2063492063492063,2.3015873015873014,0.5780988099330971,0.992487745516062,0.09145880574452,0.663746407,1.294129551,0.01549594,0.6666666666666666,0.4126984126984127,5.761904761904762,5.133333333333334,22.0,10.0,12.0,4.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.7626050420168067,0.9387532693984306,0.7741935483870968,0.9411764705882352,69,166.0,1.1884057971014492,1.2173913043478262,2.4057971014492754,0.5907026704144546,0.9896431558834936,0.1114130434782609,1.443203032,2.535069092,0.017693826,0.7246376811594203,0.5507246376811594,7.6875,6.129032258064516,32.0,12.0,16.0,8.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.7946428571428572,0.932831781770946,0.8,0.934065934065934,65,152.0,1.2923076923076924,1.0461538461538462,2.3384615384615386,0.5904604292289025,0.9897342104058288,0.1089320935474781,0.983329697,1.692779296,0.039505383,0.6615384615384615,0.5230769230769231,7.08058608058608,6.766666666666667,21.0,11.0,11.0,5.0,C2,C2,C2
complex,no_discretization,heart-c,0,0.7633928571428572,0.9476077072959516,0.7666666666666667,0.9487179487179488,62,164.0,1.4193548387096775,1.2258064516129032,2.6451612903225805,0.5958574889759966,0.992110125964928,0.108885737917996,0.802398013,1.324877785,0.01936077,0.7258064516129032,0.6290322580645161,6.750915750915751,7.3,19.0,5.0,10.0,4.0,C2,C2,C2
