model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,heart-c,0.19047619047619047,0.76890756302521,0.9413687881429816,0.7741935483870968,0.9411764705882352,63,146.0,1.2222222222222223,0.9047619047619048,2.3174603174603177,0.581310732150943,0.9854760591315131,0.1065009337068161,4.783875465393066,1.13726844,0.022824668,0.6825396825396826,0.4761904761904761,6.709558823529412,6.903225806451613,36.0,15.0,19.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.22950819672131148,0.8991596638655461,0.9326503923278116,0.9032258064516128,0.9338235294117648,61,142.0,1.0491803278688525,1.0491803278688525,2.3278688524590163,0.5657819663024352,0.9850225696191264,0.0916104146576663,2.8702409267425537,0.8756328609999999,0.018677812,0.6065573770491803,0.3934426229508196,5.588235294117647,6.451612903225806,46.0,12.0,21.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.22950819672131148,0.8660714285714286,0.9395431911669192,0.8666666666666667,0.9413919413919414,61,144.0,1.1967213114754098,0.9344262295081968,2.360655737704918,0.5767423579824478,0.9838771047246508,0.1057467123040893,5.530611038208008,0.813480703,0.019004342,0.7049180327868853,0.5081967213114754,6.450549450549451,6.3,43.0,11.0,16.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.21428571428571427,0.7678571428571428,0.9476077072959516,0.7666666666666667,0.9487179487179488,56,173.0,1.8214285714285714,1.0535714285714286,3.0892857142857144,0.6036727421817162,0.981369354606693,0.1346153846153846,2.3103840351104736,0.7781365899999998,0.019078097,0.8035714285714286,0.6607142857142857,7.538461538461538,6.066666666666666,37.0,10.0,16.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.1724137931034483,0.7678571428571428,0.931478675037887,0.7666666666666667,0.934065934065934,58,131.0,0.9655172413793104,1.1206896551724137,2.2586206896551726,0.5741381035963569,0.9873137839447912,0.0965011999494758,3.53066086769104,0.852409039,0.017854727,0.6896551724137931,0.4655172413793103,5.597069597069597,5.266666666666667,38.0,10.0,21.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.21052631578947367,0.8846153846153846,0.932972972972973,0.9,0.934065934065934,57,137.0,1.1578947368421053,1.0350877192982457,2.4035087719298245,0.578151114698728,0.982168691539742,0.1110468478889531,6.481863975524902,1.032805369,0.018242235,0.6842105263157895,0.5087719298245614,6.329670329670329,6.966666666666667,49.0,12.0,21.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.1694915254237288,0.7081447963800905,0.9557297297297296,0.7,0.956043956043956,59,142.0,0.9830508474576272,1.2542372881355932,2.406779661016949,0.5803150458381536,0.991586407744642,0.0952380952380952,3.0677921772003174,0.959888246,0.0226787,0.6610169491525424,0.4067796610169492,5.619047619047619,5.266666666666667,23.0,15.0,7.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.25806451612903225,0.7331932773109244,0.9340671316477768,0.7419354838709677,0.9375,62,132.0,0.9838709677419355,0.8870967741935484,2.129032258064516,0.5737005726062973,0.9811570237858996,0.1085151802656546,3.380204916000366,0.959410093,0.020358351,0.6935483870967742,0.5,6.727941176470588,5.258064516129032,61.0,13.0,24.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.21052631578947367,0.7991071428571428,0.931478675037887,0.8,0.934065934065934,57,138.0,1.263157894736842,0.9473684210526315,2.4210526315789473,0.5940758818478198,0.9880148188331892,0.1156095366621682,3.827249765396118,0.751955465,0.0369913579999999,0.6666666666666666,0.5263157894736842,6.589743589743589,6.466666666666667,31.0,12.0,11.0,8.0,C2,C2,C2
exact_M-of-N,no_discretization,heart-c,0.36065573770491804,0.7633928571428572,0.9435754492314352,0.7666666666666667,0.945054945054945,61,164.0,1.3278688524590163,1.0,2.6885245901639343,0.6004575307919758,0.9888523553721188,0.1179367081006425,3.794975757598877,1.008873474,0.028112177,0.7868852459016393,0.6885245901639344,7.194139194139194,7.833333333333333,22.0,5.0,11.0,3.0,C2,C2,C2
