model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,heart-c,0,0.8277310924369747,0.9387532693984306,0.8387096774193549,0.9411764705882352,65,239.0,3.6769230769230767,0.0,3.6769230769230767,0.6235938248147729,0.985889459873815,0.1492647058823529,0.143467683,0.224417729,0.021421595,0.8923076923076924,0.8923076923076924,9.702205882352942,10.838709677419354,23.0,7.0,9.0,3.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.8991596638655461,0.9427855274629467,0.9032258064516128,0.9448529411764706,58,230.0,3.9655172413793105,0.0,3.9655172413793105,0.6257266899625529,0.983163899957661,0.1561866125760648,0.187925609,0.172361792,0.012287744,0.9482758620689656,0.9310344827586208,9.058823529411764,11.064516129032258,38.0,9.0,9.0,1.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.8392857142857143,0.930125568304828,0.8333333333333334,0.934065934065934,61,241.0,3.9508196721311477,0.0,3.9508196721311477,0.6298803198969107,0.9792954915483028,0.1698192517864647,0.111685428,0.164746357,0.014058657,0.9344262295081968,0.918032786885246,10.35897435897436,9.866666666666667,45.0,8.0,9.0,6.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.7946428571428572,0.931478675037887,0.8,0.934065934065934,62,240.0,3.870967741935484,0.0,3.870967741935484,0.6348107260909263,0.9838865040539386,0.1663712631454565,0.109967707,0.16177219,0.013289325,0.935483870967742,0.9193548387096774,10.315018315018316,9.6,31.0,11.0,14.0,3.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.7633928571428572,0.9153496427798224,0.7666666666666667,0.9194139194139194,44,159.0,3.6136363636363638,0.0,3.6136363636363638,0.6184857054790561,0.9755328674529172,0.1644189144189144,0.08068777,0.123199772,0.0096728229999999,0.8863636363636364,0.8636363636363636,7.234432234432234,5.466666666666667,41.0,10.0,22.0,5.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.8461538461538461,0.9304864864864866,0.8666666666666667,0.934065934065934,56,215.0,3.8392857142857144,0.0,3.8392857142857144,0.631200559673654,0.9806815856612928,0.1697409733124017,0.104614864,0.152002042,0.011723708,0.9464285714285714,0.9464285714285714,9.505494505494504,11.066666666666666,38.0,7.0,12.0,1.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.8257918552036199,0.9304864864864866,0.8333333333333334,0.934065934065934,51,196.0,3.843137254901961,0.0,3.843137254901961,0.6357443705927438,0.983853918909709,0.1679954032895209,0.099615759,0.14715743,0.011527475,0.9019607843137256,0.8823529411764706,8.567765567765568,6.733333333333333,30.0,11.0,13.0,2.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.7331932773109244,0.9300348735832606,0.7419354838709677,0.9338235294117648,57,218.0,3.824561403508772,0.0,3.824561403508772,0.6373677450191082,0.9781176860083132,0.1780830753353973,0.140355575,0.188022477,0.030446921,0.9473684210526316,0.9473684210526316,10.150735294117649,7.967741935483871,44.0,6.0,12.0,1.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.8303571428571428,0.9119939380818358,0.8333333333333334,0.9157509157509156,54,199.0,3.685185185185185,0.0,3.685185185185185,0.6381631034133536,0.9758214968270535,0.1853886853886852,0.104483861,0.1557483429999999,0.011104374,0.8888888888888888,0.8518518518518519,10.010989010989013,10.133333333333333,44.0,11.0,21.0,6.0,C2,C2,C2
plain,no_discretization,heart-c,0,0.7946428571428572,0.9267698636068412,0.8,0.9304029304029304,58,218.0,3.7586206896551726,0.0,3.7586206896551726,0.6283585309174811,0.9829473971559962,0.1598459012252115,0.105705174,0.163175829,0.012295634,0.913793103448276,0.913793103448276,9.271062271062272,10.8,36.0,4.0,7.0,2.0,C2,C2,C2
