model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,heart-statlog,0.017543859649122806,0.7333333333333334,0.9657407407407408,0.7407407407407407,0.9670781893004116,57,149.0,1.4385964912280702,1.1578947368421053,2.6140350877192984,0.596885625753639,0.9938856149258682,0.1080788390729911,2.2420122623443604,1.1639362329999998,0.014214217,0.6842105263157895,0.5087719298245614,6.160493827160494,7.444444444444445,11.0,8.0,5.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.08196721311475409,0.7666666666666666,0.9657407407407408,0.7777777777777778,0.9670781893004116,61,158.0,1.1967213114754098,1.3114754098360655,2.5901639344262297,0.5934154631514823,0.9937635823562294,0.1053767793294205,2.582682609558105,1.221672554,0.0224699349999999,0.7377049180327869,0.5737704918032787,6.42798353909465,6.407407407407407,17.0,13.0,4.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.05,0.8416666666666667,0.9638888888888888,0.8518518518518519,0.9629629629629628,60,172.0,1.45,1.3666666666666667,2.8666666666666667,0.5905791477754128,0.9879102163279428,0.1133058984910836,2.642253160476685,1.2783314119999998,0.018101264,0.6666666666666666,0.5,6.79835390946502,7.333333333333333,25.0,7.0,12.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.03508771929824561,0.7833333333333333,0.950925925925926,0.7777777777777778,0.9506172839506172,57,129.0,1.1578947368421053,1.0701754385964912,2.263157894736842,0.5809085796318467,0.9911707658475224,0.0967439174066854,1.6903305053710938,1.05446178,0.021637537,0.6491228070175439,0.4035087719298245,5.51440329218107,5.444444444444445,13.0,10.0,4.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.05,0.7583333333333333,0.9666666666666666,0.7777777777777778,0.9670781893004116,60,146.0,0.9833333333333333,1.4,2.433333333333333,0.5803511835618392,0.993266433661058,0.093278463648834,1.3980576992034912,0.8965058959999999,0.019344108,0.6,0.3666666666666666,5.596707818930041,4.592592592592593,17.0,7.0,12.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.0,0.8500000000000001,0.9657407407407408,0.8518518518518519,0.9670781893004116,61,154.0,1.2295081967213115,1.2950819672131149,2.5245901639344264,0.5823055023716124,0.9955017083541264,0.0895905012480604,4.035414695739746,1.3474336569999998,0.031716741,0.6557377049180327,0.4590163934426229,5.465020576131687,5.555555555555555,10.0,11.0,6.0,5.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.03278688524590164,0.8416666666666667,0.9629629629629628,0.8518518518518519,0.9629629629629628,61,149.0,1.1147540983606556,1.2950819672131149,2.442622950819672,0.5832882390428034,0.9942883450272416,0.0929636375902314,3.895242691040039,1.148437048,0.026993281,0.5245901639344263,0.360655737704918,5.670781893004115,5.407407407407407,17.0,10.0,4.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.03225806451612903,0.8916666666666666,0.9657407407407408,0.8888888888888888,0.9670781893004116,62,163.0,1.4516129032258065,1.1451612903225807,2.629032258064516,0.5797307275672282,0.9914336222840407,0.0961104473649276,5.009791612625122,2.137637667,0.0215488519999999,0.6290322580645161,0.4354838709677419,5.958847736625515,6.148148148148148,15.0,7.0,7.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.10526315789473684,0.7,0.9555555555555556,0.7037037037037037,0.9588477366255144,57,146.0,1.2280701754385965,1.2280701754385965,2.56140350877193,0.5941566711679006,0.9909044537216524,0.1109667172045339,2.851492166519165,0.846945459,0.014598557,0.7192982456140351,0.4736842105263157,6.325102880658436,6.333333333333333,21.0,13.0,15.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,heart-statlog,0.029850746268656716,0.775,0.9666666666666666,0.7777777777777778,0.9670781893004116,67,161.0,1.0597014925373134,1.3134328358208955,2.4029850746268657,0.5806516327087334,0.994968806043228,0.0900436091149192,4.13768744468689,1.152701075,0.024729585,0.6119402985074627,0.5074626865671642,6.032921810699588,5.777777777777778,10.0,13.0,4.0,7.0,C2,C2,C2
