model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,heart-statlog,0,0.7333333333333334,0.9444444444444444,0.7407407407407407,0.9465020576131687,59,138.0,1.3898305084745763,0.9491525423728814,2.3389830508474576,0.5889956938977153,0.992098818721136,0.1033689056287926,0.654312059,1.069199499,0.007141649,0.6779661016949152,0.5084745762711864,6.098765432098766,7.185185185185185,16.0,8.0,7.0,3.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.7666666666666666,0.950925925925926,0.7777777777777778,0.9506172839506172,60,135.0,1.2333333333333334,1.0166666666666666,2.25,0.5816837865895391,0.9937082698751142,0.0907407407407407,0.474435844,0.920976103,0.007936462,0.7,0.55,5.444444444444445,5.555555555555555,14.0,11.0,5.0,5.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.7666666666666666,0.9268518518518518,0.7777777777777778,0.9300411522633744,62,160.0,1.564516129032258,1.0161290322580645,2.5806451612903225,0.5847833274528347,0.9890901870116404,0.105203770078322,0.73283859,1.1866669879999998,0.008266035,0.6774193548387096,0.5,6.522633744855967,7.481481481481482,26.0,7.0,14.0,3.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.7833333333333333,0.9527777777777776,0.7777777777777778,0.9547325102880658,59,126.0,1.0508474576271187,1.0847457627118644,2.135593220338983,0.5762796947939974,0.9919181515795552,0.0913022250122061,0.950002982,1.489326606,0.007072472,0.6440677966101694,0.4067796610169492,5.386831275720165,5.444444444444445,19.0,10.0,7.0,5.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.8,0.9361111111111112,0.8148148148148148,0.9382716049382716,61,131.0,1.0,1.1475409836065573,2.1475409836065573,0.5741675417215235,0.9941421487220282,0.0856776630911421,0.618754728,1.078196398,0.0101054,0.5737704918032787,0.3934426229508196,5.226337448559671,4.111111111111111,13.0,6.0,7.0,3.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.8833333333333333,0.9425925925925926,0.8888888888888888,0.9465020576131687,66,157.0,1.2424242424242424,1.1363636363636365,2.378787878787879,0.5809785041109057,0.9926051955981244,0.0947749095897243,0.678626364,1.122049792,0.008620874,0.6666666666666666,0.5,6.255144032921811,6.185185185185185,18.0,12.0,11.0,6.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.7583333333333333,0.9546296296296296,0.7777777777777778,0.9547325102880658,65,157.0,1.2615384615384615,1.1538461538461537,2.4153846153846152,0.5840247240232695,0.992074854408444,0.0969927192149414,0.510832357,0.979306873,0.0080054939999999,0.5692307692307692,0.4,6.304526748971194,5.407407407407407,25.0,8.0,12.0,2.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.925,0.9518518518518518,0.925925925925926,0.9547325102880658,65,168.0,1.4923076923076923,1.0923076923076922,2.5846153846153848,0.5846085992621327,0.991569953586686,0.1012345679012345,0.834333409,1.3947089440000002,0.010478763,0.6461538461538462,0.4923076923076923,6.580246913580247,7.222222222222222,23.0,9.0,9.0,7.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.7,0.949074074074074,0.7037037037037037,0.9506172839506172,60,146.0,1.3166666666666667,1.1166666666666667,2.433333333333333,0.5958288953991965,0.9932652743680298,0.1074759945130315,0.622787223,1.1198024169999998,0.008685739,0.7333333333333333,0.5333333333333333,6.448559670781893,6.814814814814815,13.0,10.0,6.0,5.0,C2,C2,C2
complex,no_discretization,heart-statlog,0,0.8916666666666666,0.9648148148148148,0.8888888888888888,0.9670781893004116,74,171.0,1.1891891891891893,1.1216216216216217,2.310810810810811,0.5795775581659723,0.9958224338034842,0.0885329774218663,0.561442808,0.963376506,0.009142859,0.6216216216216216,0.527027027027027,6.551440329218107,6.444444444444445,14.0,13.0,6.0,4.0,C2,C2,C2
