model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,hepatitis,0.5294117647058824,0.4615384615384615,0.9827586206896552,0.75,0.9928057553956836,17,39.0,0.11764705882352941,1.6470588235294117,2.2941176470588234,0.6858668981108259,0.986108842818062,0.2323317816335166,0.246117353439331,0.068939653,0.003126953,1.0,1.0,3.949640287769784,4.5625,6.0,3.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.3,0.8333333333333333,0.9827586206896552,0.9375,0.9928057553956836,20,48.0,0.35,1.75,2.4,0.6968388429752066,0.9909090909090909,0.2669064748201438,0.1901369094848632,0.056148207,0.004380769,1.0,1.0,5.338129496402877,4.625,2.0,3.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.4166666666666667,0.6666666666666666,1.0,0.8666666666666667,1.0,24,53.0,0.4166666666666667,1.375,2.2083333333333335,0.6750184092138115,0.9953703703703703,0.2366071428571427,0.3254988193511963,0.068197566,0.003211841,1.0,0.9166666666666666,5.678571428571429,5.4,1.0,2.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.3684210526315789,0.625,0.9655172413793104,0.8,0.9857142857142858,19,45.0,0.47368421052631576,1.5263157894736843,2.3684210526315788,0.7031689277748406,0.9987424114260904,0.2654135338345864,0.2729382514953613,0.05378039,0.006224298,1.0,1.0,5.042857142857143,5.333333333333333,1.0,3.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.4090909090909091,0.9583333333333331,1.0,0.9333333333333332,1.0,22,43.0,0.36363636363636365,1.1818181818181819,1.9545454545454546,0.657577640336261,0.996969696969697,0.1931818181818181,0.2037672996520996,0.081401416,0.0111396749999999,1.0,1.0,4.25,3.533333333333333,1.0,2.0,0.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.7647058823529411,0.5833333333333333,0.9464285714285714,0.75,0.9784172661870504,17,45.0,0.47058823529411764,1.411764705882353,2.6470588235294117,0.7070649242603022,0.9924904833728364,0.2721117223867965,0.229670763015747,0.100524927,0.007469384,1.0,1.0,4.625899280575539,4.0625,3.0,3.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.29411764705882354,0.5,0.9642857142857144,0.75,0.9856115107913668,17,35.0,0.47058823529411764,1.2941176470588236,2.0588235294117645,0.6965813749983302,0.9991349480968856,0.2458738891239948,0.2261049747467041,0.031725266,0.004274671,1.0,1.0,4.179856115107913,5.8125,1.0,2.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.47368421052631576,0.4743589743589743,0.9827586206896552,0.5625,0.9928057553956836,19,44.0,0.5263157894736842,1.3157894736842106,2.3157894736842106,0.7309562756710286,0.9927285318559556,0.2930708065126845,0.4543447494506836,0.102957784,0.007872512,1.0,1.0,5.568345323741007,5.5,2.0,1.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.2727272727272727,0.5,0.9827586206896552,0.8,0.9928571428571428,22,47.0,0.5,1.3636363636363635,2.1363636363636362,0.7003869072834591,1.0,0.2681818181818181,0.2214555740356445,0.053213984,0.00222383,1.0,1.0,5.9,6.466666666666667,0.0,1.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,hepatitis,0.6,0.5,0.9827586206896552,0.8,0.9928571428571428,20,58.0,0.45,1.85,2.9,0.7176771179857873,0.9933930093776642,0.3010714285714285,0.2411901950836181,0.072772362,0.002191574,1.0,1.0,6.021428571428571,6.666666666666667,3.0,0.0,0.0,0.0,C2,C2,C2
