model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,hepatitis,0,0.4615384615384615,0.9655172413793104,0.75,0.9856115107913668,24,46.0,0.375,1.5416666666666667,1.9166666666666667,0.6418049694290527,0.9870108164534468,0.2140287769784172,0.295894189,0.385350463,0.003978919,1.0,1.0,5.136690647482014,6.0625,6.0,3.0,2.0,0.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.6666666666666666,0.9655172413793104,0.875,0.9856115107913668,20,42.0,0.5,1.6,2.1,0.6623331860039168,0.9824786211056702,0.2341726618705034,0.295622622,0.435894824,0.007042305,1.0,1.0,4.683453237410072,4.0,6.0,2.0,2.0,0.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.6666666666666666,0.9137931034482758,0.8666666666666667,0.9642857142857144,23,47.0,0.5217391304347826,1.5217391304347827,2.0434782608695654,0.6433250210582856,0.9809025255782208,0.2192546583850931,0.282374407,0.496569929,0.008117517,1.0,0.9130434782608696,5.042857142857143,4.533333333333333,7.0,3.0,0.0,1.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.5833333333333334,0.9482758620689656,0.7333333333333333,0.9785714285714284,21,46.0,0.47619047619047616,1.7142857142857142,2.1904761904761907,0.6789585777196925,0.9865933675738258,0.2602040816326529,0.205157169,0.2992404829999999,0.002752962,1.0,1.0,5.464285714285714,5.066666666666666,5.0,2.0,1.0,2.0,C2,C2,C2
complex,no_discretization,hepatitis,0,1.0,0.973749611680646,1.0,0.9785714285714284,24,45.0,0.4166666666666667,1.4583333333333333,1.875,0.6475167696432065,0.9861772486772488,0.2029761904761904,0.216803308,0.348127018,0.008542714,1.0,1.0,4.871428571428571,3.866666666666666,6.0,2.0,1.0,2.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.625,0.9285714285714286,0.8125,0.9712230215827338,21,42.0,0.47619047619047616,1.5238095238095237,2.0,0.6509554887808364,0.9844706593153796,0.2247344981157929,0.223960905,0.311357168,0.003254863,1.0,0.9047619047619048,4.719424460431655,4.5625,5.0,6.0,0.0,1.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.5,0.9464285714285714,0.75,0.9784172661870504,19,35.0,0.5263157894736842,1.3157894736842106,1.8421052631578947,0.6852429008679009,0.9853994141823088,0.2756531616811812,0.200388242,0.2389027989999999,0.0069161079999999,1.0,1.0,5.237410071942446,7.5625,5.0,2.0,1.0,0.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.4743589743589743,0.9827586206896552,0.5625,0.9928057553956836,23,50.0,0.8695652173913043,1.3043478260869565,2.1739130434782608,0.6996204590010408,0.9917212302899936,0.2708789490147012,0.31035649,0.484469069,0.023726641,1.0,1.0,6.23021582733813,5.5,4.0,4.0,2.0,1.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.5,0.896551724137931,0.8,0.9571428571428572,23,44.0,0.5217391304347826,1.391304347826087,1.9130434782608696,0.6761358164188372,0.985767349672792,0.2720496894409937,0.301804423,0.437265067,0.0056019179999999,1.0,1.0,6.257142857142857,7.0,8.0,2.0,1.0,0.0,C2,C2,C2
complex,no_discretization,hepatitis,0,0.6666666666666666,0.9655172413793104,0.8666666666666667,0.9857142857142858,23,48.0,0.5217391304347826,1.565217391304348,2.0869565217391304,0.6624958305882723,0.982942991582518,0.2338509316770185,0.219612678,0.315727591,0.005682458,1.0,1.0,5.378571428571429,5.6,6.0,3.0,0.0,1.0,C2,C2,C2
