model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,hepatitis,0.34782608695652173,0.4615384615384615,0.9827586206896552,0.75,0.9928057553956836,23,47.0,0.2608695652173913,1.434782608695652,2.0434782608695654,0.6790282866588098,0.995225916453538,0.2302158273381294,0.3256275653839111,0.080770338,0.0039586809999999,1.0,1.0,5.294964028776978,5.875,2.0,3.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.4782608695652174,0.6282051282051282,0.9827586206896552,0.8125,0.9928057553956836,23,51.0,0.34782608695652173,1.391304347826087,2.217391304347826,0.6963943552699174,0.9993311036789296,0.2627463246793868,0.1873054504394531,0.054001603,0.00566612,1.0,1.0,6.043165467625899,4.75,1.0,3.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.36,0.6666666666666666,0.9827586206896552,0.8666666666666667,0.9928571428571428,25,55.0,0.48,1.36,2.2,0.6762121182077163,0.9991489361702128,0.2285714285714285,0.3268470764160156,0.0582162149999999,0.004234338,1.0,0.92,5.714285714285714,5.333333333333333,1.0,3.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.4090909090909091,0.625,0.9827586206896552,0.8,0.9928571428571428,22,54.0,0.45454545454545453,1.5909090909090908,2.4545454545454546,0.6875150141433666,0.9889493222826556,0.2613636363636363,0.3410110473632812,0.081524124,0.007049847,1.0,1.0,5.75,5.333333333333333,3.0,2.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.2608695652173913,0.9583333333333331,0.9954954954954957,0.9333333333333332,0.9928571428571428,23,44.0,0.43478260869565216,1.2173913043478262,1.9130434782608696,0.6603725164444805,0.9956521739130434,0.1934782608695651,0.1913375854492187,0.054863049,0.00763196,1.0,1.0,4.45,3.866666666666666,1.0,2.0,0.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.4166666666666667,0.5833333333333333,0.9821428571428572,0.75,0.9928057553956836,24,56.0,0.5,1.4166666666666667,2.3333333333333335,0.6942665144801222,0.9994725738396624,0.2625899280575538,0.2936444282531738,0.074614934,0.008405455,1.0,0.9166666666666666,6.302158273381295,5.625,0.0,5.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.17647058823529413,0.5,0.9821428571428572,0.75,0.9928057553956836,17,33.0,0.35294117647058826,1.411764705882353,1.9411764705882353,0.7064217578923462,1.0,0.2606855691917053,0.1668064594268798,0.034548524,0.010301714,1.0,1.0,4.431654676258993,6.25,0.0,2.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.5,0.4743589743589743,0.9655172413793104,0.5625,0.9856115107913668,22,49.0,0.6818181818181818,1.0454545454545454,2.227272727272727,0.7044338156343991,0.982403069262276,0.2753433616742968,0.3473398685455322,0.096676971,0.006303776,1.0,1.0,6.057553956834532,4.9375,9.0,2.0,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.2,0.5,0.9655172413793104,0.8,0.9857142857142858,20,38.0,0.55,1.15,1.9,0.7025404715059889,0.9993055555555556,0.2642857142857142,0.2276544570922851,0.0497714849999999,0.007503854,1.0,1.0,5.285714285714286,5.6,1.0,1.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,hepatitis,0.45454545454545453,0.6666666666666666,0.9610127368748058,0.8666666666666667,0.9785714285714284,22,50.0,0.5,1.3181818181818181,2.272727272727273,0.6942254200500076,0.9904126670431018,0.2548701298701297,0.3088657855987549,0.076523688,0.005572384,1.0,1.0,5.607142857142857,6.2,3.0,4.0,0.0,1.0,C2,C2,C2
