model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,hepatitis,0,0.7948717948717949,0.9827586206896552,0.875,0.9928057553956836,24,61.0,2.5416666666666665,0.0,2.5416666666666665,0.6585170210464099,0.9854096520763188,0.225419664268585,0.052454657,0.082746738,0.004687715,0.9583333333333334,0.9583333333333334,5.410071942446043,6.8125,7.0,3.0,5.0,1.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.8333333333333333,0.926489028213166,0.9375,0.9640287769784172,26,69.0,2.6538461538461537,0.0,2.6538461538461537,0.667975011769638,0.9849353876595922,0.2446043165467624,0.056616258,0.079690771,0.00883396,1.0,1.0,6.359712230215828,5.0625,9.0,3.0,0.0,0.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.6666666666666666,0.9310344827586208,0.8666666666666667,0.9714285714285714,27,68.0,2.5185185185185186,0.0,2.5185185185185186,0.6589484529303463,0.9868847637899352,0.2447089947089946,0.054178884,0.0839165089999999,0.004604568,1.0,0.925925925925926,6.607142857142857,6.533333333333333,6.0,3.0,1.0,0.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.75,1.0,0.8,1.0,26,74.0,2.8461538461538463,0.0,2.8461538461538463,0.654130740337637,0.9930694305694304,0.2140109890109889,0.051600155,0.0849147359999999,0.0068568149999999,1.0,1.0,5.564285714285714,4.6,6.0,2.0,5.0,1.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.8333333333333333,0.9655172413793104,0.9333333333333332,0.9857142857142858,25,66.0,2.64,0.0,2.64,0.646591437663199,0.9878274248274248,0.2177142857142856,0.049327986,0.081873812,0.006044773,1.0,1.0,5.442857142857143,4.6,9.0,2.0,6.0,0.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.7083333333333333,0.9597812097812096,0.8125,0.9784172661870504,25,62.0,2.48,0.0,2.48,0.6596480153670647,0.9840668796492784,0.2256115107913668,0.050399736,0.0795992519999999,0.0045688799999999,1.0,1.0,5.640287769784172,5.5,8.0,7.0,1.0,2.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.625,0.9597812097812096,0.8125,0.9784172661870504,24,53.0,2.2083333333333335,0.0,2.2083333333333335,0.6673709558881349,0.9845375089045976,0.238009592326139,0.037404008,0.059471521,0.004173393,1.0,1.0,5.712230215827338,8.4375,10.0,2.0,4.0,1.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.641025641025641,0.960971786833856,0.625,0.9784172661870504,25,68.0,2.72,0.0,2.72,0.6844172859144619,0.9729884702070024,0.2670503597122302,0.109377317,0.148222185,0.030295139,1.0,1.0,6.676258992805756,5.0,11.0,4.0,2.0,2.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.5,0.9827586206896552,0.8,0.9928571428571428,25,61.0,2.44,0.0,2.44,0.6712570466194704,0.9847828376544794,0.2562857142857142,0.04789266,0.07611431,0.0060154069999999,1.0,1.0,6.4071428571428575,7.333333333333333,10.0,1.0,7.0,0.0,C2,C2,C2
plain,no_discretization,hepatitis,0,0.5,0.973749611680646,0.8,0.9785714285714284,26,73.0,2.8076923076923075,0.0,2.8076923076923075,0.6594580759735025,0.9798358074673864,0.2252747252747251,0.066856828,0.1015926259999999,0.012976643,1.0,1.0,5.857142857142857,5.933333333333334,6.0,4.0,1.0,0.0,C2,C2,C2
