model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,iris,0.4,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,5,8.0,0.6,0.6,1.6,0.951830002149151,0.9823984526112186,0.3244444444444444,0.0619661808013916,0.072531982,0.001481011,1.0,1.0,1.6222222222222222,1.5333333333333334,3.0,0.0,3.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.5,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,6,9.0,0.5,0.5,1.5,0.9473379629629628,0.9820075757575758,0.3222222222222222,0.0723657608032226,0.077339378,0.0016424719999999,1.0,1.0,1.933333333333333,1.933333333333333,3.0,1.0,3.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.5,0.8666666666666667,0.9851851851851852,0.8666666666666667,0.9851851851851852,6,11.0,1.0,0.3333333333333333,1.8333333333333333,0.9592592592592594,0.9962121212121212,0.3111111111111111,0.0666432380676269,0.077856131,0.00190902,1.0,1.0,1.8666666666666667,1.4666666666666666,0.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.4,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,5,7.0,0.6,0.4,1.4,0.939137199501849,0.9737947206505604,0.3274074074074073,0.0676829814910888,0.084453737,0.0012817,1.0,1.0,1.637037037037037,1.5333333333333334,5.0,1.0,5.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.5714285714285714,1.0,0.977777777777778,1.0,0.9777777777777776,7,11.0,0.42857142857142855,0.5714285714285714,1.5714285714285714,0.9343824597022272,0.9747554448135844,0.3227513227513228,0.0746753215789794,0.085591949,0.001601609,1.0,1.0,2.259259259259259,2.333333333333333,7.0,0.0,7.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.5714285714285714,1.0,0.9703703703703704,1.0,0.9703703703703704,7,11.0,0.42857142857142855,0.5714285714285714,1.5714285714285714,0.9298875661375662,0.9717284976005908,0.3238095238095238,0.0693452358245849,0.069686092,0.000687342,1.0,1.0,2.2666666666666666,2.2666666666666666,7.0,0.0,7.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.6,1.0,0.977777777777778,1.0,0.9777777777777776,5,7.0,0.4,0.4,1.4,0.9436909991386736,0.9739599483204134,0.3303703703703703,0.0520541667938232,0.070318922,0.001196941,1.0,1.0,1.651851851851852,1.6666666666666667,4.0,3.0,4.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.5714285714285714,1.0,0.977777777777778,1.0,0.9777777777777776,7,11.0,0.42857142857142855,0.5714285714285714,1.5714285714285714,0.9343824597022272,0.9747554448135844,0.3227513227513228,0.0716218948364257,0.081731068,0.002468012,1.0,1.0,2.259259259259259,2.333333333333333,7.0,0.0,7.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.14285714285714285,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,7,12.0,1.1428571428571428,0.42857142857142855,1.7142857142857142,0.9131686584467472,0.96370654769311,0.3248677248677248,0.0692675113677978,0.074436735,0.002635225,1.0,1.0,2.274074074074074,2.4,12.0,3.0,12.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,iris,0.3333333333333333,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,6,8.0,0.5,0.5,1.3333333333333333,0.9458484299516908,0.9785490777338604,0.3259259259259259,0.038492202758789,0.04300237,0.002611401,1.0,1.0,1.9555555555555555,2.066666666666667,4.0,0.0,4.0,0.0,C2,C2,C2
