model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,iris,0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,7,11.0,1.0,0.5714285714285714,1.5714285714285714,0.936156462585034,0.9863826926119283,0.3079365079365079,0.077307227,0.1554709699999999,0.003926284,1.0,1.0,2.1555555555555554,2.333333333333333,3.0,0.0,3.0,0.0,C2,C2,C2
complex,no_discretization,iris,0,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,7,13.0,1.2857142857142858,0.5714285714285714,1.8571428571428572,0.9379818594104308,0.9933518862090291,0.3005291005291005,0.072240598,0.133162395,0.005129016,1.0,1.0,2.103703703703704,2.066666666666667,1.0,0.0,1.0,0.0,C2,C2,C2
complex,no_discretization,iris,0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,6,11.0,1.3333333333333333,0.5,1.8333333333333333,0.9445590828924164,0.9846560846560848,0.3160493827160494,0.048609476,0.07841775,0.002591415,1.0,1.0,1.8962962962962964,1.6,2.0,1.0,2.0,1.0,C2,C2,C2
complex,no_discretization,iris,0,0.8666666666666667,0.9851851851851852,0.8666666666666667,0.9851851851851852,8,12.0,1.0,0.5,1.5,0.934521333585429,0.988230289279637,0.3046296296296296,0.044385028,0.067549687,0.001853475,1.0,1.0,2.437037037037037,2.4,2.0,1.0,2.0,1.0,C2,C2,C2
complex,no_discretization,iris,0,1.0,0.9703703703703704,1.0,0.9703703703703704,8,14.0,1.125,0.625,1.75,0.9248343334623824,0.9794909020518776,0.3092592592592592,0.041161937,0.076276595,0.002730522,1.0,1.0,2.474074074074074,2.6,7.0,0.0,7.0,0.0,C2,C2,C2
complex,no_discretization,iris,0,1.0,0.977777777777778,1.0,0.9777777777777776,9,16.0,1.2222222222222223,0.5555555555555556,1.7777777777777777,0.8942129290752884,0.958870562550494,0.3185185185185185,0.08299259,0.151955102,0.002901762,1.0,1.0,2.8666666666666667,2.8666666666666667,17.0,1.0,17.0,1.0,C2,C2,C2
complex,no_discretization,iris,0,1.0,0.9703703703703704,1.0,0.9703703703703704,6,10.0,1.1666666666666667,0.5,1.6666666666666667,0.9353551093591744,0.9809517943664284,0.3148148148148148,0.053069494,0.099720215,0.002215812,1.0,1.0,1.8888888888888888,1.933333333333333,4.0,2.0,4.0,2.0,C2,C2,C2
complex,no_discretization,iris,0,1.0,0.9703703703703704,1.0,0.9703703703703704,8,14.0,1.125,0.625,1.75,0.9248343334623824,0.9794909020518776,0.3092592592592592,0.088066172,0.16786768,0.00401034,1.0,1.0,2.474074074074074,2.6,7.0,0.0,7.0,0.0,C2,C2,C2
complex,no_discretization,iris,0,0.9333333333333332,0.9925925925925926,0.9333333333333332,0.9925925925925926,7,13.0,1.2857142857142858,0.5714285714285714,1.8571428571428572,0.9127080189707688,0.9664633159125204,0.3206349206349206,0.045092606,0.085039969,0.002440932,1.0,1.0,2.2444444444444445,2.333333333333333,11.0,3.0,11.0,3.0,C2,C2,C2
complex,no_discretization,iris,0,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,7,10.0,0.8571428571428571,0.5714285714285714,1.4285714285714286,0.93982434901834,0.9836638396511284,0.3142857142857143,0.03867013,0.071235977,0.002183792,1.0,1.0,2.2,2.2,4.0,0.0,4.0,0.0,C2,C2,C2
