model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,iris,0.5,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,4,4.0,0.5,0.0,1.0,0.7909869976359338,0.8643617021276596,0.4166666666666666,0.0580027103424072,0.071048947,0.0014370189999999,1.0,1.0,1.6666666666666667,1.6666666666666667,47.0,6.0,47.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.8,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,5,6.0,0.2,0.2,1.2,0.8526797385620917,0.9203208556149736,0.3348148148148148,0.1927793025970459,0.074779874,0.001642323,1.0,1.0,1.674074074074074,1.7333333333333334,18.0,2.0,18.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.3333333333333333,0.9333333333333332,0.9925925925925926,0.9333333333333332,0.9925925925925926,6,10.0,1.0,0.3333333333333333,1.6666666666666667,0.9498677248677252,0.9882756132756132,0.3148148148148148,0.0656838417053222,0.076952596,0.003068613,1.0,1.0,1.8888888888888888,1.6,2.0,1.0,2.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.14285714285714285,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,7,10.0,1.1428571428571428,0.14285714285714285,1.4285714285714286,0.9170113761577178,0.9706403919393144,0.3174603174603175,0.0583305358886718,0.067331203,0.001073723,1.0,1.0,2.2222222222222223,2.1333333333333333,9.0,1.0,9.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.6,1.0,0.9703703703703704,1.0,0.9703703703703704,5,6.0,0.4,0.2,1.2,0.9378378245354992,0.976936138796604,0.3214814814814815,0.0677785873413086,0.0673922449999999,0.003574828,1.0,1.0,1.6074074074074074,1.6,4.0,0.0,4.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.42857142857142855,1.0,0.9703703703703704,1.0,0.9703703703703704,7,10.0,0.7142857142857143,0.2857142857142857,1.4285714285714286,0.9284954740703872,0.983363752004867,0.3068783068783068,0.0788438320159912,0.077770502,0.000796344,1.0,1.0,2.1481481481481484,2.1333333333333333,4.0,0.0,4.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.6,1.0,0.977777777777778,1.0,0.9777777777777776,5,7.0,0.4,0.4,1.4,0.9436909991386736,0.9739599483204134,0.3303703703703703,0.1051161289215087,0.109009892,0.00294348,1.0,1.0,1.651851851851852,1.6666666666666667,4.0,3.0,4.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.6,1.0,0.9703703703703704,1.0,0.9703703703703704,5,6.0,0.4,0.2,1.2,0.9378378245354992,0.976936138796604,0.3214814814814815,0.5013294219970703,0.082470456,0.00135213,1.0,1.0,1.6074074074074074,1.6,4.0,0.0,4.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.2857142857142857,0.9333333333333332,0.9925925925925926,0.9333333333333332,0.9925925925925926,7,11.0,0.8571428571428571,0.42857142857142855,1.5714285714285714,0.9487750383711216,0.9929183423675468,0.3079365079365079,0.0663855075836181,0.069554479,0.001007367,1.0,1.0,2.1555555555555554,2.2,2.0,1.0,2.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,iris,0.3333333333333333,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,6,8.0,0.5,0.5,1.3333333333333333,0.9458484299516908,0.9785490777338604,0.3259259259259259,0.0325832366943359,0.038040085,0.002169746,1.0,1.0,1.9555555555555555,2.066666666666667,4.0,0.0,4.0,0.0,C2,C2,C2
