model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,iris,0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,9,14.0,1.5555555555555556,0.0,1.5555555555555556,0.8300559085422788,0.9766161478141392,0.2510288065843621,0.027153451,0.031893418,0.006038572,0.8888888888888888,0.7777777777777778,2.259259259259259,2.4,10.0,1.0,10.0,1.0,C2,C2,C2
plain,no_discretization,iris,0,0.9333333333333332,0.9703703703703704,0.9333333333333332,0.9703703703703704,9,16.0,1.7777777777777777,0.0,1.7777777777777777,0.8391290479942963,0.9802050213975004,0.2518518518518519,0.02618768,0.031061849,0.006494993,1.0,1.0,2.2666666666666666,2.333333333333333,7.0,0.0,7.0,0.0,C2,C2,C2
plain,no_discretization,iris,0,0.9333333333333332,0.9851851851851852,0.9333333333333332,0.9851851851851852,9,15.0,1.6666666666666667,0.0,1.6666666666666667,0.8468048206937097,0.9869929453262788,0.2477366255144032,0.022027121,0.028560564,0.006245679,0.8888888888888888,0.7777777777777778,2.22962962962963,1.933333333333333,3.0,1.0,3.0,1.0,C2,C2,C2
plain,no_discretization,iris,0,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,10,16.0,1.6,0.0,1.6,0.8435242135030047,0.9839490492983798,0.2496296296296296,0.022329835,0.028522052,0.005957612,0.8,0.8,2.4962962962962965,2.4,6.0,1.0,6.0,1.0,C2,C2,C2
plain,no_discretization,iris,0,1.0,0.9703703703703704,1.0,0.9703703703703704,8,12.0,1.5,0.0,1.5,0.8775029842560332,0.9823182830042586,0.274074074074074,0.020024035,0.024531439,0.005178909,1.0,1.0,2.1925925925925926,2.2666666666666666,4.0,0.0,4.0,0.0,C2,C2,C2
plain,no_discretization,iris,0,1.0,0.977777777777778,1.0,0.9777777777777776,11,20.0,1.8181818181818181,0.0,1.8181818181818181,0.799019332543081,0.9681163188544446,0.2424242424242423,0.03080447,0.046599247,0.006785745,0.9090909090909092,0.8181818181818182,2.6666666666666665,2.6666666666666665,16.0,1.0,16.0,1.0,C2,C2,C2
plain,no_discretization,iris,0,0.7333333333333334,0.9703703703703704,0.7333333333333333,0.9703703703703704,9,19.0,2.111111111111111,0.0,2.111111111111111,0.8711737449542328,0.9865414621512182,0.2641975308641975,0.020301301,0.026137556,0.003823209,1.0,1.0,2.3777777777777778,2.533333333333333,4.0,4.0,4.0,3.0,C2,C2,C2
plain,no_discretization,iris,0,1.0,0.977777777777778,1.0,0.9777777777777776,10,17.0,1.7,0.0,1.7,0.8162771547830422,0.9664786001308288,0.257037037037037,0.037422913,0.055054094,0.011845171,0.8,0.8,2.5703703703703704,2.6,16.0,0.0,16.0,0.0,C2,C2,C2
plain,no_discretization,iris,0,0.9333333333333332,0.977777777777778,0.9333333333333332,0.9777777777777776,7,10.0,1.4285714285714286,0.0,1.4285714285714286,0.8359884422511922,0.9624950619442664,0.2740740740740741,0.018270074,0.0284031639999999,0.005759399,1.0,1.0,1.9185185185185183,2.066666666666667,11.0,3.0,11.0,3.0,C2,C2,C2
plain,no_discretization,iris,0,0.8666666666666667,0.9703703703703704,0.8666666666666667,0.9703703703703704,8,11.0,1.375,0.0,1.375,0.8296839043220785,0.9831619188991776,0.2416666666666666,0.017629699,0.02164553,0.005314643,0.875,0.75,1.933333333333333,1.8666666666666667,5.0,1.0,5.0,1.0,C2,C2,C2
