model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,lymphography,0,0.4722222222222221,0.9874844333748444,0.6666666666666666,0.9774436090225564,25,65.0,0.92,1.68,2.6,0.7138685358512917,0.9961774042950512,0.158796992481203,0.121015485,0.2362204339999999,0.007583463,1.0,1.0,3.969924812030075,3.8,3.0,3.0,2.0,1.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8472222222222222,0.9749688667496886,0.8,0.9548872180451128,24,66.0,1.2916666666666667,1.4583333333333333,2.75,0.7181007151346215,0.983011946099496,0.1901629072681704,0.226667117,0.421877296,0.049212023,1.0,1.0,4.56390977443609,4.266666666666667,11.0,5.0,6.0,4.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8611111111111112,0.971544209215442,0.8,0.9473684210526316,26,79.0,1.4615384615384615,1.5769230769230769,3.0384615384615383,0.720934010344178,0.9829223348052716,0.1931752458068248,0.15211872,0.321516817,0.008173013,1.0,1.0,5.022556390977444,4.133333333333334,14.0,6.0,6.0,3.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8541666666666667,0.9829389788293896,0.8571428571428571,0.9701492537313432,26,71.0,1.0769230769230769,1.6538461538461537,2.730769230769231,0.7091384100253934,0.9842583626369354,0.1750861079219288,0.140336509,0.3089474769999999,0.010042768,1.0,1.0,4.552238805970149,4.857142857142857,12.0,5.0,7.0,3.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8333333333333334,0.9693026151930262,0.8,0.9473684210526316,23,62.0,1.3043478260869565,1.391304347826087,2.6956521739130435,0.7186064579743817,0.9856400790585262,0.184700882641386,0.114278061,0.250550951,0.006515221,1.0,1.0,4.24812030075188,4.333333333333333,10.0,3.0,6.0,3.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.5277777777777778,0.970423412204234,0.7333333333333333,0.9473684210526316,24,68.0,1.5,1.3333333333333333,2.8333333333333335,0.7063234848379135,0.9827218476051256,0.1948621553884711,0.146234186,0.285583296,0.009545395,1.0,1.0,4.676691729323308,4.666666666666667,13.0,2.0,4.0,0.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.9583333333333334,0.9874844333748444,0.9333333333333332,0.9774436090225564,24,62.0,1.375,1.2083333333333333,2.5833333333333335,0.700315473041616,0.9857876568888811,0.1732456140350876,0.147813601,0.2596870089999999,0.00536756,1.0,1.0,4.157894736842105,3.533333333333333,12.0,2.0,2.0,1.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8571428571428572,0.979261796042618,0.8666666666666667,0.962406015037594,28,78.0,1.25,1.5357142857142858,2.7857142857142856,0.7091801954549439,0.9789811809244584,0.1909237379162191,0.416983932,0.8399834829999999,0.017484077,1.0,1.0,5.345864661654136,7.133333333333334,18.0,2.0,7.0,1.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.9166666666666669,0.9804924242424242,0.9333333333333332,0.962406015037594,25,71.0,1.44,1.4,2.84,0.7100532507794475,0.985785799568541,0.1780451127819549,0.158601101,0.3393198700000001,0.013268134,1.0,1.0,4.451127819548872,3.4,11.0,2.0,3.0,2.0,C2,C2,C2
complex,no_discretization,lymphography,0,0.8541666666666667,0.9874844333748444,0.8571428571428571,0.9776119402985076,27,75.0,1.2592592592592593,1.5185185185185186,2.7777777777777777,0.7065594034543164,0.989405391786344,0.1688778330569375,0.152909827,0.310724661,0.005238091,1.0,1.0,4.559701492537314,5.785714285714286,6.0,3.0,1.0,2.0,C2,C2,C2
