model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,lymphography,0.25,0.8055555555555555,0.9783935242839352,0.7333333333333333,0.962406015037594,24,64.0,1.4583333333333333,0.9583333333333334,2.6666666666666665,0.7157698383404719,0.989021518626782,0.1770050125313282,0.1893873214721679,0.110998766,0.007787848,1.0,1.0,4.24812030075188,4.066666666666666,9.0,2.0,4.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.3333333333333333,0.8472222222222222,0.971544209215442,0.8,0.9473684210526316,24,63.0,1.5833333333333333,0.7083333333333334,2.625,0.7175457978614087,0.982402589336284,0.1936090225563909,0.2166941165924072,0.147119904,0.00643552,1.0,1.0,4.646616541353383,4.066666666666666,13.0,1.0,5.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.2692307692307692,0.5277777777777778,0.971544209215442,0.7333333333333333,0.9473684210526316,26,74.0,2.0,0.5769230769230769,2.8461538461538463,0.7250646569206278,0.9860409800247444,0.1905725853094274,0.3147754669189453,0.179358617,0.010244948,1.0,1.0,4.954887218045113,4.133333333333334,13.0,6.0,5.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.48,0.625,0.9795143212951432,0.6428571428571429,0.9626865671641792,25,74.0,1.76,0.72,2.96,0.7242112300254955,0.988032458597474,0.1841791044776119,0.1901087760925293,0.141227261,0.0088155229999999,1.0,1.0,4.604477611940299,3.857142857142857,10.0,2.0,5.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.23809523809523808,0.8888888888888888,0.9874844333748444,0.8666666666666667,0.9774436090225564,21,57.0,1.8095238095238095,0.6666666666666666,2.7142857142857144,0.7361941028932334,0.9856713192436082,0.1976369495166487,0.1888670921325683,0.10811208,0.009840141,1.0,1.0,4.150375939849624,4.333333333333333,11.0,4.0,3.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.5416666666666666,0.5694444444444445,0.9920298879202988,0.8,0.9849624060150376,24,69.0,1.7916666666666667,0.5416666666666666,2.875,0.7122829696608733,0.9956219806763285,0.1719924812030075,0.1621694564819336,0.1139759669999999,0.006799279,1.0,1.0,4.12781954887218,4.6,2.0,3.0,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.3181818181818182,1.0,0.9874844333748444,1.0,0.9774436090225564,22,56.0,1.5,0.7272727272727273,2.5454545454545454,0.7131312347203017,0.988952320827321,0.1766917293233083,0.1877906322479248,0.131617434,0.005497615,0.9545454545454546,0.9545454545454546,3.887218045112782,3.2666666666666666,8.0,2.0,2.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.5,0.8571428571428572,0.9804667681380008,0.8666666666666667,0.962406015037594,26,78.0,2.0,0.5,3.0,0.7108572597711044,0.975988360277728,0.1923076923076922,0.2380018234252929,0.2010268279999999,0.008400348,1.0,1.0,5.0,6.4,16.0,2.0,8.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.44,0.7777777777777777,0.9804924242424242,0.8,0.962406015037594,25,70.0,1.84,0.52,2.8,0.7238826582382408,0.985983333656784,0.1891729323308271,0.2138421535491943,0.120688631,0.003604063,1.0,1.0,4.7293233082706765,3.733333333333333,6.0,1.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,lymphography,0.5555555555555556,0.9375,0.9795143212951432,0.9285714285714286,0.9626865671641792,27,77.0,1.6296296296296295,0.6666666666666666,2.8518518518518516,0.7219685384091291,0.9842937864305544,0.1920950801547817,0.5116288661956787,0.499085071,0.070082098,1.0,1.0,5.186567164179104,5.642857142857143,10.0,3.0,7.0,2.0,C2,C2,C2
