model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,lymphography,0,0.8055555555555555,0.9817559153175592,0.7333333333333333,0.962406015037594,26,70.0,2.6923076923076925,0,2.6923076923076925,0.6844783269082438,0.9670464187673218,0.1897050318102949,0.055878509,0.123030452,0.006502313,1.0,1.0,4.932330827067669,4.866666666666666,33.0,5.0,18.0,5.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.8472222222222222,0.9817559153175592,0.8,0.962406015037594,28,79.0,2.8214285714285716,0,2.8214285714285716,0.6693648022621262,0.9668338399189462,0.1796455424274972,0.060679743,0.132065746,0.008364276,0.9642857142857144,0.9642857142857144,5.030075187969925,4.933333333333334,39.0,6.0,27.0,5.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.9027777777777778,0.9760896637608966,0.8666666666666667,0.9548872180451128,25,69.0,2.76,0,2.76,0.6828895627285089,0.9669721043148094,0.1849624060150375,0.049579051,0.106709563,0.005748622,1.0,1.0,4.62406015037594,3.1333333333333333,35.0,6.0,24.0,3.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.9375,0.8453611457036114,0.9285714285714286,0.9328358208955224,26,73.0,2.8076923076923075,0,2.8076923076923075,0.6643524114765356,0.9537978979002628,0.1888633754305396,0.06689217,0.1459854729999999,0.0095120999999999,1.0,1.0,4.91044776119403,5.0,39.0,4.0,25.0,2.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.8472222222222222,0.973785803237858,0.8,0.9473684210526316,24,58.0,2.4166666666666665,0,2.4166666666666665,0.6843935182487991,0.9629310187103152,0.18765664160401,0.063452074,0.1556046749999999,0.0132566319999999,1.0,0.9166666666666666,4.503759398496241,5.2,20.0,6.0,8.0,5.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.5694444444444445,0.9703611457036114,0.8,0.9398496240601504,25,66.0,2.64,0,2.64,0.6570044042561298,0.9639025793047532,0.1777443609022556,0.056110752,0.103873346,0.010390276,1.0,1.0,4.443609022556391,4.6,23.0,2.0,9.0,1.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.7777777777777778,0.9772104607721046,0.6666666666666666,0.9548872180451128,25,68.0,2.72,0,2.72,0.6755227986684358,0.9707064764650328,0.1678195488721804,0.056471335,0.120773061,0.0051901679999999,0.96,0.96,4.195488721804511,3.733333333333333,18.0,5.0,5.0,2.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.8571428571428572,0.9758371385083714,0.8666666666666667,0.9548872180451128,27,72.0,2.6666666666666665,0,2.6666666666666665,0.6710069091878977,0.9812038536010818,0.1489835700362016,0.082040559,0.1679970219999999,0.013840734,1.0,1.0,4.022556390977444,5.933333333333334,12.0,3.0,4.0,2.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.7222222222222222,0.9644570707070708,0.7333333333333333,0.9323308270676692,27,74.0,2.740740740740741,0,2.740740740740741,0.6746386457290029,0.9705754098210194,0.174881648565859,0.054478148,0.118700196,0.007649341,0.925925925925926,0.8518518518518519,4.7218045112781954,4.0,23.0,3.0,10.0,2.0,C2,C2,C2
plain,no_discretization,lymphography,0,0.8541666666666667,0.9783312577833124,0.8571428571428571,0.9552238805970148,24,63.0,2.625,0,2.625,0.6601603291778828,0.9575471789521218,0.1691542288557213,0.055941978,0.136361985,0.006203932,1.0,1.0,4.059701492537314,4.357142857142857,35.0,3.0,24.0,2.0,C2,C2,C2
