dataset,model_type,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure,variant,M-of-N count (std),BAcc (test) (std),BAcc (train) (std),Acc (test) (std),Acc (train) (std),rules (std),conditions_count (std),plain conditions count (std),complex conditions count (std),avg conditions per rule (std),avg rule quality (std),avg rule precision (std),avg rule coverage (std),training time total (s) (std),training time growing (s) (std),training time pruning (s) (std),pvalue significance fdr (std),pvalue significance fwer (std),rules_per_example (train)  (std),rules_per_example (test)  (std),voting_conflicts (train)  (std),voting_conflicts (test)  (std),negative_voting_conflicts (train)  (std),negative_voting_conflicts (test)  (std),p / P
anneal,at_least_M-of-N,0.0058823529411764,0.968294970161978,0.9823933315415,0.9901234567901236,0.994225102361905,19.0,37.0,1.4749302177011157,0.4579782790309106,1.9443355119825705,0.6917924204418896,0.9932675290410544,0.1011232871558482,0.2138855987124972,0.1023862325555555,0.0093661333333333,1.0,1.0,1.923132702639856,1.9061728395061728,2.111111111111111,0.8888888888888888,2.111111111111111,0.4444444444444444,C2,C2,C2,no_discretization,0.3333333333333333,0.0831949432279735,0.0153693116062063,0.0103106747459814,0.0020526753213805,1.5811388300841898,4.444097208657794,3.708099243547832,1.855921454276674,0.1262504853147448,0.0125142570677022,0.0084113157976758,0.0163356826735492,0.0144472510030154,0.0121564709452202,0.0014925201284277,0.0,0.0,0.354535139181819,0.3242803576273708,1.2692955176439846,0.6009252125773316,1.2692955176439846,0.7264831572567789,0.4011981527007021
anneal,complex,0.0,0.9693464052287584,0.9836207626469798,0.9938271604938272,0.9989000599689142,22.666666666666668,42.0,0.9414124997809208,0.9064623534360376,1.8476387257966205,0.6937373308700163,0.9996713831361898,0.1285197451038732,0.2775812454444444,0.4078494357777777,0.0133837655555555,1.0,1.0,2.9269881870758154,2.902358163406852,2.111111111111111,0.8888888888888888,2.111111111111111,0.4444444444444444,C2,C2,C2,no_discretization,0.0,0.0836145198378852,0.015731506868302,0.0112643750561077,0.0013045499341906,2.23606797749979,5.612486080160912,2.7284509239574835,3.419714088113865,0.080009742447158,0.0065477007924744,0.0004321803723209,0.0161234162535514,0.0713572619974731,0.0640431607334136,0.0054141369121564,0.0,0.0,0.5334803386500958,0.5247489539742598,1.2692955176439846,0.6009252125773316,1.2692955176439846,0.7264831572567789,0.3921826326940708
anneal,exact_M-of-N,0.1302140154307337,0.968294970161978,0.9823933315415,0.9901234567901236,0.994225102361905,19.22222222222222,35.44444444444444,1.2735512801611877,0.4302941176470588,1.8403129282902249,0.6990466653071743,0.9900616966885885,0.1010946327855918,0.2469080024295383,0.0977252503333333,0.0114668852222222,1.0,1.0,1.948704651058431,1.9309058121792209,4.222222222222222,1.0,2.111111111111111,0.4444444444444444,C2,C2,C2,no_discretization,0.7264831572567788,0.0831949432279735,0.0153693116062063,0.0103106747459814,0.0020526753213805,1.3944333775567928,3.972125095937662,3.333333333333333,1.5811388300841898,0.1016496114094614,0.0254883792888817,0.0148545487355324,0.015901507153455,0.0622611334017192,0.0108622688171916,0.0037615342133208,0.0,0.0,0.3623987529574398,0.3355982838960036,3.993049516903647,0.7071067811865476,1.2692955176439846,0.7264831572567789,0.4191267792742142
anneal,plain,0.0,0.9841176470588237,0.9700845487855628,0.9938271604938272,0.9980749774606632,36.888888888888886,73.22222222222223,1.9462159961765413,0.0,1.9831190075092515,0.6330263121411028,0.9996173169713763,0.108128436012273,0.0820156277777777,0.1680951588888888,0.0140462012222222,0.930730207559476,0.9216709741099984,3.9902166360022897,3.943071161048688,1.1111111111111112,1.1111111111111112,0.4444444444444444,0.4444444444444444,C2,C2,C2,no_discretization,0.0,0.0210309542832056,0.0046898292010722,0.0058560697410525,0.0012548001326121,2.204792759220492,6.119186583561939,3.1135902820449006,3.6324157862838944,0.0669195737696446,0.0060109291381255,0.0004904847715022,0.0086751851018852,0.0144393857646242,0.0232421004080628,0.0022078337431934,0.0137036005788352,0.0207009248953251,0.4115109466006366,0.541634236303166,1.3642254619787415,1.0540925533894598,0.7264831572567789,0.7264831572567789,0.270550846016641
auto-mpg,at_least_M-of-N,0.0667111147289021,0.7106084656084656,0.9592555331991952,0.8024216524216524,0.9736257865060716,64.44444444444444,202.5555555555556,0.800806499186517,2.244756812941884,3.1362436160483447,0.6082806949895047,0.9905993752440184,0.1122604068114883,2.1269439591301813,1.4134442786666666,0.0364233775555555,0.9498957361933706,0.7215016226781009,7.235995912502659,7.407051282051281,28.33333333333333,8.88888888888889,14.555555555555555,4.666666666666667,C2,C2,C2,no_discretization,4.013864859597431,0.0871721352643187,0.0156972015260855,0.0771376399787908,0.0107408972472568,2.7436796055257213,30.830630512167243,26.63539833463064,8.306623862918075,0.3971088374993417,0.0109770221331719,0.0070478901841022,0.0151132481585557,0.6067088455189559,0.4801077040462859,0.0067651041361552,0.0131639391456179,0.0408747017542009,1.0228645284158644,1.6827719761359945,22.69361143582044,2.976761849915292,12.49110794836782,2.1213203435596424,0.236046318172367
auto-mpg,complex,0.0,0.6327248677248677,0.8942233648806419,0.7635327635327636,0.9398140223290782,66.22222222222223,146.77777777777777,0.9535517082324568,1.1777994768788915,2.215182967428621,0.5828031734818823,0.9880428242040248,0.1072873931888391,1.7093724754444442,3.562295806222222,0.0194395207777777,0.9334992408197196,0.6849789679806313,7.1045795877575655,7.346652421652422,38.22222222222222,9.666666666666666,17.333333333333332,5.444444444444445,C2,C2,C2,no_discretization,0.0,0.0652900070563327,0.0264309055632998,0.0508499872124197,0.0163182441072965,3.8333333333333335,12.92069829554287,6.50213640104372,7.726217990999507,0.1231464834204463,0.007458412659338,0.0041535304834171,0.0125699673438019,0.3108655649985287,0.4531121673990337,0.007215322375109,0.0214955734333551,0.0465479331602278,0.9419903022333638,1.691039940653713,14.166666666666666,2.9154759474226504,11.346805717910216,2.068278940998476,0.2106238421278505
auto-mpg,exact_M-of-N,0.1759170379211225,0.6705820105820106,0.902292354952762,0.7857549857549857,0.9385708283406732,64.66666666666667,176.77777777777777,0.7278784654468937,1.812920531353812,2.73259887282389,0.6003001534480874,0.9844206922205364,0.1179667218595782,1.786551660961575,0.946430838777778,0.0426924173333333,0.9518893134390082,0.717154683557881,7.619458147243274,7.738603988603988,51.888888888888886,11.11111111111111,27.11111111111111,5.222222222222222,C2,C2,C2,no_discretization,3.9721250959376615,0.0715907990206086,0.026429256947933,0.0595065329800814,0.017700907576379,2.5,18.321966172996948,16.859715300087366,4.183300132670378,0.2393954208071651,0.0071742561253721,0.0051877548654414,0.0131691795239614,0.5109397709119741,0.3047006308795642,0.0049398767881637,0.011828324317876,0.0363361249037225,0.7988074023600974,1.384250262644136,12.004628736912736,3.551212625443753,9.42661716158618,2.862594006219611,0.2430396038257717
auto-mpg,plain,0.0,0.6854232804232804,0.8648576127547176,0.8050569800569801,0.919950583471226,64.44444444444444,187.22222222222223,2.501460591713962,0.0,2.9049977709051293,0.5807280156284649,0.9803703745459073,0.1161898096406144,0.1256763648888889,0.2999427062222222,0.0191192837777777,0.9242296702224884,0.7672047808888806,7.496074169748716,7.577991452991453,63.66666666666666,10.0,30.88888888888889,5.222222222222222,C2,C2,C2,no_discretization,0.0,0.0694222980559714,0.036665574084096,0.0388355803029273,0.0187367491919346,1.810463415200036,9.39118972465387,3.968626966596886,7.035623639735144,0.1184850221264391,0.0061734991295955,0.0035857194373449,0.0112629951755146,0.0893966458711369,0.1978782337670809,0.003974610645418,0.0173716519710534,0.0430791560550195,0.8343546364905041,1.5634485615150937,22.754120505965503,2.0,17.366954572149695,2.438123139721299,0.2306948929278323
autos,at_least_M-of-N,0.1238928428281433,0.7625396825396824,0.9806808158317106,0.7785714285714286,0.9813226269748008,45.0,89.66666666666667,0.6035918421807162,1.243710781767713,1.9945650113942592,0.6282119351199663,0.99498647556032,0.0527673870017289,0.3811824321746826,0.4053314977777777,0.0347934667777777,0.947890167053155,0.7735799453566025,2.3704400052226138,2.316137566137566,4.555555555555555,4.888888888888889,4.444444444444445,4.111111111111111,C2,C2,C2,no_discretization,2.455153310442706,0.1156197220677137,0.0081183476467772,0.1210837775225827,0.0090576375373979,2.7386127875258306,8.396427811873334,7.896905160321422,6.186903731090195,0.1769068541931177,0.0130558477164482,0.0021936958491698,0.0068834353715163,0.1104881409152678,0.159744228514205,0.0091441109613809,0.0258265752499363,0.0723493194181173,0.300381797618265,0.2225196422378434,3.0867098629086893,1.7638342073763935,2.8771127502720115,1.4529663145135578,0.2635521013882342
autos,complex,0.0,0.7733862433862434,0.9835871032451604,0.7838624338624338,0.9837315576446012,47.22222222222222,85.0,0.4289172627652413,1.361380065715879,1.802458024553491,0.6270742931622931,0.997640580887908,0.0524443288645291,0.5658625097777779,1.741535914,0.0155409278888888,0.9549198318431594,0.7902425526627532,2.4680473952213084,2.3619047619047624,2.4444444444444446,4.333333333333333,2.2222222222222223,3.7777777777777777,C2,C2,C2,no_discretization,0.0,0.1019234579595831,0.0059484265221244,0.1058170469134605,0.0054422959502541,2.862594006219612,3.4641016151377544,5.710613899670605,2.420973174388992,0.0562021531503154,0.0115281679129904,0.0023025001065439,0.0046604521934245,0.1779365273507577,0.3997793513912475,0.0272156748335131,0.0174111806201161,0.055175829097249,0.1530426051640177,0.2699731237148332,2.4037008503093262,2.1794494717703365,2.5385910352879693,2.279132388529557,0.2570768628559036
